,,,,,,,,,mg,,
,,,,,,,,,,,
,,,,,,,,,GALLAC,,
E015,"Currants, b",la,ck (Ribes,nigrum),1,,,,,,
E016,Custard ap,ple,(Annona,squamosa),1,,,,,,
E017,"Dates, dry, dactylifera)",pa,le brown,(Phoenix,6,,0.51±0.31,0.59±0.22,1.55±0.03,2.90±0.53,0.25±0.03
E018,"Dates, dry, dactylifera)",da,rk brown,(Phoenix,2,,1.36,1.27,1.57,,0.03
E019,"Dates, proc",es,sed (Pho,enix dactylifera),2,,0.22,0.63,0.16,2.38,0.22
E020,Fig (Ficus c,ari,ca),,6,,,,,,
E021,Goosberry,(E,mblica off,icinalis),5,1.34±0.18,0.47±0.10,,93.12±4.37,0.66±0.07,0.20±0.01
E022,"Grapes, se vinifera)",ed,"ed, round",", black (Vitis",4,,0.54±0.18,0.43±0.28,,2.63±0.44,0.10±0.01
E023,"Grapes, se vinifera)",ed,"ed, round",", green (Vitis",5,,1.61±0.83,2.15±0.85,,2.71±0.20,0.25±0.09
E024,"Grapes, se",ed,"ed, round",", red (Vitis vinifera)",5,,2.84±0.00,2.63±0.00,,2.96±0.00,0.37±0.00
E025,"Grapes, se vinifera)",ed,"less, ova","l, black (Vitis",5,,0.63±0.00,0.84±0.00,,2.57±0.00,0.14±0.00
E026,"Grapes, se vinifera)",ed,"less, rou","nd, green (Vitis",5,,0.85±0.01,1.81±0.09,,3.15±0.01,0.22±0.10
E027,"Grapes, se vinifera)",ed,"less, rou","nd, black (Vitis",5,,0.60±0.00,0.87±0.00,,2.78±0.00,0.12±0.00
E028,"Guava, whi",te,flesh (Ps,idium guajava),5,,,,2.51±0.36,,
E029,"Guava, pin",k f,lesh (Psi,dium guajava),5,,,,5.42±0.49,,
E030,"Jack fruit, r",ip,e (Artocar,pus heterophyllus),5,2.90±0.28,,,,,1.54±0.36
E031,Jambu fruit,", r",ipe (Syzy,gium cumini),2,,0.06,,0.39,,0.02
E032,Karonda fr,uit,(Carissa,carandas),1,0.03,,0.12,,0.16,
E033,"Lemon, juic",e,(Citrus lim,on),6,,,,,1.61±0.22,3.04±0.58
E034,"Lime, swee","t,",pulp (Citr,us limetta),6,,,,,,
