Table,,,,,s,,,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,,noige,Chlorogenic F acid,erulic acid,Apigenin,Apigenin-6- C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside,O- rutinoside
lyph,doo,,Food Nam,e,R fo,,,,,m,g,,,,
en,F,,,,.o,,,,,,,,,,
ols,,,,,N,,,,,,,,,,
,,,,,,CHLRAC,FERAC,APIGEN,,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,,,
,A019,"Wheat flour,",atta (Triticum,aestivum),6,0.71±0.13,0.14±0.01,,0.31±0.08,,,,,,
,,,,,,,,,,,,,,,
,A020,"Wheat, whol",e (Triticum aes,tivum),6,0.76±0.11,0.15±0.02,,0.30±0.06,,,,,,
,,,,,,,,,,,,,,,
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,0.73±0.13,0.15±0.01,,0.26±0.02,,,,,,
,,,,,,,,,,,,,,,
,A022,"Wheat, semo",lina (Triticum,aestivum),6,0.28±0.07,0.05±0.02,0.03±0.01,0.04±0.01,,,,,,
,,,,,,,,,,,,,,,
,A023,"Wheat, verm",icelli (Triticum,aestivum),6,0.24±0.03,0.03±0.01,,0.03±0.01,,,,,,
,,,,,,,,,,,,,,,
,A024,"Wheat, verm","icelli, roasted",(Triticum,6,0.03±0.02,0.03±0.02,,0.03±0.01,,,,,,
,,aestivum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,B,GRAIN L,EGUMES,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,B001,Bengal gram,", dal (Cicer ar",ietinum),6,,1.59±0.46,,,4.25±1.21,,,,,
340,,,,,,,,,,,,,,,
,B002,Bengal gram,", whole (Cice",r arietinum),6,,4.17±0.95,,,10.48±1.14,,,,,
,,,,,,,,,,,,,,,
,B003,"Black gram,",dal (Phaseolu,s mungo),6,0.36±0.03,0.14±0.01,2.43±0.38,0.29±0.03,0.09±0.02,1.40±0.32,0.05±0.02,,1.69±0.26,
,,,,,,,,,,,,,,,
,B004,"Black gram,",whole (Phase,olus mungo),6,2.71±0.55,0.91±0.06,5.64±0.22,2.56±0.36,1.83±0.16,4.79±0.53,3.12±0.67,,12.37±0.93,
,,,,,,,,,,,,,,,
,B005,"Cowpea, bro",wn (Vigna cat,jang),6,1.30±0.32,,,,,,,,0.27±0.12,
,,,,,,,,,,,,,,,
,B006,"Cowpea, whi",te (Vigna catj,ang),1,1.64,,,,,,,,0.52,
,,,,,,,,,,,,,,,
,B007,"Field bean, b",lack (Phaseo,lus vulgaris),1,6.47,,,,,,,,,
,,,,,,,,,,,,,,,
,B008,"Field bean, b",rown (Phase,olus vulgaris),1,5.14,,,,,,,,,
,,,,,,,,,,,,,,,
,B009,"Field bean,",white (Phaseo,lus vulgaris),5,5.52±0.50,,,,,,,,,
,,,,,,,,,,,,,,,
,B010,"Green gram,",dal (Phaseolu,s aureus),6,,,0.04±0.01,,0.40±0.23,,0.08±0.01,0.04±0.02,,
,,,,,,,,,,,,,,,
,B011,"Green gram,",whole (Phas,eolus aureus),6,,,3.76±0.55,,0.76±0.11,,4.29±0.71,0.36±0.10,,
,,,,,,,,,,,,,,,
,B012,"Horse gram,",whole (Dolicu,s biflorus),6,,,,,,3.32±0.37,,,,
,,,,,,,,,,,,,,,
,B013,Lentil dal (Le,ns culinaris),,6,0.23±0.05,0.07±0.03,0.02±0.01,0.12±0.01,0.13±0.02,0.02±0.01,0.32±0.20,0.87±0.09,,0.76±0.08
