T,,,,,,,,,,,,,
a,,,,,,,,Tocoph,erols,,Tocotrienols,,
ble,,,,,s,Ergocalcife,,,,,,α-Tocopherol,
3.,ed,,,,noi,rol (D2),,,,,,Equivalent,Phylloquino
Fat,oc,Fo,od Name,,ge,,Alpha,Beta,Gamma,Delta,Alpha Beta Gamma Delta,,nes (K1)
Sol,doo,,,,R fo,µg,,,,,mg,,µg
ub,F,,,,.o,,,,,,,,
le,,,,,N,,,,,,,,
V,,,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK1
itam,,,,,,,,,,,,,
in,C009,Beet greens (Beta,vulgaris),,6,1.65±0.52,0.15±0.03,0.17±0.05,,,,0.21±0.03,69.45±5.24
s,,,,,,,,,,,,,
,,,,,,,,,,,,,
,C010,"Betel leaves, big (",kolkata) (P,iper betle),6,3.78±0.40,0.04±0.01,,0.05±0.01,,0.02±0.01,0.05±0.01,207±10.9
,,,,,,,,,,,,,
,C011,"Betel leaves, sma",ll (Piper bet,le),4,2.27±0.25,0.02±0.01,,0.05±0.00,,0.02±0.00,0.03±0.01,204±4.9
,,,,,,,,,,,,,
,C012,Brussels sprouts,(Brassica o,leracea var.,1,0.26,0.21,,,,,0.21,23.60
,,gemmifera),,,,,,,,,,,
,,,,,,,,,,,,,
,C013,"Cabbage, Chines",e (Brassica,rupa),1,0.39,0.25,,,,,0.25,111
,,,,,,,,,,,,,
,C014,"Cabbage, collard",greens (Br,assica,1,0.18,0.20,,,,,0.20,125
,,oleracea var. viridi,s),,,,,,,,,,
,,,,,,,,,,,,,
,C015,"Cabbage, green (",Brassica ole,racea var.,6,0.21±0.02,0.05±0.03,,,,,0.05±0.03,113±0.5
,,capitata f. alba),,,,,,,,,,,
,,,,,,,,,,,,,
,C016,"Cabbage, violet (",Brassica ole,racea var.,2,0.19,0.03,,,,,0.03,117
,,capitata f. rubra),,,,,,,,,,,
6,,Cauliflower leave,s (Brassica,oleracea var.,,,,,,,,,
6,C017,botrytis),,,6,4.15±0.46,0.08±0.03,,,0.11±0.02,,0.08±0.03,144±29.6
,,,,,,,,,,,,,
,C018,"Colocasia leaves,",green (Col,ocasia anti-,6,1.70±0.31,0.07±0.01,,,,,0.07±0.01,318±37.3
,,quorum),,,,,,,,,,,
,,,,,,,,,,,,,
,C019,Drumstick leaves,(Moringa ol,eifera),3,14.33±0.19,0.30±0.01,,0.05±0.01,,0.02±0.01,0.31±0.01,479±26.6
,,,,,,,,,,,,,
,C020,Fenugreek leaves,(Trigonella,foenum,5,2.36±0.30,0.36±0.14,,,,,0.36±0.14,428±32.3
,,graecum),,,,,,,,,,,
,,,,,,,,,,,,,
,C021,Garden cress (Le,pidium sativ,um),2,0.55,0.74,,,,,0.74,458
,,,,,,,,,,,,,
,C022,"Gogu leaves, gre",en (Hibiscus,cannabinus),4,4.28±0.14,0.46±0.16,,0.43±0.17,,,0.50±0.15,433±1.6
,,,,,,,,,,,,,
,C023,"Gogu leaves, red",(Hibiscus c,annabinus),1,4.27,0.47,,0.32,,,0.50,438
,,,,,,,,,,,,,
,C024,"Knol-Khol, leaves",(Brassica,oleracea var.,2,0.59,0.53,,,,,0.53,295
,,gongylodes),,,,,,,,,,,
,,,,,,,,,,,,,
,C025,Lettuce (Lactuca s,ativa),,3,0.10±0.04,0.01±0.01,,,,,0.01±0.01,91.08±2.20
,,,,,,,,,,,,,
,C026,Mustard leaves (B,rassica jun,cea),3,5.40±0.33,0.56±0.06,,0.02±0.00,,,0.57±0.06,192±4.1
,,,,,,,,,,,,,
,C027,Pak Choi leaves(,Brassica ra,pa var.,1,0.10,0.03,,,,,0.03,39.85
,,Chinensis),,,,,,,,,,,
,,,,,,,,,,,,,
,C028,Parsley (Petroselin,um crispum,),3,5.55±0.18,0.35±0.05,,,,,0.35±0.05,322±3.3
,,,,,,,,,,,,,
,C029,Ponnaganni (Alter,nanthera se,ssilis),2,0.65,0.52,0.02,,,0.04,0.54,574
