,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
E018,"Dates, dry, dark b dactylifera)",rown (Ph,oenix,2,2.43,,,66.13,0.017,0.001,0.44,4.79,0.006,0.006
E019,"Dates, processed",(Phoenix,dactylifera),2,2.43,,,15.73,0.015,0.001,0.33,0.89,0.002,0.001
E020,Fig (Ficus carica),,,6,0.71±0.24,,,78.52±16.48,0.017±0.004,,0.19±0.02,0.69±0.06,,
E021,Goosberry (Embli,ca officinal,is),5,0.08±0.02,,,20.14±2.51,0.007±0.003,,0.12±0.08,1.25±0.08,0.004±0.002,0.001±0.001
E022,"Grapes, seeded, vinifera)","round, bla",ck (Vitis,4,,,,10.57±2.03,0.008±0.007,,0.06±0.01,0.22±0.04,0.001±0.000,
E023,"Grapes, seeded, vinifera)","round, gre",en (Vitis,5,,,,11.16±2.02,0.003±0.000,,0.07±0.01,0.24±0.10,0.001±0.000,0.001±0.001
E024,"Grapes, seeded, vinifera)","round, red",(Vitis,5,,,,11.27±3.54,0.003±0.002,,0.05±0.01,0.33±0.04,,0.001±0.000
E025,"Grapes, seedless vinifera)",", oval, bla",ck (Vitis,5,,,0.001±0.000,15.26±3.03,0.004±0.001,0.001±0.000,0.16±0.03,0.28±0.02,,0.001±0.000
E026,"Grapes, seedless vinifera)",", round, g",reen (Vitis,5,,,,14.22±2.14,0.003±0.001,,0.23±0.33,0.24±0.02,0.001±0.001,
E027,"Grapes, seedless vinifera)",", round, b",lack (Vitis,5,,,0.001±0.000,18.75±5.41,0.004±0.002,,0.05±0.01,0.39±0.07,,0.001±0.001
E028,"Guava, white fles",h (Psidium,guajava),5,,,,18.52±2.10,0.004±0.002,0.003±0.002,0.16±0.04,0.32±0.07,,
E029,"Guava, pink flesh",(Psidium,guajava),5,,,,14.22±2.92,0.009±0.003,0.003±0.001,0.17±0.02,0.40±0.14,0.014±0.003,
E030,"Jack fruit, ripe (A heterophyllus)",rtocarpus,,5,,,,35.03±4.50,0.005±0.002,,0.19±0.09,0.36±0.16,0.002±0.001,
E031,"Jambu fruit, ripe",(Syzygium,cumini),2,0.45,,,25.36,0.015,,0.02,0.33,0.001,
E032,Karonda fruit (Ca,rissa caran,das),1,0.99,1.84,1.813,10.81,0.002,0.620,0.71,0.87,0.021,1.406
E033,"Lemon, juice (Citr",us limon),,6,0.11±0.04,,,22.68±2.90,0.002±0.002,,0.03±0.01,0.12±0.05,0.003±0.002,
E034,"Lime, sweet,pulp",(Citrus lim,etta),6,,,,25.79±5.02,0.017±0.007,,0.03±0.00,0.11±0.02,0.000±0.000,
E035,Litchi (Nephelium,litchi),,4,0.54±0.07,0.21±0.11,,5.77±0.80,0.010±0.004,,0.11±0.02,0.79±0.21,,
E036,"Mango, ripe, ban indica)",ganapalli (,Mangifera,6,,,,15.77±1.64,0.020±0.010,,0.10±0.01,0.51±0.17,0.002±0.001,
E037,"Mango, ripe, gula indica)",bkhas (M,angifera,2,,,,19.33,0.010,,0.07,0.38,0.001,
E038,"Mango, ripe, him indica)",sagar (Ma,ngifera,3,,,,15.54±1.84,0.016±0.006,0.001±0.002,0.08±0.01,0.29±0.05,0.002±0.002,
