Ta,,,,s,,,,,,,,
ble,ed,,,no,Alanine,Arginine As,partic Acid Gl,utamic Acid,Glycine,Proline,Serine,Tyrosine
8.,o,,,ig,,,,,,,,
A,C,,Food Name,eR,,,,g,,,,
mino,doo,,,fo,,,,,,,,
A,F,,,.o,,,,,,,,
ci,,,,N,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,
Pro,O006,"Goat, lu",ngs,4,2.46±0.41,11.41±0.94,6.06±0.26,1.48±0.05,5.59±0.45,3.26±0.12,4.58±0.29,4.51±0.48
file,,,,,,,,,,,,
,O007,"Goat, h",eart,5,2.41±0.20,13.14±0.74,6.71±1.03,1.71±0.38,4.38±0.38,4.27±0.26,4.74±0.29,3.97±0.40
,,,,,,,,,,,,
,O008,"Goat, li",ver,6,2.49±0.15,12.09±1.18,5.29±0.35,1.71±0.74,4.76±0.34,4.61±0.38,4.93±0.21,3.50±0.07
,,,,,,,,,,,,
,O009,"Goat, tr",ipe,5,2.88±0.20,11.46±0.53,8.20±0.97,1.62±0.42,5.02±0.45,3.24±0.10,4.48±0.35,4.11±0.91
,,,,,,,,,,,,
,O010,"Goat, s",pleen,4,2.48±0.61,12.26±0.30,7.86±1.08,1.37±0.17,4.54±0.50,3.44±0.02,4.26±0.15,3.74±0.35
,,,,,,,,,,,,
,O011,"Goat, ki",dneys,4,2.66±0.32,12.62±0.77,6.98±0.29,1.71±0.05,4.73±0.29,4.08±0.25,5.08±0.09,4.77±0.87
,,,,,,,,,,,,
,O012,"Goat, tu",be (small intestine),3,2.31±1.02,12.78±0.81,9.29±0.34,1.44±0.05,5.30±0.13,3.50±0.11,4.61±0.09,3.13±0.03
,,,,,,,,,,,,
,O013,"Goat, te",stis,2,2.41,12.92,9.35,1.32,5.51,3.40,4.31,3.94
,,,,,,,,,,,,
,O014,"Sheep,",shoulder,5,2.48±0.20,14.72±0.95,5.47±0.39,1.31±0.37,4.64±0.27,4.19±0.19,4.34±0.45,4.10±0.45
,,,,,,,,,,,,
29,O015,"Sheep,",chops,4,2.76±0.20,14.31±0.14,5.91±0.80,1.39±0.11,4.24±0.15,4.64±0.38,4.33±0.40,3.59±0.21
6,,,,,,,,,,,,
,,,,,,,,,,,,
,O016,"Sheep,",leg,5,2.42±0.28,14.46±0.43,5.86±0.67,1.54±0.16,3.97±0.35,4.19±0.04,4.57±0.54,4.10±0.53
,,,,,,,,,,,,
,O017,"Sheep,",brain,1,3.20,13.47,5.28,1.34,3.89,4.69,5.19,4.23
,,,,,,,,,,,,
,O018,"Sheep,",tongue,1,2.72,14.42,6.28,1.48,4.30,3.72,4.79,3.78
,,,,,,,,,,,,
,O019,"Sheep,",lungs,2,2.48,10.53,8.33,1.40,5.48,3.22,4.64,3.37
,,,,,,,,,,,,
,O020,"Sheep,",heart,1,2.09,13.75,5.50,1.61,4.23,4.15,4.72,3.81
,,,,,,,,,,,,
,O021,"Sheep,",liver,4,2.64±0.29,10.93±0.65,5.17±0.20,1.68±0.22,4.79±0.65,4.53±0.12,4.91±0.16,3.67±0.07
,,,,,,,,,,,,
,O022,"Sheep,",tripe,2,2.60,10.80,8.76,1.48,5.11,3.32,4.36,4.42
,,,,,,,,,,,,
,O023,"Sheep,",spleen,1,2.27,12.11,6.76,1.46,4.38,4.02,4.39,3.34
,,,,,,,,,,,,
,O024,"Sheep,",kidneys,2,2.57,12.78,6.65,1.69,4.90,3.78,4.91,4.36
,,,,,,,,,,,,
,O025,"Beef, s",houlder,6,2.60±0.28,13.85±0.62,5.96±0.50,1.38±0.15,4.46±0.31,4.25±0.11,4.45±0.32,3.97±0.44
,,,,,,,,,,,,
,O026,"Beef, c",hops,4,2.87±0.40,14.07±0.78,6.26±0.25,1.25±0.09,4.80±0.26,4.73±0.66,4.79±0.57,3.80±0.47
,,,,,,,,,,,,
,O027,"Beef, ro",und (leg),6,2.90±0.22,14.70±0.61,5.82±0.65,1.63±0.35,4.13±0.23,4.49±0.29,4.19±0.58,4.28±0.30
