Rambhaa (S,.),D063,Rongalao (A.),,"D065, D06"
,,,,,
Rambutan (,"Common,H.)",E059,Rongalao paat (A.,),C030
,,,,,
Ramdana (H,.),"A001, A002",Rowagun (Kash.),,D074
,,,,,
Ramtoriya (,N.),D056,Rowangun (Kash.),,"D075, D07"
,,,,,
Randhuni (B,.),D037,Ruang (Kash.),,G023
,,,,,
Ranga alu (B,.),"F013, F014,",Rubus sp. (Sci.),,E013
,,F019,Ruhan (Kash.),,"G011, G01"
Rani (Com,mon),P063,,,G013
Raphanus sa,tivus (Sci.),"C031, F009-",Rumex leaves (Co,mmon),C032
,,F012,Rumex patientia (,Sci.),C032
Rashun (B.),,"G011, G012",,,
,,,Rymbai (Kh.),,"B005, B01"
Rasi (O.),,"H009, H010,",,,
,,H011,Rymbai ja (Kh.),,"B022, B02"
Rastrelliger,kanagurta (Sci.),P034,Rymbai lieh (Kh.),,B006
Rasuna (O.),,"G011, G012,",Rynsun (Kh.),,G013
,,G013,Rynsun rit (Kh.),,G012
Ratadu (G.),,"F018, F019",,,
,,,RynsunHeh/ Ryns,un dkhar (Kh.),G011
Ratalu (Mar,".,U.)","F013, F014",,,
,,,Saalad ko paat (N.,),C025
Rato Khursa,ni (N.),G022,,,
,,,Saathukudi (Tam.),,E047
"Ray fish, bo","w head, spotted (Common)",P064,,,
,,,Sabarjil (Mal.),,E051
Rayo (N.),,H013,,,
,,,Sabed kaddu (H.),,"D077, D07"
Razma (Kas,h.),"B018, B019,",,,
,,B020,Saboot masari dal,(P.),"B014, B01"
"Red gram, d",al (Common),B021,Sabut maa ki daal,(P.),B004
"Red gram, te","nder, fresh (Common)",D067,Sabut moong dal (,P.),B011
"Red gram, w",hole (Common),B022,Saccharum officin,arum (Sci.),"I001, I002"
Red snapper,(Common),P065,Sadaya (Common),,P067
Red snapper,", small (Common)",P066,Safar chand (Mar.,),E001-E004
Regu pandu,(Tel.),E068,Safarjan (G.),,"E001, E003"
Rhi (P.),,H017,,,E004
,,,Safed tal (G.),,H011
Rhina ancyl,ostoma (Sci.),P064,,,
,,,Safflower seeds (C,ommon),H019
Rhinobatus,prahli (Sci.),P016,,,
,,,Sagi (A.),,F015
Ri majai (K,h.),"D032, D047,",,,
,,D048,SagolHawai (M.),,D051
Ribes nigru,m (Sci.),E015,SagolHawai Tang,khai (M.),B003
Rice Bean (,Common),B023,Saib (U.),,E001-E004
"Rice, flakes",(Common),A011,Saijan patta (H.),,C019
"Rice, par bo","iled, milled (Common)",A014,Saijan-ki-phalli (H,.),D046
"Rice, puffed",(Common),A012,Sajana (M.),,D046
"Rice, raw, b",rown (Common),A013,Sajana chhuin (O.),,D046
"Rice, raw, m",illed (Common),A015,Sajana mana (M.),,C019
Ridge gourd,(Common),D068,Sajina (A.),,D046
Ridge gourd,", smooth skin (Common)",D069,Sajina paat (A.),,C019
Riewhadem,Lieh (Kh.),A008,Sajjalu (Tel.),,A003
Riewhadem,Lung (Kh.),D042,Sajje (Kan.),,A003
Riewhadem,Stem (Kh.),A007,Sajna danta (B.),,D046
Ringna (G.),,D010-D030,Sajna pata (B.),,C019
Rohor dail (,A.),B021,Sajna sag (O.),,C019
Rohu (Com,mon),S006,Sakhar Khand (N.,),"F013, F014"
,,,Sakkarai badhami,(Tam.),"E005, E006"
