,,,,,,,µg,,
,,,,,,,,,
,,,,,LUTN,ZEA LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
G033,Turmeric powde,r (Curcuma dome,stica),6,99.8±16.0,3.56±1.60,,55.20±1.77,427±85.8
H,NUTS AND,OIL SEEDS,,,,,,,
H001,Almond (Prunus,amygdalus),,6,5.93±1.89,1.79±0.12,,,11.31±1.57
H002,"Arecanut, dried,",brown (Areca ca,techu),6,21.3±6.13,3.83±2.00,,,41.96±3.23
H003,"Arecanut, dried,",red color (Areca,catechu),3,27.5±7.24,3.12±1.66,,,63.72±3.91
H004,"Arecanut, fresh",(Areca catechu),,2,31.65,6.23,,,47.78
H005,Cashew nut (An,acardium occident,ale),6,5.87±1.91,3.21±1.77,,,16.94±3.30
H006,"Coconut, kernal",", dry (Cocos nucif",era),6,62.5±9.59,3.12±1.03,,,176±9.4
H007,"Coconut, kernel",", fresh (Cocos nu",cifera),6,122±15.4,4.84±1.66,,2.66±0.28,204±11.3
H008,"Garden cress, s",eeds (Lepidium sa,tivum),5,22.5±7.41,33.93±10.2,,,559±34.6
H009,"Gingelly seeds,",black (Sesamum,indicum),6,22.9±11.0,2.67±1.21,,13.09±2.67,60.78±13.60
H010,"Gingelly seeds,",brown (Sesamum,indicum),4,17.0±4.46,2.40±0.61,,5.41±0.57,86.72±3.90
H011,"Gingelly seeds,",white (Sesamum,indicum),5,19.7±5.45,1.88±0.33,,12.94±1.55,57.06±19.48
H012,Ground nut (Ara,chis hypogea),,6,4.42±1.04,8.07±2.32,,22.75±2.13,82.80±6.06
H013,Mustard seeds (,Brassica juncea),,6,192±16.3,6.54±2.42,,36.72±7.07,675±77.0
H014,Linseeds (Linum,usitatissimum),,6,5.67±0.81,7.22±0.70,,1.05±0.03,92±22.8
H015,"Niger seeds, bla",ck (Guizotia abys,sinica),4,22.1±4.41,9.61±1.59,,2.15±0.81,295±39.1
H016,"Niger seeds, gra",y (Guizotia abyss,inica),5,6.00±0.54,2.38±1.13,2.73±0.91,8.49±0.83,187±21.6
H017,Pine seed (Pinus,gerardiana),,5,97.0±17.4,11.55±1.53,,1.98±0.52,297±40.4
H018,Pistachio nuts (,Pistacla vera),,6,171±6.8,,,110±10.4,519±31.3
