Ta,,,,,,,,,,,,,,,
ble,,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fa,ed,,,,oi,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
tty,oc,Foo,d Name,,ge,,,,,,,,(TSFA),(TMUFA),(TPUFA)
Acid,doo,,,,R fo,,,,,,,,,,
P,F,,,,.o,,,,,m,g,,,,
rofile,,,,,N,,,,,,,,,,
,,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,,
,,Amaranth spinos,"us, leaves,",red and,,,,,,,,,,,
,C006,green (Amaranthu,s spinosus),,2,0.49,,0.42,36.85,,131,,85.96,17.77,168
,,,,,,,,,,,,,,,
,C007,Basella leaves (B,asella alba),,2,,,,80.67,,123,,101,51.28,203
,,,,,,,,,,,,,,,
,C008,Bathua leaves (Ch,enopodium,album),2,,,,50.68,,169,,120,8.61,219
,,,,,,,,,,,,,,,
,C009,Beet greens (Beta,vulgaris),,6,,,,101±0.6,,207±0.6,,188±0.5,79.51±0.62,308±0.4
,,,,,,,,,,,,,,,
,C010,"Betel leaves, big (",kolkata) (P,iper betle),6,,,,110±4.8,,146±12.8,,250±11.6,93.43±4.18,256±11.6
,,,,,,,,,,,,,,,
,C011,"Betel leaves, sma",ll (Piper bet,le),4,,,,104±8.4,,172±8.9,,238±15.9,82.67±2.65,277±16.9
,,,,,,,,,,,,,,,
,C012,Brussels sprouts,(Brassica o,leracea,1,,,,43.82,,41.11,,226,88.69,84.92
,,var. gemmifera),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C013,"Cabbage, Chines",e (Brassica,rupa),1,,,,11.68,,43.33,,33.01,15.97,55.01
1,,,,,,,,,,,,,,,
96,,"Cabbage, collard",greens (Br,assica,,,,,,,,,,,
,C014,oleracea var. viridi,s),,1,,,,54.33,,62.60,,61.87,37.19,117
,,,,,,,,,,,,,,,
,C015,"Cabbage, green (",Brassica ole,racea var.,6,,,,42.80±1.94,,48.61±2.63,,46.54±3.63,30.05±1.84,91.40±3.88
,,capitata f. alba),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C016,"Cabbage, violet (B",rassica ole,racea var.,2,,,,52.26,,60.18,,58.42,41.14,112
,,capitata f. rubra),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C017,Cauliflower leave,s (Brassica,oleracea,6,,,,84.83±4.23,,139±9.5,,115±7.7,20.80±0.81,224±11.8
,,var. botrytis),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C018,"Colocasia leaves,",green (Col,ocasia,6,,,,353±12.1,,335±13.5,,426±9.1,47.63±4.33,689±24.8
,,anti-quorum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C019,Drumstick leaves,(Moringa ol,eifera),3,,,,222±54.4,,446±87.7,,560±41.6,102±8.0,668±52.7
,,,,,,,,,,,,,,,
,C020,Fenugreek leaves,(Trigonella,foenum,5,,,,82.83±5.58,,362±11.4,,199±9.0,20.15±1.30,445±13.0
,,graecum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C021,Garden cress (Le,pidium sativ,um),2,,,,34.61,,24.10,,28.68,8.24,58.71
,,,,,,,,,,,,,,,
,C022,"Gogu leaves, gre",en (Hibiscus,,4,1.25±0.40,,,150±5.5,,434±19.0,,245±10.6,39.85±1.61,584±23.3
,,cannabinus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C023,"Gogu leaves, red",(Hibiscus c,annabinus),1,1.05,,,132,,435,,243,45.93,567
,,,,,,,,,,,,,,,
,C024,"Knol-Khol, leaves",(Brassica o,leracea,2,,,,43.00,,111,,107,18.91,154
,,var. gongylodes),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C025,Lettuce (Lactuca s,ativa),,3,,,,74.85±12.1,,134±17.8,,116±11.9,22.22±3.42,208±29.6
