T,,,,,,,,,,,,,,
able,,,,sn,,Oxalate,,Cis-Aconitic,Citric Acid F,umaric Acid,Mallic Acid,Quinic Acid S,uccinic Acid T,artaric Aci
9. Org,edoc,Food N,ame,oigeR,Total,Soluble,Insoluble,Acid,,,,,,
anic,doo,,,fo,,,,,mg,,,,,
A,F,,,.o,,,,,,,,,,
ci,,,,N,,,,,,,,,,
ds,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
,,,,,,,,,,,,,,
,E013,Black berry (Rubus,fruticosus),5,5.33±1.58,0.98±0.03,4.35±1.58,0.05±0.02,396±2.9,1.44±0.29,262±4.4,2.59±0.26,,
,,,,,,,,,,,,,,
,E014,"Cherries, red (Prunu",s cerasus),4,6.15±1.36,4.44±0.67,1.71±1.36,0.28±0.06,18.84±1.08,0.33±0.06,289±5.0,5.53±0.42,30.22±5.50,3.25±1.45
,,,,,,,,,,,,,,
,E015,"Currants, black (Rib",es nigrum),1,10.80,1.95,8.84,,421,2.76,389,,,382
,,,,,,,,,,,,,,
,E016,Custard apple (Ann,ona squamosa),1,35.10,22.28,13.35,,11.23,12.81,1.11,,6.53,
,,,,,,,,,,,,,,
,E017,"Dates, dry, pale bro",wn (Phoenix,6,2.11±0.86,1.63±0.22,0.29±0.17,,58.61±1.75,3.55±0.51,34.17±2.47,16.04±0.46,1.75±0.49,
,,dactylifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E018,"Dates, dry, dark bro",wn (Phoenix,2,1.98,0.99,0.98,,3.01,3.21,33.23,3.02,2.17,
,,dactylifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E019,"Dates, processed (",Phoenix,2,1.96,1.56,0.40,,4.98,7.62,29.08,5.84,3.99,
,,dactylifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E020,Fig (Ficus carica),,6,46.71±10.69,5.26±0.71,41.69±11.14,,216±2.7,1.51±0.27,23.51±2.59,134±2.3,132±3.5,
,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
24,E021,Goosberry (Emblica,officinalis),5,7.96±0.91,5.40±0.74,2.81±1.28,,751±8.5,1.65±0.28,7.58±1.17,,44.33±6.23,14.06±1.11
,,,,,,,,,,,,,,
,E022,"Grapes, seeded, ro","und, black (Vitis",4,26.12±10.48,12.96±4.29,10.53±7.96,0.03±0.01,3.12±0.98,1.14±0.45,288±3.6,,,280±5.3
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E023,"Grapes, seeded, ro","und, green (Vitis",5,25.74±6.18,18.79±2.51,7.09±4.59,0.03±0.02,3.36±0.17,1.47±0.54,286±4.1,,,276±20.9
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E024,"Grapes, seeded, ro","und, red (Vitis",5,23.92±5.49,12.77±5.37,11.15±1.27,0.06±0.01,1.82±1.39,1.57±0.22,291±33.7,,,272±75.9
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E025,"Grapes, seedless, o","val, black (Vitis",5,19.07±5.22,9.21±2.68,9.86±5.42,0.03±0.00,3.06±1.31,1.77±0.04,282±2.0,,,268±39.3
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E026,"Grapes, seedless, r","ound, green",5,20.06±6.25,13.79±3.59,6.27±4.37,0.04±0.01,3.47±1.39,1.56±0.77,290±2.8,,,288±21.0
,,(Vitis vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E027,"Grapes, seedless, r","ound, black",5,22.11±3.87,16.09±4.81,6.02±2.63,0.27±0.03,3.98±2.07,1.42±0.08,282±0.0,,,274±66.9
,,(Vitis vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E028,"Guava, white flesh",(Psidium guajava),5,13.05±3.69,0.32±0.28,10.61±6.06,0.62±0.16,384±176,1.83±0.80,77.02±1.63,,2.83±0.48,1.39±0.26
,,,,,,,,,,,,,,
,E029,"Guava, pink flesh (",Psidium guajava),5,9.57±2.04,0.64±0.12,7.44±4.10,,87.07±1.32,0.46±0.04,25.94±4.84,24.71±4.04,15.47±1.36,1.43±0.13
,,,,,,,,,,,,,,
,E030,"Jack fruit, ripe (Arto",carpus,5,8.45±3.18,5.49±2.17,2.96±2.40,2.57±0.85,35.40±1.14,11.19±2.03,219±5.1,347±1.4,,
,,heterophyllus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E031,"Jambu fruit, ripe (S",yzygium cumini),2,9.60,7.24,2.37,0.16,72.26,0.42,23.69,,,
,,,,,,,,,,,,,,
,E032,Karonda fruit (Caris,sa carandas),1,5.88,3.18,2.40,,2.13,0.66,,0.55,1.07,
