,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
A019,"Wheat flour,",atta (Triticum,aestivum),6,1.54±0.53,,0.001±0.001,30.94±3.65,0.006±0.005,0.006±0.003,0.48±0.11,4.10±0.67,0.006±0.003,0.002±0.001
A020,"Wheat, whol",e (Triticum aes,tivum),6,0.55±0.23,,0.002±0.001,39.36±5.65,0.006±0.003,0.003±0.002,0.49±0.12,3.97±0.78,,0.005±0.004
A021,"Wheat, bulg",ur (Triticum ae,stivum),6,0.43±0.16,0.40±0.18,0.001±0.001,27.09±1.62,0.007±0.002,0.001±0.000,0.40±0.07,3.86±0.34,0.008±0.011,
A022,"Wheat, semo",lina (Triticum,aestivum),6,0.64±0.19,,0.002±0.001,29.38±2.11,0.006±0.003,0.003±0.002,0.46±0.11,2.98±0.34,0.004±0.000,0.002±0.002
A023,"Wheat, verm",icelli (Triticum,aestivum),6,1.15±0.38,,0.001±0.001,19.42±1.74,0.006±0.005,0.002±0.001,0.19±0.03,2.02±0.41,0.008±0.002,0.001±0.001
A024,"Wheat, verm aestivum)","icelli, roasted",(Triticum,6,1.20±0.16,,0.001±0.000,22.63±3.46,0.007±0.002,0.003±0.002,0.22±0.05,2.09±0.42,0.009±0.008,0.001±0.000
,,,,,,,,,,,,,,
B,GRAIN L,EGUMES,,,,,,,,,,,,
B001,Bengal gram,", dal (Cicer ar",ietinum),6,0.65±0.19,,,46.32±5.12,0.008±0.006,0.024±0.006,0.82±0.12,6.08±0.27,0.011±0.013,0.003±0.001
B002,Bengal gram,", whole (Cice",r arietinum),6,2.10±0.19,,,150±18.3,0.015±0.003,0.021±0.005,0.85±0.12,6.78±0.75,0.006±0.002,0.006±0.002
B003,"Black gram,",dal (Phaseolu,s mungo),6,1.19±0.33,,,55.67±6.10,0.011±0.004,0.014±0.004,0.64±0.08,4.67±0.55,0.004±0.000,0.002±0.001
B004,"Black gram,",whole (Phase,olus mungo),6,2.25±0.63,,,86.18±8.99,0.019±0.007,0.018±0.004,0.76±0.12,5.97±0.56,0.008±0.006,0.005±0.002
B005,"Cowpea, bro",wn (Vigna cat,jang),6,1.36±0.61,,,81.73±7.63,0.010±0.002,0.013±0.002,0.81±0.16,5.90±1.26,,0.006±0.002
B006,"Cowpea, whi",te (Vigna catj,ang),1,0.40,,,84.10,0.004,0.017,0.68,5.04,,0.007
B007,"Field bean, b",lack (Phaseo,lus vulgaris),1,0.53,,,78.16,0.010,0.021,1.03,4.50,,0.001
B008,"Field bean, b",rown (Phase,olus vulgaris),1,0.73,,,75.20,0.010,0.018,0.90,4.99,,0.001
B009,"Field bean,",white (Phaseo,lus vulgaris),5,0.52±0.24,,,77.24±10.17,0.019±0.014,0.014±0.005,0.94±0.09,5.50±0.72,,0.001±0.001
B010,"Green gram,",dal (Phaseolu,s aureus),6,2.47±0.24,,,43.13±5.14,0.002±0.001,0.006±0.001,0.97±0.11,3.93±0.30,0.002±0.001,0.002±0.001
B011,"Green gram,",whole (Phas,eolus aureus),6,3.24±0.39,,,92.43±10.68,0.012±0.006,0.021±0.009,1.00±0.14,4.89±0.46,,0.002±0.002
B012,"Horse gram,",whole (Dolicu,s biflorus),6,4.69±1.04,,0.001±0.001,269±34.9,0.027±0.010,0.054±0.024,1.29±0.09,8.76±1.16,0.007±0.002,0.005±0.008
B013,Lentil dal (Le,ns culinaris),,6,1.60±0.14,1.19±0.76,,44.32±4.74,0.006±0.002,0.009±0.003,0.96±0.11,7.06±0.55,,0.003±0.003
B014,"Lentil whole,",brown (Lens,culinaris),6,2.60±0.43,0.46±0.47,,76.13±7.23,0.022±0.013,0.015±0.004,0.98±0.07,7.57±0.67,0.016±0.013,0.004±0.002
