,,,sn,Aluminium,Arsenic,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Lithium
,ed,,oi,(Al),(As),(Cd),(Ca),(Cr),(Co),(Cu),(Fe),(Pb),(Li)
,oc,Food Name,geR,,,,,,,,,,
,doo,,fo,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,F,,.o,,,,,,,,,,
,,,N,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
,,,,,,,,,,,,,
,L,MILK AND MILK PRODUCTS,,,,,,,,,,,
,,,,,,,,,,,,,
,L001,"Milk, whole, Buffalo",6,,,0.01±0.00,121±3.0,0.004±0.001,0.005±0.001,0.03±0.01,0.16±0.02,0.005±0.002,
,,,,,,,,,,,,,
,L002,"Milk, whole, Cow",6,,,0.01±0.00,118±2.9,0.004±0.001,0.004±0.001,0.03±0.01,0.15±0.02,0.002±0.001,
,,,,,,,,,,,,,
,L003,Panner,6,2.53±0.51,,,476±35.7,0.110±0.012,0.001±0.001,0.10±0.05,0.90±0.24,,
,,,,,,,,,,,,,
,L004,Khoa,6,3.36±0.34,2.89±0.95,,602±79.7,0.119±0.011,,0.07±0.09,2.32±0.36,0.010±0.003,0.004±0.001
,,,,,,,,,,,,,
145,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table,,,,,,,,,,,,,
5.,,,,,,,,,,,,,
Minerals,,,,,,,,,,,,,
and,,,,,,,,,,,,,
Trace,,,,,,,,,,,,,
Elements,,,,,,,,,,,,,
