,,,,,,mg,,,
,,,,,,,,,
,,,,,,GALLAC,,,
E056,Pummelo (Citrus m,axima),3,,,,,,
E057,"Raisins, dried, bla",ck (Vitis vinifera),6,,,,,0.55±0.04,0.71±0.06
E058,"Raisins, dried, gol",den (Vitis vinifera),6,,,,,1.66±0.13,0.48±0.13
E059,Rambutan (Nepheli,um lappaceum),1,0.06,0.12,,,1.21,1.32
E060,Sapota (Achras sap,ota),6,,1.51±0.48,,,,0.61±0.07
E061,Soursop (Annona m,uricata),1,,0.55,,,,0.12
E062,Star fruit (Averrhoa,carambola),1,,0.49,,,,
E063,Strawberry (Fragar,ia ananassa),6,,,,0.22±0.03,0.20±0.08,
E064,"Tamarind, pulp (Ta",marindus indicus),6,,,,,,
E065,"Water melon, dark (Citrullus vulgaris)",green (sugar baby),6,0.34±0.10,,,,1.77±0.13,0.38±0.10
E066,"Water melon, pale vulgaris)",green (Citrullus,6,0.34±0.11,,,,1.53±0.14,0.33±0.07
E067,Wood Apple (Limon,ia acidissima),3,,,,,0.02±0.01,1.11±0.14
E068,Zizyphus(Zizyphus,jujube),1,,,,,0.04,
,,,,,,,,,
F,ROOTS AND,TUBERS,,,,,,,
F001,Beet root (Beta vul,garis),6,,0.29±0.03,,,0.05±0.02,0.14±0.02
F002,"Carrot, orange (Da",cus carota),6,,,,,,0.73±0.12
F003,"Carrot, red (Dacus",carota),4,,,,,,0.89±0.11
F004,Colocasia (Colocas,ia antiquorum),6,,,0.52±0.21,,1.61±0.25,2.63±0.34
F005,Lotus root (Nelumb,ium nelumbo),3,,,,,0.03±0.01,0.37±0.01
F006,"Potato, brown skin tuberosum)",", big (Solanum",6,,,,,,2.40±0.38
