Ta,,,,,,,,,,,,,,
ble,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fat,edo,,,oig,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
ty,c,Food N,ame,eR,,,,,,,,(TSFA),(TMUFA),(TPUFA)
Acid,doo,,,fo,,,,,,,,,,
P,F,,,.o,,,,,mg,,,,,
rofile,,,,N,,,,,,,,,,
,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,
,E067,Wood Apple (Limonia,acidissima),3,,,,799±19.0,,636±46.2,,877±4.3,595±24.7,1435±27.7
,,,,,,,,,,,,,,
,E068,Zizyphus(Zizyphus juj,ube),1,2.33,,,27.18,,8.07,,119,126,35.25
,,,,,,,,,,,,,,
,F,ROOTS AND TU,BERS,,,,,,,,,,,
,,,,,,,,,,,,,,
,F001,Beet root (Beta vulgar,is),6,,,,57.23±5.65,,6.98±0.71,,31.17±3.30,21.96±2.57,64.21±6.24
,,,,,,,,,,,,,,
,F002,"Carrot, orange (Dacu",s carota),6,,,,241±10.5,,24.38±1.90,,87.71±3.56,21.01±1.26,266±12.0
,,,,,,,,,,,,,,
,F003,"Carrot, red (Dacus ca",rota),4,,,,246±0.3,,24.10±0.25,,88.91±1.03,18.27±0.53,270±0.3
,,,,,,,,,,,,,,
,F004,Colocasia (Colocasia,antiquorum),6,,,,69.01±5.43,,8.40±0.39,,41.84±2.89,22.92±1.60,77.41±5.53
,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
4,F005,Lotus root (Nelumbiu,m nelumbo),3,,,,291±23.3,,123±8.9,,249±20.3,84.12±3.38,414±31.1
,,,,,,,,,,,,,,
,F006,"Potato, brown skin, b",ig (Solanum,6,,,,97.45±6.16,,31.84±2.68,,43.56±1.88,13.82±1.65,129±8.2
,,tuberosum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F007,"Potato, brown skin, s",mall (Solanum,1,,,,54.34,,73.68,,44.03,11.94,128
,,tuberosum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F008,"Potato, red skin (Sola",num tuberosum),1,,,,92.44,,28.78,,39.87,14.91,121
,,,,,,,,,,,,,,
,F009,"Radish, elongate, red",skin (Raphanus,3,,,,23.71±1.6,,33.02±4.55,,42.65±3.07,7.29±0.74,56.73±5.71
,,sativus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F010,"Radish, elongate, wh",ite skin,6,,,,21.64±2.09,,32.00±1.60,,43.88±3.78,9.14±0.86,53.64±3.41
,,(Raphanus sativus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F011,"Radish, round, red sk",in (Raphanus,1,,,,21.18,,54.67,,46.08,6.08,75.85
,,sativus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F012,"Radish, round, white",skin (Raphanus,2,,,,15.71,,46.49,,41.15,12.64,62.20
,,sativus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F013,"Sweet potato, brown",skin (Ipomoes,4,,,,96.29±7.72,,19.52±0.67,,66.10±3.26,4.10±0.60,116±8.3
,,batatas),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F014,"Sweet potato, pink sk",in (Ipomoes,3,,,,154±7.2,,25.92±2.35,,101±4.4,9.35±1.72,180±6.1
,,batatas),,,,,,,,,,,,
,,,,,,,,,,,,,,
,F015,Tapioca (Manihot escu,lenta),3,,,,78.47±5.88,,12.83±0.98,,59.50±2.11,9.20±0.72,91.29±6.85
,,,,,,,,,,,,,,
,F016,Water Chestnut (Eleo,charis dulcis),1,2.08,1.52,,97.81,,6.16,,87.42,105,104
