,,,,,,,,µg,,
,,,,,,,,,,
,,,,,,LUTN,ZEA LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
C029,Ponnaganni (,Altern,anthe,ra sessilis),2,5201,105,,5288,24206
C030,Pumpkin leav,"es, te",nder,(Cucurbita maxima),6,6139±982,45.28±17.23,,1455±146,8247±720
C031,Radish leave,s (Ra,phanu,s sativus),6,1741±190,22.71±10.72,,2591±572,9339±854
C032,Rumex leave,s (Ru,mex p,atientia),2,2370,18.98,,2754,8290
C033,Spinach (Spin,acia,olerac,ea),6,3850±926,17.23±5.40,,2605±521,9553±1491
C034,Tamarind lea,"ves, t",ender,(Tamarindus indica),3,58.83±10.16,1.88±0.26,,168±21.2,4002±389
,,,,,,,,,,
D,OTHER V,EGE,TAB,LES,,,,,,
D001,Ash gourd (B,eninc,asa hi,spida),6,18.29±4.23,5.76±2.93,,,66.67±10.19
D002,Bamboo sho,"ot, ten",der (,Bambusa vulgaris),1,2.50,,,,11.60
D003,"Bean scarlet,",tend,er (Ph,aseolus coccineus),5,98.51±21.39,2.67±0.33,,35.52±3.88,1055±156
D004,"Bitter gourd, (Momordica c",jagge harant,"d, tee ia)","th ridges, elongate",6,282±101,5.83±2.55,,122±10.9,717±179
D005,"Bitter gourd, (Momordica c",jagge harant,"d, tee ia)","th ridges, short",4,244±82.0,6.96±2.53,,126±7.10,505±86
D006,"Bitter gourd, elongate (Mo",jagge mordi,"d, sm ca cha","ooth ridges, rantia)",1,313,7.20,,130,481
D007,"Bottle gourd, (Lagenaria vul",elon garis),"gate,",pale green,6,28.88±8.19,,,44.05±11.68,95.12±13.56
D008,"Bottle gourd, vulgaris)",roun,"d, pal",e green (Lagenaria,5,29.64±2.98,8.60±2.23,,47.13±3.49,92.56±17.23
D009,"Bottle gourd, (Lagenaria vul",elon garis),"gate,",dark green,1,28.98,2.50,,44.82,97.02
D010,Brinjal-1 (Sol,anum,melon,gena),1,126,1.90,,126,186
D011,Brinjal-2 (Sol,anum,melon,gena),1,130,2.80,,130,167
D012,Brinjal-3 (Sol,anum,melon,gena),2,131,3.29,,138,155
