,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,,F10D0 F12D0 F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
A018,"Wheat flour,",refined (Tritic,um aestivum),6,,91.24±1.50,7.31±0.73,,,,,50.64±2.98
A019,"Wheat flour,",atta (Triticum,aestivum),6,,191±5.6,14.55±3.10,,,,,149±7.5
A020,"Wheat, whol",e (Triticum aes,tivum),6,,176±7.4,14.83±2.25,,,,,141±9.4
A021,"Wheat, bulg",ur (Triticum ae,stivum),6,,179±4.2,17.41±2.78,,,,,152±5.8
A022,"Wheat, semo",lina (Triticum,aestivum),6,,81.63±4.28,7.24±1.49,,,,,67.34±3.25
A023,"Wheat, verm",icelli (Triticum,aestivum),6,,59.43±4.42,5.15±0.65,,,,,36.06±2.43
A024,"Wheat, verm aestivum)","icelli, roasted",(Triticum,6,,46.97±4.72,2.98±0.21,,,,,28.84±1.22
,,,,,,,,,,,,
B,GRAIN L,EGUMES,,,,,,,,,,
B001,Bengal gram,", dal (Cicer ar",ietinum),6,,405±6.6,51.90±2.23,11.55±1.42,,,7.89±0.99,855±18.9
B002,Bengal gram,", whole (Cice",r arietinum),6,,382±4.6,58.02±6.35,13.29±2.64,,,7.87±1.06,871±25.1
B003,"Black gram,",dal (Phaseolu,s mungo),6,,221±9.9,54.60±2.89,,,,,186±8.1
B004,"Black gram,",whole (Phase,olus mungo),6,,211±12.2,47.37±6.75,,,,,161±7.1
B005,"Cowpea, bro",wn (Vigna cat,jang),6,,227±5.6,33.10±1.30,6.84±0.76,11.52±0.79,4.43±0.43,,57.69±6.88
B006,"Cowpea, whi",te (Vigna catj,ang),1,,228,34.43,6.34,12.19,4.05,,67.63
B007,"Field bean, b",lack (Phaseo,lus vulgaris),1,,142,36.97,3.33,2.61,2.68,,80.07
B008,"Field bean, b",rown (Phase,olus vulgaris),1,,149,39.16,3.66,3.01,3.04,,127
B009,"Field bean,",white (Phaseo,lus vulgaris),5,,142±6.0,37.22±1.84,2.81±0.22,2.31±0.48,1.92±0.26,,61.57±6.06
B010,"Green gram,",dal (Phaseolu,s aureus),6,,208±6.3,39.24±4.70,,,,,35.85±4.30
B011,"Green gram,",whole (Phas,eolus aureus),6,,233±7.6,41.32±4.98,,,,,27.22±5.09
B012,"Horse gram,",whole (Dolicu,s biflorus),6,,114±2.1,13.59±0.76,,4.45±0.21,2.65±0.19,,68.89±1.85
