,,,,,,mg,,
,,,,,,,,
,,,,,,GALLAC,,
F007,"Potato, brown skin, small tuberosum)",(Solanum,1,,,,,4.12
F008,"Potato, red skin (Solanum",tuberosum),1,,,,,4.18
F009,"Radish, elongate, red skin sativus)",(Raphanus,3,,,0.05±0.01,4.27±1.30,2.17±0.85
F010,"Radish, elongate, white sk sativus)",in (Raphanus,6,,,0.03±0.01,4.39±0.60,2.46±0.33
F011,"Radish, round, red skin (R sativus)",aphanus,1,,,0.07,4.71,1.69
F012,"Radish, round, white skin sativus)",(Raphanus,2,,,0.06,4.26,2.01
F013,"Sweet potato, brown skin batatas)",(Ipomoes,4,0.37±0.04,,,,0.08±0.02
F014,"Sweet potato, pink skin (Ip",omoes batatas),3,0.52±0.10,,,,0.09±0.01
F015,Tapioca (Manihot esculenta,),3,,,,0.04±0.02,0.32±0.01
F016,Water Chestnut (Eleochari,s dulcis),1,,,,,
F017,"Yam, elephant (Amorphoph campanulatus)",allus,6,,0.06±0.01,,,
F018,"Yam, ordinary (Amorphoph campanulatus)",allus,4,,0.13±0.01,,,
F019,"Yam, wild (Dioscorea versic",olor),2,,0.13,,,
G,CONDIMENTS AND,SPICES-FRES,H,,,,,
G001,"Chillies, green-1 (Capsicu",m annum),5,,,0.07±0.03,0.65±0.16,3.20±0.66
G002,"Chillies, green-2 (Capsicu",m annum),3,,,0.08±0.01,0.09±0.01,2.46±1.02
G003,"Chillies, green-3 (Capsicu",m annum),5,,,0.10±0.02,0.23±0.11,3.10±1.16
G004,"Chillies, green-4 (Capsicu",m annum),3,,,0.09±0.02,0.15±0.09,2.59±0.41
