edoc dooF,,Food Name,,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
A019,"Wheat flour,",atta (Triticum,aestivum),6,125±11.5,2.98±0.36,,0.022±0.009,0.021±0.015,315±41.4,311±38.3,53.12±5.47,2.04±0.31,2.85±0.32
A020,"Wheat, whol",e (Triticum aes,tivum),6,125±14.8,3.19±0.59,,0.073±0.030,0.014±0.005,315±41.8,366±59.6,47.76±5.96,2.50±0.20,2.85±0.65
A021,"Wheat, bulg",ur (Triticum ae,stivum),6,116±14.0,1.95±0.13,2.01±0.12,0.029±0.013,0.018±0.016,245±27.9,330±33.4,10.54±2.23,2.09±0.34,1.97±0.25
A022,"Wheat, semo",lina (Triticum,aestivum),6,37.89±3.71,1.98±0.18,2.67±3.69,0.018±0.011,0.008±0.006,119±8.5,284±26.5,10.93±5.06,2.31±0.61,2.13±0.32
A023,"Wheat, verm",icelli (Triticum,aestivum),6,34.18±5.28,0.67±0.11,,0.031±0.016,0.008±0.002,99±12.94,163±26.7,15.33±3.25,2.71±0.79,0.83±0.12
A024,"Wheat, verm aestivum)","icelli, roasted",(Triticum,6,39.03±7.18,0.75±0.15,,0.019±0.004,0.010±0.005,107±21.6,177±30.3,14.29±3.11,3.43±0.14,0.88±0.22
,,,,,,,,,,,,,,
B,GRAIN L,EGUMES,,,,,,,,,,,,
B001,Bengal gram,", dal (Cicer ar",ietinum),6,118±12.9,1.68±0.16,1.78±0.12,0.047±0.034,0.141±0.031,325±14.0,957±23.7,50.97±22.01,20.83±0.15,3.65±0.37
B002,Bengal gram,", whole (Cice",r arietinum),6,160±17.5,2.71±0.33,1.77±0.12,0.064±0.031,0.081±0.023,267±21.9,935±37.9,41.23±11.67,26.56±0.12,3.37±0.26
B003,"Black gram,",dal (Phaseolu,s mungo),6,173±3.1,1.46±0.06,2.11±0.44,0.054±0.032,0.249±0.070,375±43.7,1157±38.0,23.99±2.15,18.88±2.27,3.00±0.18
B004,"Black gram,",whole (Phase,olus mungo),6,190±19.1,1.83±0.34,2.43±1.06,0.099±0.053,0.241±0.077,345±36.5,1093±24.5,27.98±7.08,26.80±3.77,3.05±0.24
B005,"Cowpea, bro",wn (Vigna cat,jang),6,213±20.3,1.51±0.29,,0.108±0.052,0.233±0.071,372±32.9,1241±116,23.95±4.40,13.68±0.07,3.41±0.41
B006,"Cowpea, whi",te (Vigna catj,ang),1,213,1.35,,0.226,0.228,378,1243,26.55,12.52,3.57
B007,"Field bean, b",lack (Phaseo,lus vulgaris),1,197,2.38,,0.073,0.184,457,1272,32.55,1.35,2.42
B008,"Field bean, b",rown (Phase,olus vulgaris),1,173,2.38,,0.057,0.283,429,1245,22.82,1.41,2.44
B009,"Field bean,",white (Phaseo,lus vulgaris),5,190±15.1,2.41±0.33,,0.034±0.020,0.261±0.100,448±71.4,1360±33.0,21.52±1.34,1.70±0.04,2.80±0.18
B010,"Green gram,",dal (Phaseolu,s aureus),6,155±17.2,0.98±0.06,2.03±2.80,0.162±0.140,0.129±0.045,416±22.4,1268±85.3,50.14±8.92,10.14±0.33,2.49±0.12
B011,"Green gram,",whole (Phas,eolus aureus),6,198±39.2,1.05±0.08,2.96±4.83,0.174±0.058,0.103±0.014,353±33.6,1177±74.3,23.32±6.03,12.48±0.07,2.67±0.13
B012,"Horse gram,",whole (Dolicu,s biflorus),6,152±18.1,3.13±0.41,6.72±3.83,0.124±0.056,0.273±0.077,298±22.5,1065±42.4,29.49±6.79,12.14±0.17,2.71±0.21
B013,Lentil dal (Le,ns culinaris),,6,74.69±7.78,1.16±0.12,0.34±0.39,0.079±0.036,0.101±0.015,310±5.3,786±55.3,49.50±18.40,10.27±0.07,3.61±0.26
