,,,,,,,mg,,
,,,,,,,,,
,,,,,,,GALLAC,,
G026,Fenugreek s graecum),eeds (Trigonella foenum,6,,,,,,0.05±0.02
G027,Mace (Myrist,ica fragrans),6,0.11±0.02,0.65±0.06,1.52±0.27,,1.52±0.27,0.85±0.10
G028,Nutmeg (Myr,istica fragrans),6,,0.05±0.01,0.35±0.16,,0.07±0.01,16.04±0.82
G029,Omum (Trac,hyspermum ammi),6,,2.02±0.74,0.05±0.01,,0.07±0.02,1.91±0.69
G030,Pippali (Pipe,r longum),6,,6.56±1.17,,,,
G031,"Pepper, blac",k (Piper nigrum),6,,,4.39±0.68,,0.23±0.05,
G032,Poppy seeds,(Papaver somniferum),6,0.40±0.03,0.36±0.04,,,0.17±0.03,
G033,Turmeric po,wder (Curcuma domestica),6,,,,,1.62±0.57,0.02±0.01
H,NUTS AN,D OIL SEEDS,,,,,,,
H001,Almond (Pru,nus amygdalus),6,,0.43±0.14,0.36±0.02,,,
H002,"Arecanut, dr","ied, brown (Areca catechu)",6,,0.86±0.05,,0.04±0.01,,
H003,"Arecanut, dr","ied, red color (Areca catechu)",3,,0.43±0.18,,0.09±0.04,,
H004,"Arecanut, fre",sh (Areca catechu),2,,1.04,,0.05,,
H005,Cashew nut,(Anacardium occidentale),6,,,,,,
H006,"Coconut, ke","rnal, dry (Cocos nucifera)",6,1.80±0.24,,,0.77±0.15,0.43±0.06,0.04±0.01
H007,"Coconut, ke","rnel, fresh (Cocos nucifera)",6,0.31±0.04,,,0.18±0.04,0.26±0.06,0.02±0.01
H008,Garden cres,"s, seeds (Lepidium sativum)",5,,,,,0.09±0.01,0.08±0.02
H009,Gingelly see,"ds, black (Sesamum indicum)",6,,0.14±0.01,1.45±0.23,,,
H010,Gingelly see indicum),"ds, brown (Sesamum",4,,0.24±0.04,0.41±0.04,,,
