,,,,,,,,,mg,,,,
,,,,,,,,,,,,,
,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
D068,Ridge gourd (Luffa,acutangula),6,,,0.83±0.17,42.19±2.81,6.33±0.68,1.22±0.16,1.56±0.18,2.37±0.15,0.82±0.11,1.75±0.12
D069,"Ridge gourd, smoo acutangula)",th skin (Luffa,3,,,0.77±0.07,30.64±2.57,6.72±0.51,1.21±0.10,1.94±0.14,1.81±0.11,0.87±0.13,2.08±0.31
D070,"Snake gourd, long, (Trichosanthes angui",pale green na),6,,,,72.23±2.64,11.64±1.09,3.77±0.23,4.33±0.38,2.94±0.16,,4.89±0.85
D071,"Snake gourd, long, (Trichosanthes angui",dark green na),2,,,,72.09,11.77,4.36,4.87,2.78,,4.77
D072,"Snake gourd, short anguina)",(Trichosanthes,1,,,,76.61,10.02,3.87,5.04,4.41,,2.96
D073,"Tinda, tender (Praec",itrullus fistulosus),6,,,1.59±0.16,36.25±2.47,7.41±1.55,0.93±0.14,1.41±0.22,1.60±0.08,0.90±0.17,5.75±1.20
D074,"Tomato, green (Lyc esculentum)",opersicon,6,,,,33.68±0.98,10.37±0.70,1.36±0.08,0.72±0.01,0.77±0.03,0.64±0.02,35.51±1.06
D075,"Tomato, ripe, hybri esculentum)",d (Lycopersicon,6,,,,35.23±2.83,9.50±0.96,1.27±0.10,0.86±0.05,0.79±0.15,0.64±0.10,29.25±3.48
D076,"Tomato, ripe, local ( esculentum)",Lycopersicon,6,,,,58.47±2.78,16.77±1.47,1.94±0.13,1.23±0.11,1.17±0.14,1.22±0.15,56.55±6.33
D077,"Zucchini, green (Cu",curbita pepo),2,,3.29,,98.79,16.94,,,,2.88,36.38
D078,"Zucchini, yellow(Cu",curbita pepo),2,,1.51,,49.25,6.08,,,,1.45,19.87
,,,,,,,,,,,,,
E,FRUITS,,,,,,,,,,,,
E001,"Apple, big (Malus do",mestica),6,,,,103±1.8,39.27±0.63,11.40±0.55,,,,51.13±0.74
E002,"Apple, green (Malus",domestica),6,,,,77.85±0.61,28.51±1.14,9.74±0.36,,,,40.99±0.84
E003,"Apple, small (Malus",domestica),6,,,,90.18±6.12,33.40±1.55,10.58±0.96,8.68±1.10,6.23±0.63,,46.96±6.37
E004,"Apple, small, Kash domestica)",mir (Malus,1,,,,105,40.72,12.27,10.36,7.98,,50.63
E005,"Apricot, dried (Prun",us armeniaca),6,,,,168±5.3,32.58±3.32,,,,,118±3.4
E006,"Apricot, processed",(Prunus armeniaca),3,,,,155±5.9,30.05±2.29,,,,,23.33±3.37
