,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
G031,"Pepper, b",lack (Piper nig,rum),6,6.37±2.16,2.01±0.35,0.001±0.000,405±40.9,0.068±0.020,0.005±0.002,1.76±0.43,11.91±3.48,0.037±0.028,0.005±0.003
G032,Poppy se,eds (Papaver,somniferum),6,2.81±0.82,,0.005±0.002,1372±194,0.030±0.009,0.010±0.002,2.05±0.17,10.13±1.04,0.005±0.005,0.004±0.002
G033,Turmeric,powder (Curc,uma domestica),6,12.55±2.14,1.84±0.52,0.001±0.002,122±20.9,0.151±0.043,0.039±0.011,0.44±0.02,46.08±1.83,0.196±0.103,0.014±0.007
H,NUTS,AND OIL S,EEDS,,,,,,,,,,,
H001,Almond (,Prunus amygd,alus),6,0.88±0.32,,,228±10.2,0.006±0.003,0.007±0.002,1.08±0.06,4.59±0.61,0.002±0.002,0.001±0.001
H002,"Arecanut,","dried, brown",(Areca catechu),6,1.68±0.97,,,61±13.25,0.045±0.020,0.003±0.003,1.27±0.29,2.74±0.71,0.008±0.006,0.004±0.003
H003,"Arecanut, catechu)","dried, red co",lor (Areca,3,1.05±0.33,,0.001±0.000,51±11.33,0.029±0.016,0.002±0.001,1.57±0.59,3.26±0.90,0.005±0.003,0.002±0.000
H004,"Arecanut,",fresh (Areca,catechu),2,,,,34.03,,,0.71,1.04,,
H005,Cashew n,ut (Anacardiu,m occidentale),6,0.18±0.11,,,34±2.98,0.002±0.001,0.004±0.001,2.23±0.13,5.95±0.44,0.005±0.004,
H006,"Coconut,","kernal, dry (C",ocos nucifera),6,0.41±0.05,,0.001±0.000,32±4.51,0.013±0.012,0.006±0.003,0.90±0.11,3.13±0.47,0.006±0.003,0.004±0.003
H007,"Coconut,","kernel, fresh",(Cocos nucifera),6,0.03±0.01,,0.001±0.000,8±1.42,0.003±0.002,0.004±0.002,0.36±0.19,1.30±0.51,0.002±0.000,
H008,Garden cr sativum),"ess, seeds (L",epidium,5,,11.01±10.33,0.008±0.003,318±54.8,,0.019±0.010,0.51±0.09,17.20±5.49,0.042±0.029,
H009,Gingelly s indicum),"eeds, black (",Sesamum,6,2.08±0.32,,0.004±0.002,1664±329,0.029±0.014,0.035±0.013,1.76±0.24,13.90±1.60,0.034±0.017,0.035±0.019
H010,Gingelly s indicum),"eeds, brown",(Sesamum,4,2.50±0.69,,0.001±0.001,1174±189,0.020±0.009,0.022±0.011,1.68±0.18,14.95±1.69,0.010±0.011,0.004±0.003
H011,Gingelly s indicum),"eeds, white (",Sesamum,5,1.29±0.43,,,1283±149,0.015±0.006,0.023±0.026,1.50±0.12,15.04±2.09,0.024±0.017,0.005±0.003
H012,Ground n,ut (Arachis hy,pogea),6,3.16±0.39,,0.002±0.001,54±7.37,0.007±0.002,0.009±0.003,0.92±0.08,3.44±0.36,0.003±0.002,0.002±0.002
H013,Mustard s,eeds (Brassic,a juncea),6,7.78±1.60,5.84±1.58,0.004±0.002,402±54.0,0.027±0.018,0.019±0.010,0.69±0.15,13.49±2.95,0.008±0.004,0.016±0.016
H014,Linseeds,(Linum usitati,ssimum),6,,8.25±3.18,0.009±0.002,257±14.0,0.001±0.000,0.033±0.014,1.34±0.09,5.44±0.69,0.004±0.002,
