Ta,,,,,,,,,,
ble,,,,s,C,holecalci,,Tocopherols Tocotrienols,Alpha,Menaquin
3. Fat,edoC,Fish,Name,noigeR,Retinol,ferol (D3),25-OH-D3,Alpha Beta Gamma Delta Alpha Beta Gamma Delta,Tocopherol Equivalent,ones (K2)
Solu,doo,,,fo,,µg,,mg,,µg
ble,F,,,.o,,,,,,
Vita,,,,N,RETOL,CHOCAL,,TOCPHA TOCPHB TOCPHG TOCPHD TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK2
min,,,,,,,,,,
s,P080,Stingray (Dasyati,s pastinaca),1,7.55,0.67,0.23,0.28,0.28,0.90
,,,,,,,,,,
,,,,,,,,,,
,P081,Tarlava(Drepane,punctata),2,5.32,2.35,0.01,0.52,0.52,0.76
,,,,,,,,,,
,P082,Tholam (Plectorhi,nchus schotaf),2,250,2.80,0.75,0.60,0.60,1.33
,,,,,,,,,,
,P083,Tilapia (Oreochro,mis niloticus),1,17.14,0.85,0.08,1.86,1.86,3.65
,,,,,,,,,,
,P084,Tuna(Euthynnus,affinis),5,16.65±8.35,0.11±0.03,0.63±0.18,0.57±0.17,0.57±0.17,11.63±0.28
,,,,,,,,,,
,P085,"Tuna, striped(Ka",tsuwonus,1,21.01,0.65,0.05,0.14,0.14,1.23
,,pelamis),,,,,,,,
,,,,,,,,,,
,P086,Valava (Chirocent,rus nudus),1,1.25,0.25,0.01,0.31,0.31,0.84
,,,,,,,,,,
,P087,Vanjaram (Scomb,eromorus,2,81.90,1.57,0.07,0.67,0.67,0.65
8,,commerson),,,,,,,,
8,,,,,,,,,,
,,,,,,,,,,
,P088,Vela meen (Aprio,n virescens),1,3.03,0.92,,0.44,0.44,0.81
,,,,,,,,,,
,P089,Vora (Siganus jav,us),2,3.20,0.60,0.16,0.65,0.65,1.97
,,,,,,,,,,
,P090,Whale shark(Gal,eocerdo cuvier),1,1.97,1.82,0.35,0.17,0.17,0.81
,,,,,,,,,,
,P091,Xiphinis (Xiphias,gladius),1,1.14,0.02,0.07,0.76,0.76,0.78
,,,,,,,,,,
,P092,"Z.Eggs, Cat fish (",Ompok,1,2.55,2.80,0.47,0.28,0.28,0.53
,,bimaculatus),,,,,,,,
,,,,,,,,,,
,Q,MARINE SH,ELLFISH,,,,,,,
,,,,,,,,,,
,Q001,Crab (Menippe m,ercenaria),1,1.55,0.21,0.68,6.33,6.33,1.04
,,,,,,,,,,
,Q002,"Crab, sea (Portun",us,1,5.02,0.63,0.10,2.06,2.06,1.11
,,sanguinolentus),,,,,,,,
,,,,,,,,,,
,Q003,"Lobster, brown (",Thenus,1,1.83,0.78,0.06,1.35,1.35,1.06
,,orientalis),,,,,,,,
,,,,,,,,,,
,Q004,"Lobster, king siz",e(Thenus,1,15.02,0.19,0.09,0.52,0.52,1.25
,,orientalis),,,,,,,,
,,,,,,,,,,
,Q005,Mud crab (Scylla,tranquebarica),1,8.33,0.94,0.14,2.34,2.34,1.03
