,,,,,,mg,,
,,,,,,,,
,,,,,,GALLAC,,
G006,"Chillies, green-6 (Capsicum",annum),1,,,0.09,0.62,3.66
G007,"Chillies, green-7 (Capsicum",annum),1,,,0.07,0.06,1.94
G008,"Chillies, green - all varietie annum)",s (Capsicum,6,,,0.08±0.02,0.35±0.25,3.03±0.88
G009,Coriander leaves (Coriandru,m sativum),6 2.38±0.69,2.29±0.59,,,,0.80±0.12
G010,Curry leaves (Murraya koeni,gii),6,,,,,0.15±0.03
G011,"Garlic, big clove (Allium sati",vum),6,,2.13±0.87,,5.88±1.32,6.88±0.30
G012,"Garlic, small clove (Allium s",ativum),3,,2.49±0.44,,5.97±0.75,6.74±0.53
G013,"Garlic, single clove, Kashm sativum)",ir (Allium,1,,2.14,,5.98,6.89
G014,"Ginger, fresh (Zinziber offici",nale),6,,,,,11.84±0.41
G015,Mango ginger (Curcuma am,ada),3,0.31±0.01,0.05±0.01,,,
G016,Mint leaves (Mentha spicata,),4,,,0.99±0.15,0.03±0.02,5.66±0.40
G017,"Onion, big (Allium cepa)",,6,2.91±0.49,,,,
G018,"Onion, small (Allium cepa)",,5,2.71±0.65,,,,
G,CONDIMENTS AND,SPICES-DRY,,,,,,
G019,Asafoetida (Ferula assa-foet,ida),6,,0.52±0.31,,0.23±0.07,
G020,"Cardamom, green (Elettaria",cardamomum),6,2.73±0.47,1.40±0.25,,1.46±0.25,
G021,"Cardamom, black (Elettaria",cardamomum),4,2.78±0.19,1.80±0.12,,3.57±0.32,
G022,"Chillies, red (Capsicum ann",um),6,,,0.28±0.03,0.34±0.12,0.72±0.14
G023,Cloves (Syzygium aromaticu,m),6,0.70±0.09,,23.77±2.98,7.42±0.75,
G024,Coriander seeds (Coriandru,m sativum),6,,,,0.04±0.02,0.10±0.03
