Ta,,,,,,,,,,,,,,
b,,,,,,Oxalate,,,,,,,,
le 9,e,,,sn,,,,Cis-Aconitic,Citric Acid F,umaric Acid,Mallic Acid,Quinic Acid S,uccinic Acid T,artaric Aci
. Org,doc,Food Name,,oigeR,Total,Soluble,Insoluble,Acid,,,,,,
anic,doo,,,fo,,,,,mg,,,,,
A,F,,,.o,,,,,,,,,,
ci,,,,N,,,,,,,,,,
ds,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
,,,,,,,,,,,,,,
,G003,"Chillies, green-3 (Capsicum",annum),5,27.68±5.51,22.10±4.92,5.58±1.39,1.33±0.24,6.44±3.13,3.43±0.97,31.64±2.63,,123±4.8,19.99±4.06
,,,,,,,,,,,,,,
,G004,"Chillies, green-4 (Capsicum",annum),3,23.85±7.46,20.50±7.84,3.35±3.07,1.92±0.78,4.43±1.98,3.52±0.78,33.22±2.15,,118±5.2,16.24±2.74
,,,,,,,,,,,,,,
,G005,"Chillies, green-5 (Capsicum",annum),2,38.30±8.99,22.73±5.95,4.33±0.95,1.37±0.82,4.86±1.49,3.94±1.05,33.47±2.26,,129±7.9,24.64±7.08
,,,,,,,,,,,,,,
,G006,"Chillies, green-6 (Capsicum",annum),1,30.12,24.31,5.82,0.73,1.13,3.28,30.79,,121,20.91
,,,,,,,,,,,,,,
,G007,"Chillies, green-7 (Capsicum",annum),1,29.37,25.40,3.97,1.57,5.69,4.04,34.69,,131,19.55
,,,,,,,,,,,,,,
,G008,"Chillies, green - all varieties",,6,28.54±8.17,22.66±6.46,4.92±1.68,1.43±0.57,5.13±2.46,3.42±1.46,30.91±5.46,,126±9.0,18.88±4.33
,,(Capsicum annum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,G009,Coriander leaves (Coriandru,m,6,20.42±9.35,15.75±9.45,4.68±1.97,11.59±1.59,546±3.9,23.95±3.20,65.96±1.91,16.17±1.24,,
,,sativum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,G010,Curry leaves (Murraya koeni,gii),6,154±84.6,10.93±0.38,143±84.4,0.73±0.06,65.27±1.25,1.62±0.46,7.45±1.11,13.66±1.11,37.87±2.28,7.21±1.28
,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
8,G011,"Garlic, big clove (Allium sati",vum),6,159±38.1,130±30.8,28.47±14.59,,0.64±0.16,0.05±0.02,,,20.73±1.90,
,,,,,,,,,,,,,,
,G012,"Garlic, small clove (Allium s",ativum),3,143±56.6,115±51.2,27.98±9.57,,1.15±0.53,0.07±0.02,,,23.11±2.29,
,,,,,,,,,,,,,,
,G013,"Garlic, single clove, Kashm",ir,1,127,119,7.33,,0.12,,,,20.11,
,,(Allium sativum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,G014,"Ginger, fresh (Zinziber officin",ale),6,259±73.9,18.26±1.86,241±75.5,,5.95±0.74,1.43±0.38,,,2.16±0.39,
,,,,,,,,,,,,,,
,G015,Mango ginger (Curcuma am,ada),3,307±127,228±7.8,79.22±5.81,,53.42±1.94,0.40±0.04,33.20±1.80,3.13±1.06,3.80±1.77,
,,,,,,,,,,,,,,
,G016,Mint leaves (Mentha spicata,),4,97.07±12.11,8.30±5.87,88.76±11.05,,25.86±1.24,3.83±0.21,14.80±0.79,26.33±0.55,27.22±0.52,
,,,,,,,,,,,,,,
,G017,"Onion, big (Allium cepa)",,6,4.03±1.85,3.42±0.35,0.61±2.10,43.05±3.98,33.89±1.32,0.63±0.20,392±4.5,,105±16.3,12.21±1.79
,,,,,,,,,,,,,,
,G018,"Onion, small (Allium cepa)",,5,11.11±2.04,9.69±1.69,1.27±0.27,,76.07±6.07,0.04±0.01,117±5.5,165±1.5,135±9.8,
,,,,,,,,,,,,,,
,G,CONDIMENTS AND,SPICES-D,RY,,,,,,,,,,
,,,,,,,,,,,,,,
,G019,Asafoetida (Ferula assa-foeti,da),6,23.82±7.75,3.27±0.11,20.55±7.82,1.66±0.30,6.35±0.86,0.02±0.01,0.46±0.10,4.72±0.72,,1.64±0.48
,,,,,,,,,,,,,,
,G020,"Cardamom, green (Elettaria",,6,1961±174,1191±54.8,770±148,,73.83±0.87,0.85±0.06,22.21±1.41,4.85±0.54,5.41±0.79,
,,cardamomum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,G021,"Cardamom, black (Elettaria",,4,2472±683,1471±619,1001±170,,156±2.1,0.81±0.10,36.77±1.54,4.28±0.04,6.11±0.58,
,,cardamomum),,,,,,,,,,,,
