,,,,,,mg,,,,
,,,,,,,,,,
,,,,,,HESPT,HESPD,DAIDZN,GNSTEIN,EPICATEC
B014,"Lentil whole, bro",w,n (Lens culinaris),6,1.76±0.15,,0.09±0.01,0.02±0.01,0.05±0.01,0.10±0.01
B015,"Lentil whole, yell",o,wish (Lens culinaris),2,,1.53,0.07,0.06,0.06,0.12
B016,Moth bean (Vigna,a,conitifolia),6,,,,,,
B017,"Peas, dry (Pisum",sa,tivum),6,,,,,,
B018,"Rajmah, black (P",ha,seolus vulgaris),2,,,,,,2.25
B019,"Rajmah, brown (P",h,aseolus vulgaris),6,,,,,,2.11±0.49
B020,"Rajmah, red (Pha",se,olus vulgaris),3,,,,,,2.10±0.55
B021,"Red gram, dal (Ca",j,anus cajan),6,,,,0.01±0.01,0.10±0.01,0.05±0.01
B022,"Red gram, whole",(C,ajanus cajan),6,,,,,,0.54±0.13
B023,Ricebean (Vigna u,m,bellata),1,,,,,,0.22
B024,"Soya bean, brown",,(Glycine max),6,,,,31.71±1.94,56.30±2.41,
B025,"Soya bean, white",(,Glycine max),1,,,,28.53,47.81,
C,GREEN LEA,F,Y VEGETABLES,,,,,,,
C001,Agathi leaves (Se,s,bania grandiflora),1,1.21,1.01,,,,
C002,"Amaranth leaves, gangeticus)",g,reen (Amaranthus,6,,,,,,
C003,"Amaranth leaves, gangeticus)",r,ed (Amaranthus,1,,,,,,
C004,"Amaranth leaves, (Amaranthus gang",r et,ed and green icus),4,,,,,,
C005,Amaranth spinos (Amaranthus spino,u s,"s, leaves, green us)",4,,,,,,
C006,Amaranth spinos green (Amaranthu,u s,"s, leaves, red and spinosus)",2,,,,,,
