Ta,,,,,,,,,
ble,,,,s (,(-)- Epigallo -)- Epigallo,,(-),(-),Total
10.,ed,,,noi,catechin catechin,(+)-Catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,Food,Name,geR,3-gallate,,gallate,catechin,
yph,doo,,,fo,,,,mg,
en,F,,,.o,,,,,
ol,,,,N,,,,,
s,,,,,,,,,
,,,,,EPICATEGC,,,,
,,,,,,,,,
,E035,Litchi (Nephelium litc,hi),4,,,,,124±7.2
,,,,,,,,,
,E036,"Mango, ripe, bangan",apalli (Mangifera,6,,1.55±0.38,,,18.39±3.44
,,indica),,,,,,,
,,,,,,,,,
,E037,"Mango, ripe, gulabkh",as (Mangifera indica),2,,1.54,,,22.38
,,,,,,,,,
,E038,"Mango, ripe, himsag",ar (Mangifera indica),3,,1.64±0.08,,,15.45±0.72
,,,,,,,,,
,E039,"Mango, ripe, kesar (",Mangifera indica),4,,1.82±0.35,,,14.74±0.44
,,,,,,,,,
,E040,"Mango, ripe, neelam",(Mangifera indica),2,,1.45,,,16.92
,,,,,,,,,
,E041,"Mango, ripe, paheri (",Mangifera indica),2,,1.54,,,18.52
,,,,,,,,,
,E042,"Mango, ripe, totapari",(Mangifera indica),1,,1.89,,,23.87
,,,,,,,,,
,E043,Mangosteen (Garcini,a mangostana),1,,,,,
378,,,,,,,,,
,E044,Manila tamarind (Pith,ecellobium dulce),1,,,,,10.35
,,,,,,,,,
,E045,"Musk melon, orange",flesh (Cucumis,5,,,,,4.95±1.22
,,melon),,,,,,,
,,,,,,,,,
,E046,"Musk melon, yellow",flesh (Cucumis,6,,,,,5.33±0.67
,,melon),,,,,,,
,,,,,,,,,
,E047,"Orange, pulp (Citrus",aurantium),6,,,,,54.73±9.78
,,,,,,,,,
,E048,"Palm fruit, tender (B",orassus flabellifer),1,0.21 0.06,0.15,,,28.36
,,,,,,,,,
,E049,"Papaya, ripe (Carcia",papaya),6,,,,,17.88±1.20
,,,,,,,,,
,E050,Peach (Prunus comm,unis),1,,2.33,,,279
,,,,,,,,,
,E051,Pear (Pyrus sp.),,6,,0.04±0.01,,,10.50±1.95
,,,,,,,,,
,E052,Phalsa (Grewia asiati,ca),2,,,,,57.25
,,,,,,,,,
,E053,Pineapple (Ananas c,omosus),6,,,,1.43±0.16,22.69±1.07
,,,,,,,,,
,E054,Plum (Prunus domest,ica),3,,4.58±0.44,,,28.36±0.00
,,,,,,,,,
,E055,"Pomegranate, maroo",n seeds (Punica,6,0.10±0.03 0.22±0.08,0.44±0.05,0.31±0.12,,67.10±3.36
,,granatum),,,,,,,
