Ta,,,,,s,,,,,,,,
ble,e,,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doc,,,,ige,,,,,,,,
mino,doo,Fo,od Na,me,R fo .,,,,g,,,,
A,F,,,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
ci,,,,,N,,,,,,,,
d,,,,,,,,,,,,,
Pro,E043,Mangosteen (G,arcini,a mangostana),1,7.60,2.64,14.16,13.30,7.07,4.27,4.76,2.86
fil,,,,,,,,,,,,,
e,,Manila tamarin,d (Pit,hecellobium,,,,,,,,,
,E044,dulce),,,1,6.25,3.35,13.85,16.45,4.21,3.56,4.86,1.85
,E045,"Musk melon, or",ange,flesh (Cucumis,5,12.72±1.30,2.12±0.39,10.60±0.69,28.92±5.33,3.89±0.82,2.97±0.30,4.26±0.82,1.65±0.29
,,melon),,,,,,,,,,,
,E046,"Musk melon, ye",llow,flesh (Cucumis,6,12.94±0.55,2.51±0.43,9.99±1.19,25.89±6.58,3.76±1.70,3.20±0.15,4.82±1.13,1.69±0.11
,,melon),,,,,,,,,,,
,,,,,,,,,,,,,
,E047,"Orange, pulp (C",itrus,aurantium),6,2.28±1.28,6.51±0.26,13.29±2.66,5.82±1.15,2.46±0.27,12.17±2.77,3.38±0.25,1.08±0.15
,,,,,,,,,,,,,
,E048,"Palm fruit, tend",er (B,orassus,1,6.84,3.85,13.86,16.82,4.56,4.17,5.18,1.25
,,flabellifer),,,,,,,,,,,
,,,,,,,,,,,,,
,E049,"Papaya, ripe (C",arcia,papaya),6,4.23±0.42,2.59±0.51,15.42±1.42,13.85±3.84,5.23±0.19,4.55±0.97,4.70±0.95,2.85±0.63
,,,,,,,,,,,,,
,E050,Peach (Prunus c,omm,unis),1,5.77,4.14,21.02,19.19,3.23,4.07,4.79,1.78
,,,,,,,,,,,,,
,E051,Pear (Pyrus sp.),,,6,6.55±0.35,2.48±0.41,25.05±2.31,11.67±1.81,4.31±0.62,3.64±0.62,4.46±0.26,1.36±0.13
,,,,,,,,,,,,,
2,,,,,,,,,,,,,
80,E052,Phalsa (Grewia,asiati,ca),2,5.27,5.86,12.12,18.54,4.96,5.31,5.01,2.18
,,,,,,,,,,,,,
,E053,Pineapple (Ana,nas c,omosus),6,6.94±0.99,2.64±0.71,27.04±8.48,14.92±3.44,5.32±1.65,3.76±0.81,5.31±1.27,3.10±0.21
,,,,,,,,,,,,,
,E054,Plum (Prunus d,omes,tica),3,4.25±0.23,2.67±0.25,32.17±0.94,4.85±0.07,2.06±0.19,5.83±0.09,4.23±0.12,1.61±0.14
,,,,,,,,,,,,,
,E055,"Pomegranate,",maroo,n seeds,6,4.80±0.80,8.35±2.12,8.50±0.32,27.33±2.29,3.55±0.14,3.46±0.43,4.83±0.49,1.83±0.39
,,(Punica granatu,m),,,,,,,,,,
,,,,,,,,,,,,,
,E056,Pummelo (Citru,s max,ima),3,7.62±0.38,5.19±0.54,27.70±1.20,12.35±0.25,2.74±0.17,9.41±0.30,4.78±0.11,1.83±0.08
,,,,,,,,,,,,,
,E057,"Raisins, dried,",black,(Vitis vinifera),6,6.28±0.60,13.13±2.04,7.35±1.24,10.49±0.33,3.29±0.87,8.53±0.43,4.32±0.37,2.20±0.71
,,,,,,,,,,,,,
,E058,"Raisins, dried,",golde,n (Vitis vinifera),6,6.64±0.98,14.04±0.69,6.30±0.39,11.02±0.23,3.75±0.26,9.38±0.47,5.15±0.93,1.56±0.35
,,,,,,,,,,,,,
,E059,Rambutan (Nep,heliu,m lappaceum),1,5.87,6.75,12.73,28.08,6.62,4.66,2.69,2.70
,,,,,,,,,,,,,
,E060,Sapota (Achras,sapot,a),6,5.92±0.62,6.70±0.44,10.90±0.95,10.63±1.16,5.20±0.61,3.80±0.22,5.60±0.48,3.35±0.47
,,,,,,,,,,,,,
,E061,Soursop (Annon,a mu,ricata),1,4.30,3.63,15.84,19.99,5.07,5.69,5.17,3.31
,,,,,,,,,,,,,
,E062,Star fruit (Averr,hoa c,arambola),1,6.10,5.37,17.40,18.55,4.45,3.35,4.67,3.89
,,,,,,,,,,,,,
,E063,Strawberry (Fra,garia,ananassa),6,4.98±0.30,4.51±0.30,19.70±1.69,15.88±0.98,5.63±0.39,3.41±0.18,4.10±0.28,2.88±0.29
,,,,,,,,,,,,,
,E064,"Tamarind, pulp",(Tam,arindus indicus),6,4.34±0.41,3.15±0.42,12.28±0.72,15.19±0.82,4.01±0.43,5.04±0.48,3.51±0.39,3.43±0.49
