Ta,,,,,,,,,,,,
ble,e,,,sn,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doC,,,oige,,,,g,,,,
mino,doo,,Fish Name,R fo,,,,,,,,
A,F,,,.o,,,,,,,,
ci,,,,N,ALA,ARG,ASN,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,
Pr,,,,,,,,,,,,
ofile,P044,Paarai (Caranx,heberi),1,6.36,6.08,11.10,14.51,6.78,4.66,3.94,3.36
,,,,,,,,,,,,
,P045,Padayappa (Ca,nthidermis maculata),1,6.30,6.06,13.85,15.76,6.40,4.06,4.30,3.55
,,,,,,,,,,,,
,P046,Pali kora (Pann,a microdon),1,5.49,5.72,10.57,15.68,4.78,3.12,4.57,3.19
,,,,,,,,,,,,
,P047,Pambada (Lept,uracanthus savala),2,5.71,6.09,8.95,14.10,6.45,3.77,4.43,5.59
,,,,,,,,,,,,
,P048,Pandukopa (Ps,eudosciaena manchurica),1,5.31,7.08,9.66,14.10,5.19,3.75,4.45,5.44
,,,,,,,,,,,,
,P049,Parava (Lactari,us lactarius),1,6.01,6.15,8.08,13.19,6.42,3.45,4.00,3.15
,,,,,,,,,,,,
,P050,Parcus (Psetto,des erumei),1,5.29,6.43,9.08,14.97,4.69,3.35,4.43,5.58
,,,,,,,,,,,,
,P051,Parrot fish (Sc,arus ghobban),1,5.78,5.12,10.40,14.96,5.59,3.64,4.36,4.85
,,,,,,,,,,,,
,P052,Perinkilichai (P,injalo pinjalo),1,5.59,7.30,9.94,14.94,4.50,3.47,4.49,4.56
,,,,,,,,,,,,
30,,,,,,,,,,,,
6,P053,Phopat (Coryp,haena hippurus),4,5.63±0.10,6.02±0.51,10.00±0.24,14.08±0.16,5.54±0.38,3.55±0.09,4.41±0.04,4.89±0.11
,,,,,,,,,,,,
,P054,Piranha (Pygop,ritis sp.),1,6.18,5.66,11.24,15.79,6.56,3.96,4.33,4.13
,,,,,,,,,,,,
,P055,"Pomfret, black",(Parastromateus niger),2,5.75,6.86,9.77,12.54,6.07,4.70,4.91,4.98
,,,,,,,,,,,,
,P056,"Pomfret, snub",nose (Trachinotus blochii),2,5.70,6.07,10.89,14.65,5.01,3.51,4.08,3.74
,,,,,,,,,,,,
,P057,"Pomfret, white",(Pampus argenteus),2,5.09,6.11,9.11,14.69,5.66,3.15,4.34,5.98
,,,,,,,,,,,,
,P058,Pranel (Gerres,sp.),1,6.41,5.22,8.96,16.31,6.51,3.76,3.85,5.47
,,,,,,,,,,,,
,P059,Pulli paarai (G,nathanodon speciosus),1,6.42,5.06,11.60,14.05,5.50,3.99,3.93,5.86
,,,,,,,,,,,,
,P060,Queen fish (Sc,omberoides commersonianus),3,5.21±0.25,6.26±1.88,9.83±1.11,14.51±0.54,4.84±0.93,3.29±0.10,4.62±1.51,3.93±0.35
,,,,,,,,,,,,
,P061,Raai fish (Lobo,tes surinamensis),2,5.67,7.02,8.14,14.18,5.58,3.76,4.61,5.04
,,,,,,,,,,,,
,P062,Raai vanthu (E,pinephelus chlorostigma),1,5.47,7.80,10.14,13.69,4.68,3.32,4.26,4.40
,,,,,,,,,,,,
,P063,Rani (Pink perc,h),1,5.40,8.24,9.10,12.08,5.90,4.11,4.34,5.73
,,,,,,,,,,,,
,,"Ray fish, bow","head, spotted (Rhina",,,,,,,,,
,P064,ancylostoma),,1,5.76,6.03,8.38,16.86,6.76,3.94,4.05,3.25
,,,,,,,,,,,,
,P065,Red snapper (,Lutjanus argentimaculatus),1,5.21,6.48,8.80,13.92,5.17,3.31,4.76,5.48
