Table,,,,s,,,,Apigenin-7-,
10. Po,edoc,,,noige,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,O- Luteolin neohesperid oside,Kaempferol
lyph,doo,Foo,d Name,R fo,,,,mg,
en,F,,,.o,,,,,
ols,,,,N,,,,,
,,,,,CHLRAC,FERAC,APIGEN,LUTEOL,KAEMF
,,,,,,,,,
,D012,Brinjal-3 (Solanum,melongena),2,,0.81,,1.50,
,,,,,,,,,
,D013,Brinjal-4 (Solanum,melongena),4,,0.85±0.08,,1.56±0.07,
,,,,,,,,,
,D014,Brinjal-5 (Solanum,melongena),3,,0.83±0.09,,1.32±0.04,
,,,,,,,,,
,D015,Brinjal-6 (Solanum,melongena),2,,0.90,,1.35,
,,,,,,,,,
,D016,Brinjal-7 (Solanum,melongena),1,,0.77,,1.26,
,,,,,,,,,
,D017,Brinjal-8(Solanum m,elongena),3,,0.79±0.04,,1.46±0.09,
,,,,,,,,,
,D018,Brinjal-9(Solanum m,elongena),2,,0.69,,1.43,
,,,,,,,,,
,D019,Brinjal-10 (Solanum,melongena),2,,0.73,,1.47,
,,,,,,,,,
,D020,Brinjal-11 (Solanum,melongena),6,,0.85±0.04,,1.56±0.12,
356,,,,,,,,,
,D021,Brinjal-12 (Solanum,melongena),2,,0.71,,1.39,
,,,,,,,,,
,D022,Brinjal-13(Solanum,melongena),1,,0.74,,1.29,
,,,,,,,,,
,D023,Brinjal-14(Solanum,melongena),3,,0.69±0.05,,1.40±0.14,
,,,,,,,,,
,D024,Brinjal-15 (Solanum,melongena),4,,0.67±0.09,,1.24±0.07,
,,,,,,,,,
,D025,Brinjal-16(Solanum,melongena),1,,0.77,,1.39,
,,,,,,,,,
,D026,Brinjal-17(Solanum,melongena),1,,0.74,,1.16,
,,,,,,,,,
,D027,Brinjal-18 (Solanum,melongena),3,,0.48±0.17,,1.23±0.10,
,,,,,,,,,
,D028,Brinjal-19(Solanum,melongena),3,,0.66±0.12,,1.33±0.08,
,,,,,,,,,
,D029,Brinjal-20(Solanum,melongena),5,,0.75±0.09,,1.47±0.11,
,,,,,,,,,
,D030,Brinjal-21(Solanum,melongena),2,,0.62,,1.32,
,,,,,,,,,
,D031,Brinjal - all varietie,s (Solanum melongena),6,,0.75±0.12,,1.42±0.15,
,,,,,,,,,
,D032,Broad beans (Vicia,faba),3,3.88±0.08,0.31±0.01,0.77±0.11,,0.04±0.01
