Ta,,,,,,,,,,,,,,
b,,,,,Magnesium,Manganese,Mercury,Molebdeum,Nickel,Phosphorus,Potassium,Selenium,Sodium,Zinc
le,,,,sn,,,,,,,,,,
5.,ed,,,oi,(Mg),(Mn),(Hg),(Mo),(Ni),(P),(K),(Se),(Na),(Zn)
Mi,oc,Food Name,,geR,,,,,,,,,,
ner,doo,,,fo,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
als,F,,,.o,,,,,,,,,,
and,,,,N,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
T,,,,,,,,,,,,,,
race,A,CEREALS AND MI,LLETS,,,,,,,,,,,
Ele,A001,"Amaranth seed, black (A",maranthus,1,325,5.29,,0.016,0.345,374,433,16.46,2.70,2.66
me,,cruentus),,,,,,,,,,,,
n,,,,,,,,,,,,,,
ts,,"Amaranth seed, pale bro",wn,,,,,,,,,,,
,A002,(Amaranthus cruentus),,6,270±33.2,4.44±0.27,,0.049±0.014,0.048±0.017,412±22.0,413±45.9,21.41±6.15,2.81±0.22,2.52±0.20
,,,,,,,,,,,,,,
,A003,Bajra (Pennisetum typhoi,deum),6,124±19.5,1.12±0.17,0.77±1.48,0.050±0.025,0.056±0.022,289±25.3,365±18.0,30.40±5.22,4.11±0.09,2.76±0.36
,,,,,,,,,,,,,,
,A004,Barley (Hordeum vulgare),,6,48.97±6.1,1.24±0.11,1.84±0.50,0.032±0.005,,178±26.8,268±20.4,18.61±1.32,7.56±1.52,1.50±0.27
,,,,,,,,,,,,,,
,A005,Jowar (Sorghum vulgare),,6,133±14.8,1.19±0.11,2.62±2.15,0.042±0.021,0.059±0.021,274±35.7,328±25.1,26.29±11.08,5.42±0.21,1.96±0.31
,,,,,,,,,,,,,,
,A006,"Maize, dry (Zea mays)",,6,145±12.4,0.71±0.08,3.19±2.64,0.035±0.014,0.035±0.013,279±35.3,291±27.7,8.69±1.81,4.44±0.18,2.27±0.23
,,,,,,,,,,,,,,
,A007,"Maize, tender, local (Zea",mays),6,47.62±5.32,0.36±0.07,,0.009±0.009,0.016±0.007,163±25.7,167±36.8,3.83±2.28,2.24±0.07,0.97±0.14
,,,,,,,,,,,,,,
11,A008,"Maize, tender, sweet (Ze",a mays),4,36.51±1.87,0.32±0.04,,0.006±0.001,0.009±0.004,121±13.6,297±4.1,2.17±1.11,2.23±0.06,0.77±0.09
4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,A009,Quinoa(Chenopodium qui,noa),1,119,1.77,,,0.004,212,474,7.81,4.50,3.31
,,,,,,,,,,,,,,
,A010,Ragi (Eleusine coracana),,5,146±10.7,3.19±0.88,3.96±1.41,0.011±0.008,0.078±0.020,210±58.4,443±59.6,15.30±6.23,4.75±0.14,2.53±0.51
,,,,,,,,,,,,,,
,A011,Rice flakes (Oryza sativa,),6,77.92±12.75,0.89±0.13,,0.049±0.011,0.043±0.015,195±20.5,148±13.8,,2.58±0.06,1.49±0.21
,,,,,,,,,,,,,,
,A012,Rice puffed (Oryza sativa,),6,64.59±6.01,0.91±0.15,,0.034±0.024,0.048±0.014,152±20.6,140±14.0,,3.69±0.87,1.45±0.29
,,,,,,,,,,,,,,
,A013,"Rice, raw, brown (Oryza",sativa ),6,93.91±9.11,1.70±0.45,,0.053±0.026,0.038±0.024,267±64.9,199±40.9,2.26±0.43,3.64±0.08,1.68±0.33
,,,,,,,,,,,,,,
,A014,"Rice, parboiled, milled (",Oryza sativa ),6,26.72±8.52,0.79±0.25,,0.055±0.017,0.027±0.009,140±25.0,142±20.3,1.19±0.14,3.16±1.33,1.08±0.20
,,,,,,,,,,,,,,
,A015,"Rice, raw, milled (Oryza",sativa ),6,19.30±6.99,0.73±0.21,,0.056±0.037,0.022±0.012,96±16.30,108±10.9,1.01±0.13,2.34±0.28,1.21±0.17
,,,,,,,,,,,,,,
,A016,Samai (Panicum miliare),,6,91.41±12.63,0.23±0.08,,0.020±0.010,0.086±0.029,130±27.5,105±15.7,40.41±24.09,4.77±0.14,1.82±0.14
,,,,,,,,,,,,,,
,A017,Varagu (Setaria italica),,5,122±5.9,0.33±0.05,0.74±0.15,0.020±0.007,0.074±0.019,101±5.2,94±10.7,14.12±2.26,3.35±0.04,1.65±0.18
,,,,,,,,,,,,,,
,A018,"Wheat flour, refined (Triti",cum aestivum),6,30.69±2.77,0.63±0.09,,0.013±0.003,0.005±0.003,110±9.8,148±7.0,,1.54±0.48,0.88±0.07
