Ta,,,,,,,,,,,,,
ble,,,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,Total B6,Biotin,T o t a l Folates T,otal Ascorbi
2.,ed,,,,oig,(B1),(B2),(B3),Acid (B5),,(B7),(B9),Acid
Wa,oc,Food Name,,,eR,,,,,,,,
ter,do,,,,fo,,,mg,,,µg,,mg
So,oF,,,,.o,,,,,,,,
lu,,,,,N,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
ble,,,,,,,,,,,,,
Vita,C008,Bathua leaves (Ch,enopodium album,),2,0.06,0.51,0.54,0.41,0.17,1.25,42.55,41.03
min,,,,,,,,,,,,,
s,C009,Beet greens (Beta,vulgaris),,6,0.02±0.01,0.17±0.05,0.43±0.08,0.29±0.07,0.13±0.03,4.66±0.66,11.52±1.39,35.83±5.51
,,,,,,,,,,,,,
,C010,"Betel leaves, big (",kolkata) (Piper be,tle),6,0.03±0.012,0.08±0.012,0.45±0.05,0.51±0.09,0.04±0.007,2.18±0.25,15.96±2.25,18.40±2.49
,,,,,,,,,,,,,
,C011,"Betel leaves, sma",ll (Piper betle),,4,0.02±0.010,0.07±0.009,0.47±0.07,0.47±0.04,0.04±0.005,1.28±0.15,16.56±2.67,24.51±8.66
,,,,,,,,,,,,,
,C012,Brussels sprouts,(Brassica olerace,a var.,1,0.06,0.16,0.50,0.47,0.19,2.45,85.01,89.45
,,gemmifera),,,,,,,,,,,
,,,,,,,,,,,,,
,C013,"Cabbage, Chines",e (Brassica rupa),,1,0.01,0.05,0.38,0.58,0.19,1.08,54.51,19.32
,,,,,,,,,,,,,
,C014,"Cabbage, collard",greens (Brassica,oleracea var.,1,0.03,0.05,0.26,0.49,0.24,1.38,63.46,40.76
,,viridis),,,,,,,,,,,
,C015,"Cabbage, green (",Brassica oleracea,var. capitata f.,6,0.03±0.005,0.05±0.001,0.24±0.02,0.24±0.01,0.13±0.016,1.41±0.14,46.36±4.48,33.25±4.21
,,alba),,,,,,,,,,,
,C016,"Cabbage, violet (",Brassica oleracea,var. capitata f.,2,0.04,0.05,0.27,0.25,0.17,1.43,34.81,43.49
36,,rubra),,,,,,,,,,,
,C017,Cauliflower leave,s (Brassica olerac,ea var.,6,0.05±0.010,0.05±0.011,0.21±0.01,0.34±0.02,0.23±0.016,1.38±0.03,42.99±3.13,52.84±0.94
,,botrytis),,,,,,,,,,,
,,,,,,,,,,,,,
,C018,"Colocasia leaves,",green (Colocasia,anti-quorum),6,0.08±0.013,0.07±0.015,0.80±0.07,0.27±0.07,0.29±0.031,12.10±1.25,159±18.5,40.71±7.47
,,,,,,,,,,,,,
,C019,Drumstick leaves,(Moringa oleifera),,3,0.06±0.006,0.45±0.042,0.82±0.09,0.39±0.04,0.87±0.074,2.26±0.09,42.89±5.31,108±16.7
,,,,,,,,,,,,,
,C020,Fenugreek leaves,(Trigonella foenu,m graecum),5,0.11±0.015,0.22±0.023,0.70±0.05,0.49±0.03,0.38±0.106,4.82±0.62,75.26±9.18,58.25±17.08
,,,,,,,,,,,,,
,C021,Garden cress (Le,pidium sativum),,2,0.03,0.06,1.20,0.22,0.20,12.01,58.10,42.75
,,,,,,,,,,,,,
,C022,"Gogu leaves, gre",en (Hibiscus canna,binus),4,0.13±0.006,0.06±0.009,0.58±0.04,0.70±0.04,0.33±0.012,3.38±0.20,74.94±12.55,29.65±9.71
,,,,,,,,,,,,,
,C023,"Gogu leaves, red",(Hibiscus cannabi,nus),1,0.12,0.05,0.56,0.71,0.31,3.43,88.63,35.43
,,,,,,,,,,,,,
,C024,"Knol-Khol, leaves",(Brassica olerace,a var.,2,0.06,0.15,0.86,0.27,0.28,13.57,41.55,71.11
,,gongylodes),,,,,,,,,,,
,,,,,,,,,,,,,
,C025,Lettuce (Lactuca s,ativa),,3,0.05±0.013,0.09±0.008,0.17±0.02,0.11±0.01,0.08±0.016,2.15±0.09,30.69±6.48,11.91±3.07
,,,,,,,,,,,,,
,C026,Mustard leaves (B,rassica juncea),,3,0.08±0.011,0.18±0.015,0.58±0.07,0.26±0.01,0.16±0.007,1.70±0.21,110±6.6,60.32±1.32
,,,,,,,,,,,,,
,C027,Pak Choi leaves(,Brassica rapa var.,Chinensis),1,0.02,0.22,0.66,0.31,0.96,10.25,98.50,55.60
,,,,,,,,,,,,,
,C028,Parsley (Petroselin,um crispum),,3,0.19±0.022,0.10±0.005,0.36±0.01,0.20±0.03,0.19±0.011,13.47±1.03,197±13.9,133±16.3
