Ta,,,,,,,,,,,,,,,
ble,,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fat,edo,,,,oig,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
ty A,c,Fo,od Name,,eR,,,,,,,,(TSFA),(TMUFA),(TPUFA)
cid,doo,,,,fo,,,,,,,,,,
Pr,F,,,,.o,,,,,mg,,,,,
ofi,,,,,N,,,,,,,,,,
le,,,,,,,,,,,,,,,
,,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,,
,H,NUTS AND,OIL SEE,DS,,,,,,,,,,,
,,,,,,,,,,,,,,,
,H001,Almond (Prunus,amygdalus),,6,43.69±6.16,,,13183±153,,32.04±3.78,,4358±22.4,38336±159,13215±156
,,,,,,,,,,,,,,,
,H002,"Arecanut, dried,",brown (Arec,a catechu),6,4.87±0.65,,,396±23.1,,7.42±0.62,,2605±38.3,466±21.3,403±23.3
,,,,,,,,,,,,,,,
,H003,"Arecanut, dried,",red color (A,reca,3,7.24±0.47,,,901±22.5,,16.78±0.07,,1674±29.9,987±16.3,918±22.5
,,catechu),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,H004,"Arecanut, fresh",(Areca catec,hu),2,16.44,,,506,,15.67,,3389,599,522
,,,,,,,,,,,,,,,
,H005,Cashew nut (Ana,cardium occ,identale),6,66.58±3.22,,,7427±205,,55.04±6.90,,7816±148,27907±309,7482±203
,,,,,,,,,,,,,,,
,H006,"Coconut, kernal,",dry (Cocos,nucifera),6,0.00±0.00,,,929±37.7,,,,43138±268,3710±133,929±37.7
,,,,,,,,,,,,,,,
,H007,"Coconut, kernel,",fresh (Coco,s nucifera),6,15.62±0.99,,,639±40.1,,,,28048±174,2449±59.3,639±40.1
,,,,,,,,,,,,,,,
22,H008,"Garden cress, s",eeds (Lepidi,um,5,2699±52.1,,211±9.3,2839±50.1,141±8.8,7484±246,,4101±69.3,8131±242,10464±234
0,,sativum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,H009,"Gingelly seeds,",black (Sesa,mum,6,67.66±4.99,,,19123±472,,136±32.3,,6317±169,15605±437,19259±477
,,indicum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,H010,"Gingelly seeds,",brown (Sesa,mum,4,66.30±2.49,,,18966±202,,112±12.7,,6250±36.6,15989±279,19078±208
,,indicum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,H011,"Gingelly seeds,",white (Sesa,mum,5,67.54±4.43,,,18477±495,,120±14.1,,6430±189,16124±329,18597±490
,,indicum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,H012,Ground nut (Ara,chis hypogea,),6,376±30.0,,,11584±426,,0.00±0.00,,8144±214,18337±552,11584±426
,,,,,,,,,,,,,,,
,H013,Mustard seeds (,Brassica jun,cea),6,1838±84.9,14468±820,644±33.6,4932±112,245±39.3,3341±379,,2112±41.7,21032±503,8910±540
,,,,,,,,,,,,,,,
,H014,Linseeds (Linum,usitatissimu,m),6,36.60±1.43,,,3191±144,,12956±467,,2968±48.4,5112±303,16147±378
,,,,,,,,,,,,,,,
,H015,"Niger seeds, bla",ck (Guizotia,abyssinica),4,122±11.5,,,21871±500,,64.5±3.15,,5945±88.9,9033±422,21935±499
,,,,,,,,,,,,,,,
,H016,"Niger seeds, gra",y (Guizotia a,byssinica),5,308±42.3,,,23300±300,,265±23.6,,9737±189,4452±129,23564±289
,,,,,,,,,,,,,,,
,H017,Pine seed (Pinus,gerardiana),,5,332±7.4,,,23874±310,140±27.5,188±10.1,,3801±123,18624±177,24202±303
,,,,,,,,,,,,,,,
,H018,Pistachio nuts (,Pistacla vera,),6,144±2.7,,13.87±1.80,11776±277,,171±5.2,,4043±94.4,18922±207,11946±281
,,,,,,,,,,,,,,,
,H019,Safflower seeds,(Carthamus,tinctorius),5,49.34±1.37,,36.44±2.22,18760±227,,21.90±0.73,,2548±115,3589±26.7,18781±226
,,,,,,,,,,,,,,,
,H020,Sunflower seeds,(Helianthus,annuus),5,82.25±11.93,,,25545±308,,35.6±5.78,,6159±310,17803±471,25580±305
