,,,n,,,,,,
,e,,o,Moisture,Protein,Ash,Total Fat,Carbohydrate,Energy
,do,,ig,,,,Total Insoluble Soluble,,
,c,,eR,,,,,,
,doo,,fo,,,,g,,KJ
,F,,.o,,,,,,
,,,N,,,,,,
,,Food Name,,WATER,PROTCNT,ASH,FATCE FIBTG FIBINS FIBSOL,CHOAVLDF,ENERC
,,,,,,,,,
,L,MILK AND MILK PRODUCTS,,,,,,,
,,,,,,,,,
,L001,"Milk, whole, Buffalo",6,80.68±0.66,3.68±0.13,0.67±0.02,6.58±0.20,8.39±0.71,449±9
,,,,,,,,,
,L002,"Milk, whole, Cow",6,86.64±1.10,3.26±0.06,0.68±0.02,4.48±0.29,4.94±1.02,305±23
,,,,,,,,,
,L003,Panner,6,51.96±0.76,18.86±0.75,1.98±0.08,14.78±0.17,12.41±0.12,1079±13
,,,,,,,,,
,L004,Khoa,6,42.51±0.21,16.34±0.61,4.00±0.14,20.62±0.83,16.53±1.26,1322±14
,,,,,,,,,
19,,,,,,,,,
,,,,,,,,,
Table,,,,,,,,,
1.,,,,,,,,,
Proximate,,,,,,,,,
Principles,,,,,,,,,
and,,,,,,,,,
Dietary,,,,,,,,,
Fibre,,,,,,,,,
