"Chachinda (H.,",O.),"D070, D071,",Cheera vithu (Mal,.),"A001, A002"
,,,,,
,,D072,Chelu (Common),,P012
Chakavath (Ma,r.),C008,,,
,,,Chembali (Comm,on),P013
Chakka (Mal.),,"D051, D052,",,,
,,E030,Chembin thandu (,Mal.),"D040, D041"
,,,,,
Chakkota (Kan,.),E056,Chembu (Mal.),,F004
,,,,,
Chakla (Comm,on),P010,Chembu ilagal (M,al.),C018
,,,,,
Chakotra (H.),,E056,Chena (B.),,L003
,,,,,
Chaktora (P.),,E067,Chena (Mal.),,"F017, F018"
,,,,,
Chakwai (M.),,B023,Cheng (M.),,"A013, A014"
,,,,,
Chalkumra (B.,),D001,,,A015
,,,Chenghum (M.),,"J001, J002,"
Chama (Mal.),,A016,,,
,,,Chengkruk (M.),,C002-C006
Chama akulu (,Tel.),C018,,,
,,,Chengkruk Maru,(M.),"A001, A002"
Chama dumpa,(Tel.),F004,,,
,,,Chengpaak (M.),,A011
Chama kada (T,el.),"D040, D041",,,
,,,Chenopodium alb,um (Sci.),C008
Chaman (Kash,.),L003,,,
,,,Chenopodium qui,noa (Sci.),A009
Champa kadali,(O.),E009-E012,,,
,,,Cheranga (Mal.),,"D007, D008"
Champra Mahi,(M.),E033,,,D009
,,,,,
Chamsoor ko S,aag (N.),C021,Cheriya Ulli (Mal,.),G018
,,,,,
"Chana (G.,H.,U",.),B002,Cherri pandu (Tel,.),E014
,,,,,
Chana ko Dal (,N.),B001,"Cherries, red (Co",mmon),E014
,,,,,
Chana Mapum,(M.),B002,"Cherry (G.,P.)",,E014
,,,,,
Chana Tangkh,ai (M.),B001,Cherry phal (Mar.,),E014
,,,,,
Chanak (S.),,B002,Cherrypazham (T,"am.,Mal.)",E014
,,,,,
Chanam (M.),,"G011, G012,",Cheru Pararu (Ma,l.),B011
,,,,,
,,G013,Cheru payar parip,pu (Mal.),B010
Chana-ni-daad,(G.),B001,,,
,,,,,
,,,Cheruchana vithu,(Mal.),H014
Chane ki dal (U,.),B001,,,
,,,,,
,,,Cheruku rasam (T,el.),I002
Chan-ki-dal (H,.),B001,,,
,,,,,
,,,Chevri (Kash.),,A011
Channa (M.),,L003,,,
,,,,,
,,,Chhali (P.),,"A006, A007"
Channa dali (B,uta dali) (O.),B001,,,A008
,,,,,
Chanos chanos,(Sci.),P037,Chhayapi ko Saa,g (N.),D058
,,,,,
Chanu (Kash.),,B002,"Chhena (H.,O)",,L003
,,,,,
Chanu dal (Kas,h.),B001,Chhilke wali urad,dal (H.),B004
,,,,,
Chappal (Com,mon),P011,Chichinda (U.),,"D070, D071"
,,,,,
Chatu (O.),,J001-J004,,,D072
,,,Chichindo (N.),,"D070, D071"
Chaul (P.),,A015,,,D072
,,,,,
Chaula (O.),,A015,Chichinga (B.),,"D070, D071"
Chaulai (H.),,"C002, C003,",,,D072
,,C004,Chicken mushroo,"m, fresh (Common)",J002
Chaulai sag (P.,),"C002, C004","Chicken, poultry (",Common),N001-N006
,,,,,
Chaulali beej (,P.),A001,Chide (B.),,A011
,,,,,
Chavli (Mar.),,"B005, B006",Chikk Eerulli (Ka,n.),G018
,,,,,
Chawal (H.),,"A013, A015",Chikkudu ginjalu,(Tel.),"B007-B009,"
Chawara (P.),,"E017, E018",,,"D047, D048"
,,,"Chiku (A.,H.,Mar",".,P.)",E060
,,,,,
Chayapi (N.),,G018,,,
,,,Chilagada dumpa,(Tel.),"F013, F014"
,,,,,
Chedu paddu d,umpa (Tel.),F019,,,
,,,"Chilgoza (G.,H.,K",ash.),H017
,,,,,
Cheera (Mal.),,"C002, C003,",,,
,,C004,"Chillies, green (C",ommon),G001-G007
