Ta,,,,,,,,,,,
bl,,,,s,,,,β-,,,Total
e,,,,n,Lutein,Zeaxanthin,Lycopene,γ-Carotene,α-Carotene,β-Carotene,
4.,ed,,,oi,,,,Cryptoxanthin,,,Carotenoids
Car,oc,Foo,d Name,geR,,,,,,,
oten,doo,,,fo,,,,µg,,,
oi,F,,,.o,,,,,,,
ds,,,,N,LUTN,ZEA,LYCPN,CRYPXB CARTG,CARTA,CARTB,CARTOID
,,,,,,,,,,,
,G014,"Ginger, fresh (Zinzib",er officinale),6,15.0±4.48,5.97±3.00,,,,88.85±0.92,329±53.7
,,,,,,,,,,,
,G015,Mango ginger (Curcu,ma amada),3,23.6±3.99,3.09±1.50,,,,76.62±13.12,250±5.3
,,,,,,,,,,,
,G016,Mint leaves (Mentha,spicata ),4,2526±730,300±51.2,,,,4602±553,18693±1938
,,,,,,,,,,,
,G017,"Onion, big (Allium ce",pa),6,1.77±0.64,1.81±0.69,,,,1.08±0.28,89.10±6.38
,,,,,,,,,,,
,G018,"Onion, small (Allium",cepa),5,15.3±0.92,1.69±0.09,,,,1.10±0.06,31.04±12.49
,,,,,,,,,,,
,G,CONDIMENTS,AND SPICES-DRY,,,,,,,,
,,,,,,,,,,,
,G019,Asafoetida (Ferula as,sa-foetida),6,23.8±6.80,1.52±0.29,,,,6.42±0.75,168±24.7
,,,,,,,,,,,
,G020,"Cardamom, green (E",lettaria cardamomum),6,37.0±10.0,32.85±4.78,,,,21.91±2.31,366±22.6
,,,,,,,,,,,
10,G021,"Cardamom, black (E",lettaria cardamomum),4,56.9±17.6,10.31±2.62,,,,77.48±13.27,1137±95.2
6,,,,,,,,,,,
,,,,,,,,,,,
,G022,"Chillies, red (Capsic",um annum),6,1843±342,2712±789,36.44±10.4,1599±203,,1542±288,101812±5619
,,,,,,,,,,,
,G023,Cloves (Syzygium aro,maticum),6,16.9±3.39,1.55±0.23,,,8.55±0.71,73.51±2.74,356±38.2
,,,,,,,,,,,
,G024,Coriander seeds (Co,riandrum sativum),6,225±34.0,10.96±2.23,,,,122±13.5,996±50.0
,,,,,,,,,,,
,G025,Cumin seeds (Cumin,um cyminum),6,170±10.8,42.60±6.86,,,,89.19±19.24,553±32.5
,,,,,,,,,,,
,G026,Fenugreek seeds (Tr,igonella foenum,6,586±91.3,201±12.0,,,,142±1.5,1210±162
,,graecum),,,,,,,,,
,,,,,,,,,,,
,G027,Mace (Myristica fragr,ans),6,135±26.7,196±22.4,,,,2322±157,9203±880
,,,,,,,,,,,
,G028,Nutmeg (Myristica fra,grans),6,4.01±1.18,1.33±0.26,,,,15.37±1.11,80.91±9.87
,,,,,,,,,,,
,G029,Omum (Trachysperm,um ammi),6,494±61.2,8.30±2.99,,51.37±9.37,,746±17.7,1836±22.1
,,,,,,,,,,,
,G030,Pippali (Piper longum,),6,666±92.3,479±54.8,,110±10.5,278±28.4,545±50.4,2401±205
,,,,,,,,,,,
,G031,"Pepper, black (Piper",nigrum),6,650±62.3,158±15.4,,165±11.6,157±10.1,767±65.5,2219±56
,,,,,,,,,,,
,G032,Poppy seeds (Papav,er somniferum),6,23.5±15.0,1.76±0.79,,,,3.51±0.66,34.45±10.70
