,,,,,,mg,,,,
,,,,,,,,,,
,,,,,,HESPT,HESPD,DAIDZN,GNSTEIN,EPICATEC
A019,"Wheat flour,",atta (Triticum,aestivum),6,,,,,,
A020,"Wheat, whol",e (Triticum aes,tivum),6,,,,,,
A021,"Wheat, bulg",ur (Triticum ae,stivum),6,,,,,,
A022,"Wheat, semo",lina (Triticum,aestivum),6,,,,,,
A023,"Wheat, verm",icelli (Triticum,aestivum),6,,,,,,
A024,"Wheat, verm aestivum)","icelli, roasted",(Triticum,6,,,,,,
,,,,,,,,,,
B,GRAIN L,EGUMES,,,,,,,,
B001,Bengal gram,", dal (Cicer ar",ietinum),6,0.84±0.02,1.49±0.25,,0.01±0.01,0.07±0.01,
B002,Bengal gram,", whole (Cice",r arietinum),6,6.53±0.22,8.85±2.56,,,,
B003,"Black gram,",dal (Phaseolu,s mungo),6,,1.53±0.01,,0.03±0.01,,
B004,"Black gram,",whole (Phase,olus mungo),6,,3.12±0.67,,1.34±0.19,,
B005,"Cowpea, bro",wn (Vigna cat,jang),6,,,,0.04±0.01,0.06±0.01,
B006,"Cowpea, whi",te (Vigna catj,ang),1,,,,0.05,0.08,
B007,"Field bean, b",lack (Phaseo,lus vulgaris),1,,,,,,
B008,"Field bean, b",rown (Phase,olus vulgaris),1,,,,,,
B009,"Field bean,",white (Phaseo,lus vulgaris),5,,,,,,
B010,"Green gram,",dal (Phaseolu,s aureus),6,0.14±0.02,,,,,
B011,"Green gram,",whole (Phas,eolus aureus),6,5.52±0.86,,,,,
B012,"Horse gram,",whole (Dolicu,s biflorus),6,,,,,,
