Ta,,,,,,,,,
ble,,,s,C,holecalci,,Tocopherols Tocotrienols,Alpha,Menaquin
3. Fat,edoC,Fish Name,noigeR,Retinol,ferol (D3),25-OH-D3,Alpha Beta Gamma Delta Alpha Beta Gamma Delta,Tocopherol Equivalent,ones (K2)
Solu,doo,,fo,,µg,,mg,,µg
ble,F,,.o,,,,,,
Vit,,,N,RETOL,CHOCAL,,TOCPHA TOCPHB TOCPHG TOCPHD TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK2
am,,,,,,,,,
ins,,Mural (Tylosurus,,,,,,,
,P040,crocodilus crocodilus),1,1.61,0.86,0.01,0.44,0.44,1.34
,,,,,,,,,
,P041,Myil meen(Istiophorus,2,21.51,0.18,0.22,0.53,0.53,0.89
,,platypterus),,,,,,,
,,,,,,,,,
,P042,Nalla bontha (Epinephelus sp.),1,2.40,0.54,0.01,0.11,0.11,1.20
,,,,,,,,,
,P043,Narba(Caranx sexfasciatus),2,2.93,0.19,0.20,0.90,0.90,1.11
,,,,,,,,,
,P044,Paarai (Caranx heberi),1,3.23,1.40,0.38,0.30,0.30,0.97
,,,,,,,,,
,P045,Padayappa(Canthidermis,1,1.46,0.62,0.08,0.25,0.25,0.63
,,maculata),,,,,,,
,,,,,,,,,
,P046,Pali kora(Panna microdon),1,1.89,0.11,0.02,0.44,0.44,1.92
,,,,,,,,,
,P047,Pambada(Lepturacanthus savala),2,2.88,1.15,0.20,0.55,0.55,0.98
86,,,,,,,,,
,P048,Pandukopa (Pseudosciaena,1,1.33,0.20,0.10,0.47,0.47,0.62
,,manchurica),,,,,,,
,,,,,,,,,
,P049,Parava (Lactarius lactarius),1,2.56,1.12,0.01,0.55,0.55,0.66
,,,,,,,,,
,P050,Parcus (Psettodes erumei),1,1.72,0.57,0.20,0.30,0.30,1.84
,,,,,,,,,
,P051,Parrot fish (Scarus ghobban),1,2.47,0.67,0.01,0.26,0.26,2.83
,,,,,,,,,
,P052,Perinkilichai (Pinjalo pinjalo),1,1.62,0.36,0.08,1.10,1.10,0.95
,,,,,,,,,
,P053,Phopat(Coryphaena hippurus),4,3.52±3.27,0.43±0.24,0.25±0.16,0.58±0.60,0.58±0.60,0.75±0.11
,,,,,,,,,
,P054,Piranha (Pygopritis sp.),1,1.05,1.06,0.09,0.37,0.37,3.15
,,,,,,,,,
,P055,"Pomfret, black (Parastromateus",1,10.55,2.28,0.66,0.60,0.60,102
,,niger),,,,,,,
,,,,,,,,,
,P056,"Pomfret, snub nose (Trachinotus",2,3.91,0.51,0.08,1.54,1.54,0.84
,,blochii),,,,,,,
,,,,,,,,,
,P057,"Pomfret, white (Pampus",2,30.31,0.61,0.10,1.26,1.26,0.99
,,argenteus),,,,,,,
,,,,,,,,,
,P058,Pranel(Gerres sp.),1,1.84,0.54,0.01,0.42,0.42,0.69
,,,,,,,,,
,P059,Pulli pa arai(Gnathanodon,1,1.75,1.60,0.01,0.82,0.82,1.24
,,speciosus),,,,,,,
