,,,,,Total,Soluble,Insoluble,,,,,,,
,,,,,,,,,mg,,,,,
,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
B014,"Lentil whole, bro",w,n (Lens culinaris),6,10.74±0.61,8.71±0.71,3.04±1.44,1.56±0.28,,0.04±0.01,0.50±0.14,25.17±1.15,1.57±0.44,10.13±0.01
B015,"Lentil whole, yello culinaris)",,wish (Lens,2,13.88,10.76,3.38,1.35,,0.10,0.68,23.29,1.31,12.95
B016,Moth bean (Vigna,a,conitifolia),6,36.11±6.26,28.72±1.91,10.15±0.37,,,2.25±0.33,0.71±0.28,,4.25±1.68,
B017,"Peas, dry (Pisum",sa,tivum),6,8.89±1.04,6.75±0.73,2.35±0.64,2.98±0.68,,1.32±0.44,0.82±0.52,83.15±7.96,3.48±1.84,
B018,"Rajmah, black (Ph",a,seolus vulgaris),2,48.66,45.46,3.20,,,2.72,1.20,,3.71,
B019,"Rajmah, brown (P",h,aseolus vulgaris),6,43.41±8.69,33.48±4.15,8.16±0.95,,,2.40±0.85,0.73±0.34,,3.48±2.08,
B020,"Rajmah, red (Pha",se,olus vulgaris),3,41.44±8.25,38.84±7.80,2.60±0.44,,,2.19±0.62,0.67±0.47,,3.76±1.34,
B021,"Red gram, dal (Ca",j,anus cajan),6,1.41±0.11,1.20±0.13,0.22±0.08,,,0.48±0.18,0.56±0.23,3.28±1.69,0.55±0.22,2.02±0.57
B022,"Red gram, whole",(,Cajanus cajan),6,1.65±0.11,1.33±0.15,0.32±0.16,,,4.13±0.51,1.53±0.42,4.03±1.62,1.55±0.27,2.20±0.52
B023,Ricebean (Vigna u,m,bellata),1,391,70.36,321,,,20.05,3.86,,0.40,
B024,"Soya bean, brown",,(Glycine max),6,122±5.3,8.19±0.22,114±5.1,,,31.91±4.04,1.34±0.17,,0.82±0.25,
B025,"Soya bean, white",(,Glycine max),1,119,8.18,111,,0.08,33.52,1.32,,0.89,
C,GREEN LEA,F,Y VEGETABLES,,,,,,,,,,,
C001,Agathi leaves (Se,s,bania grandiflora),1,179,8.06,171,,2.46,7.26,7.59,,3.27,
C002,"Amaranth leaves, (Amaranthus gang",g et,reen icus),6,779±232,198±29.7,582±203.6,,2.70±0.16,3.64±1.13,5.03±1.57,,3.78±1.44,
C003,"Amaranth leaves, gangeticus)",r,ed (Amaranthus,1,823,185,438,,2.79,2.99,4.52,,2.98,
C004,"Amaranth leaves, (Amaranthus gang",r et,ed and green icus),4,676±157,188±6.5,489±159,,2.76±0.26,2.87±0.88,5.97±1.14,,2.39±1.48,
C005,Amaranth spinos (Amaranthus spino,u s,"s, leaves, green us)",4,1073±158,81.78±11.52,991±147,6.11±0.59,2.58±0.28,11.15±1.10,3.84±0.95,,,
C006,Amaranth spinos green (Amaranthu,u s,"s, leaves, red and spinosus)",2,1045,90.20,955,6.19,2.52,15.45,4.67,,3.39,
