,,,,Raffinose,Stachyose Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,,g,,mg,,,g
,,,,,,,,,,
,,,,RAFS,STAS VERS,CAMT,STGSTR,,PHYTAC,
E064,"Tamarind, pulp (Tamarin",dus indicus),6,,,4.30±0.20,0.54±0.02,43.29±1.46,3.07±0.32,
E065,"Water melon, dark gree baby) (Citrullus vulgaris)",n (sugar,6,,,,,,0.61±0.09,
E066,"Water melon, pale green vulgaris)",(Citrullus,6,,,,,,0.47±0.06,
E067,Wood Apple (Limonia ac,idissima),3,0.01±0.000,0.01±0.000,3.86±0.10,4.63±0.02,20.55±0.40,101±7.7,0.28±0.01
E068,Zizyphus(Zizyphus jujub,e),1,,,0.63,0.39,10.09,85.60,
,,,,,,,,,,
F,ROOTS AND TUB,ERS,,,,,,,,
F001,Beet root (Beta vulgaris),,6,0.01±0.005,,0.44±0.02,3.34±0.09,12.15±0.91,10.82±0.41,
F002,"Carrot, orange (Dacus c",arota),6,0.01±0.005,,1.63±0.15,2.47±0.12,17.22±0.78,19.60±0.28,
F003,"Carrot, red (Dacus carot",a),4,0.01±0.006,,1.80±0.14,2.37±0.03,17.90±0.45,17.03±0.16,
F004,Colocasia (Colocasia ant,iquorum),6,,,3.55±0.20,2.30±0.10,28.45±1.08,13.57±1.07,
F005,Lotus root (Nelumbium n,elumbo),3,,,1.17±0.02,1.06±0.02,14.75±0.14,7.84±0.08,0.55±0.06
F006,"Potato, brown skin, big tuberosum)",(Solanum,6,,,0.02±0.00,0.16±0.01,2.10±0.08,55.77±9.06,
F007,"Potato, brown skin, sma tuberosum)",ll (Solanum,1,,,0.03,0.16,2.19,62.58,
F008,"Potato, red skin (Solanu tuberosum)",m,1,,,0.03,0.15,2.07,59.74,
F009,"Radish, elongate, red sk (Raphanus sativus)",in,3,,,1.57±0.10,0.34±0.01,9.55±0.11,6.90±1.06,
F010,"Radish, elongate, white (Raphanus sativus)",skin,6,,,1.61±0.09,0.36±0.02,9.71±0.21,1.75±0.06,
F011,"Radish, round, red skin sativus)",(Raphanus,1,0.01,,1.54,0.32,9.88,7.07,
F012,"Radish, round, white sk (Raphanus sativus)",in,2,,,1.62,0.33,9.40,1.07,
