Ta,,,,,,,,,,,,,,,
ble,,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fat,edo,,,,oig,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
ty,c,,Food Name,,eR,,,,,,,,(TSFA),(TMUFA),(TPUFA)
Acid,doo,,,,fo,,,,,,,,,,
P,F,,,,.o,,,,,mg,,,,,
rofile,,,,,N,,,,,,,,,,
,,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,,
,A018,"Wheat flour,",refined (Tritic,um aestivum),6,,,,325±6.8,,17.45±1.21,,98.55±1.87,50.64±2.98,343±7.8
,,,,,,,,,,,,,,,
,A019,"Wheat flour,",atta (Triticum,aestivum),6,,,,697±19.4,,44.93±1.64,,206±8.2,149±7.5,742±19.2
,,,,,,,,,,,,,,,
,A020,"Wheat, whol",e (Triticum aes,tivum),6,,,,616±22.1,,38.51±3.88,,191±8.0,141±9.4,654±23.7
,,,,,,,,,,,,,,,
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,,,,657±9.0,,42.69±3.34,,196±2.6,152±5.8,700±11.3
,,,,,,,,,,,,,,,
,A022,"Wheat, semo",lina (Triticum,aestivum),6,,,,306±3.0,,19.21±0.84,,88.87±5.16,67.34±3.25,325±2.4
,,,,,,,,,,,,,,,
,A023,"Wheat, verm",icelli (Triticum,aestivum),6,,,,209±17.4,,11.26±0.74,,64.59±4.94,36.06±2.43,220±17.8
,,,,,,,,,,,,,,,
,A024,"Wheat, verm","icelli, roasted",(Triticum,6,,,,162±12.8,,8.55±0.50,,49.95±4.74,28.84±1.22,170±13.1
,,aestivum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
92,B,GRAIN L,EGUMES,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,B001,Bengal gram,", dal (Cicer ar",ietinum),6,13.23±2.17,,,2360±51.0,,116±5.1,,469±8.0,876±17.9,2476±51.6
,,,,,,,,,,,,,,,
,B002,Bengal gram,", whole (Cice",r arietinum),6,11.77±1.44,,,2220±73.6,,117±7.9,,453±10.6,890±24.6,2337±78.2
,,,,,,,,,,,,,,,
,B003,"Black gram,",dal (Phaseolu,s mungo),6,,,,176±7.7,,566±25.6,,276±12.2,186±8.1,742±32.5
,,,,,,,,,,,,,,,
,B004,"Black gram,",whole (Phase,olus mungo),6,,,,117±5.9,,601±23.8,,258±18.6,161±7.1,718±29.0
,,,,,,,,,,,,,,,
,B005,"Cowpea, bro",wn (Vigna cat,jang),6,2.89±0.50,,,343±9.8,,207±16.0,,283±5.3,60.58±6.62,550±24.0
,,,,,,,,,,,,,,,
,B006,"Cowpea, whi",te (Vigna catj,ang),1,2.49,,,354,,203,,285,70.12,557
,,,,,,,,,,,,,,,
,B007,"Field bean, b",lack (Phaseo,lus vulgaris),1,,,,398,,69.82,,188,80.07,468
,,,,,,,,,,,,,,,
,B008,"Field bean, b",rown (Phase,olus vulgaris),1,,,,389,,70.06,,198,127,460
,,,,,,,,,,,,,,,
,B009,"Field bean,",white (Phaseo,lus vulgaris),5,,,,426±6.2,,76.61±8.35,,186±6.9,61.57±6.06,503±12.8
,,,,,,,,,,,,,,,
,B010,"Green gram,",dal (Phaseolu,s aureus),6,,,,377±14.8,,157±14.9,,247±9.5,35.85±4.30,534±28.2
,,,,,,,,,,,,,,,
,B011,"Green gram,",whole (Phas,eolus aureus),6,,,,430±10.8,,180±6.7,,274±10.9,27.22±5.09,611±12.8
,,,,,,,,,,,,,,,
,B012,"Horse gram,",whole (Dolicu,s biflorus),6,,,,207±3.8,,51.68±3.81,,135±2.3,68.89±1.85,258±6.4
