,,,,,,,,,µg,,,
,,,,,,,,,,,,
,,,,,,,LUTN,ZEA LYCPN,CRYPXB CARTG,CARTA,CARTB,CARTOID
D078,"Zucchini, yell",o,w(Cucur,bita pep,o),2,294,25.60,,,69.90,1177
,,,,,,,,,,,,
E,FRUITS,,,,,,,,,,,
E001,"Apple, big (M",al,us dome,stica),,6,36.4±5.19,1.90±0.95,,,2.41±2.13,229±98.5
E002,"Apple, green",(,Malus do,mestica),,6,40.2±18.8,1.91±0.77,,,2.20±0.93,196±47.5
E003,"Apple, small",(M,alus do,mestica),,6,38.8±2.95,1.71±0.48,,,2.08±0.82,198±25.6
E004,"Apple, small,",K,ashmir (,Malus d,omestica),1,46.26,1.98,,,2.11,344
E005,"Apricot, dried",(,Prunus a,rmeniac,a),6,4.98±2.79,2.33±1.08,,,1806±106,4313±123
E006,"Apricot, proc",e,ssed (Pru,nus arm,eniaca),3,3.07±1.49,1.98±0.62,,,1372±198,3357±748
E007,Avocado fruit,(,Persea a,merican,a),1,25.13,2.50,,,12.00,321
E008,Bael fruit (Ae,gl,e marme,los),,1,36.12,2.20,,,2.50,172
E009,"Banana, ripe,",,montham,(Musa,x paradisiaca),1,47.32,1.90,,3.57,53.06,260
E010,"Banana, ripe,",p,oovam (,Musa x,paradisiaca),2,34.67,2.75,,1.71,57.33,252
E011,"Banana, ripe,",r,ed (Musa,x para,disiaca),1,47.08,2.50,,2.12,51.52,261
E012,"Banana, ripe,",r,obusta (,Musa x,paradisiaca),6,26.9±6.18,2.33±0.87,,3.57±1.67,56.78±11.56,314±64.8
E013,Black berry (,R,ubus fruti,cosus),,5,105±17.5,2.37±0.98,,,52.32±2.65,166±2.4
E014,"Cherries, red",(,Prunus c,erasus),,4,92.9±12.4,5.69±2.12,,,40.78±1.15,259±36.4
E015,"Currants, bla",c,k (Ribes,nigrum),,1,242,12.90,,,62.48,453
E016,Custard appl,e,(Annona,squamo,sa),1,12.45,1.80,,,,142
E017,"Dates, dry, pa",l,e brown,(Phoeni,x dactylifera),6,281±77.8,8.95±1.88,,,2700±345,3483±551
E018,"Dates, dry, da",r,k brown,(Phoeni,x dactylifera),2,285,4.83,,,2705,3280
