,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,,,,,GALLAC,,,,
D053,Knol - Khol (Brassic,a oleracea),6,0.05±0.02,,,,,,,0.57±0.15,
D054,"Kovai, big (Coccinia",cordifolia),6,0.04±0.02,0.08±0.01,,,,,,,0.44±0.03
D055,"Kovai, small (Coccin",ia cordifolia),1,0.07,0.07,,,,,,,0.49
D056,Ladies finger (Abelm,oschus esculentus),6,,,,,,,,,1.62±0.19
D057,"Mango, green, raw (",Mangifera indica),6,,,,0.18±0.31,0.35±0.08,,,,
D058,"Onion, stalk (Allium",cepa),6,,0.17±0.01,,,,,,0.16±0.01,0.26±0.01
D059,"Papaya, raw (Carica",papaya),6,,,,,,,,,
D060,Parwar (Trichosanth,es dioica),6,,,0.44±0.05,0.32±0.07,,,,,0.05±0.01
D061,"Peas, fresh (Pisum s",ativum),6,0.61±0.29,,,,,,,2.10±0.86,1.58±0.20
D062,"Plantain, flower (Mu",sa x paradisiaca),6,,,,,,,,,0.63±0.05
D063,"Plantain, green (Mu",sa x paradisiaca),6,,,,,0.40±0.23,,,,
D064,"Plantain, stem (Mus",a x paradisiaca),6,,,0.49±0.08,0.04±0.01,,,,,0.04±0.02
D065,"Pumpkin, green, cyl maxima)",indrical (Cucurbita,1,,,,,,,,0.04,
D066,"Pumpkin, orange, r maxima)",ound (Cucurbita,6,,,,,,,,0.06±0.02,0.08±0.01
D067,"Red gram, tender, fr",esh (Cajanus cajan),1,0.23,,0.37,0.32,,0.61,,0.46,
D068,Ridge gourd (Luffa a,cutangula),6,,,,,,,,0.51±0.10,0.54±0.12
D069,"Ridge gourd, smoot acutangula)",h skin (Luffa,3,,,,,,,,0.54±0.03,0.49±0.06
D070,"Snake gourd, long, (Trichosanthes angui",pale green na),6,0.36±0.14,,,,,,0.47±0.15,0.06±0.01,0.47±0.16
D071,"Snake gourd, long, (Trichosanthes angui",dark green na),2,0.31,,,,,,0.45,0.07,0.40
D072,"Snake gourd, short anguina)",(Trichosanthes,1,0.31,,,,,,0.31,0.09,0.52
