,,,,,sn,Capric,Lauric,Myristic,Palmitic,Stearic,Arachidic,Behenic,Lignoceric Myristoleic,Palmitoleic,Oleic
,ed,,,,oi,(C10:0),(C12:0),(C14:0),(C16:0),(C18:0),(C20:0),(C22:0),(C24:0) (C14:1),(C16:1),(C18:1n9)
,oc,,Food Nam,e,geR,,,,,,,,,,
,doo,,,,fo,,,,,,,,,,
,F,,,,.o,,,,,,mg,,,,
,,,,,N,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
,,,,,,,,,,,,,,,
,C026,Mustard leav,es (Brassica,juncea),3,,,12.60±1.33,110±4.2,17.09±0.16,,2.35±0.16,,16.25±1.15,11.31±0.57
,,,,,,,,,,,,,,,
,C027,Pak Choi leav,es(Brassic,a rapa var.,1,,1.53,2.18,33.69,1.58,,,,,23.03
,,Chinensis),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C028,Parsley (Petr,oselinum cri,spum),3,,,15.18±1.18,235±9.1,58.05±2.44,6.04±0.09,13.80±0.36,16.67±0.31,14.42±0.54,18.52±0.74
,,,,,,,,,,,,,,,
,C029,Ponnaganni (,Alternanthe,ra sessilis),2,,,,148,17.43,2.93,8.73,27.61,9.77,23.61
,,,,,,,,,,,,,,,
,C030,Pumpkin leav,"es, tender",(Cucurbita,6,,,19.86±0.55,188±11.0,32.53±3.60,5.74±0.72,13.53±1.27,6.74±0.15,9.79±1.11,6.91±0.48
,,maxima),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C031,Radish leave,s (Raphanu,s sativus),6,,,9.62±0.95,110±4.6,27.54±2.05,,,,8.05±0.66,18.88±1.89
,,,,,,,,,,,,,,,
,C032,Rumex leave,s (Rumex p,atientia),2,,,6.95,49.83,4.14,,,,6.95,11.73
,,,,,,,,,,,,,,,
,C033,Spinach (Spin,acia olerac,ea),6,,,17.01±0.72,147±6.3,9.54±1.17,1.29±0.25,4.13±0.29,3.99±0.39,8.77±0.84,32.87±1.74
19,,,,,,,,,,,,,,,
7,,Tamarind lea,"ves, tender",(Tamarindus,,,,,,,,,,,
,C034,indica),,,3,,,16.14±0.46,150±2.2,,1.20±0.23,4.08±0.43,4.27±0.40,9.29±0.35,33.01±2.46
,,,,,,,,,,,,,,,
,D,OTHER V,EGETAB,LES,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D001,Ash gourd (B,enincasa hi,spida),6,,,0.81±0.10,17.99±1.16,5.90±0.20,0.55±0.11,,,0.86±0.27,6.57±0.35
,,,,,,,,,,,,,,,
,D002,Bamboo sho,"ot, tender (",Bambusa,1,,,,35.75,1.84,,1.72,1.77,,7.45
,,vulgaris),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D003,"Bean scarlet,",tender (Ph,aseolus,5,,,3.08±0.41,191±5.4,40.33±0.41,8.93±0.31,13.20±0.25,9.38±0.64,8.72±0.25,38.09±1.54
,,coccineus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"Bitter gourd,","jagged, tee","th ridges,",6,,,2.99±0.57,78.62±5.32,50.55±3.47,2.89±0.60,3.65±0.77,5.78±0.77,1.03±0.30,4.55±0.40
,D004,elongate (Mo,mordica cha,rantia),,,,,,,,,,,
,,,,,,,,,,,,,,,
Ta,,"Bitter gourd,","jagged, tee","th ridges,",4,,,3.35±0.46,84.32±2.23,41.25±2.34,3.09±0.44,3.44±0.20,3.74±0.64,0.96±0.33,5.36±0.39
ble,D005,short (Momor,dica charan,tia),,,,,,,,,,,
7.,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,
att,D006,"Bitter gourd,","jagged, sm","ooth ridges,",1,,,4.25,86.82,40.28,3.16,3.47,4.14,1.05,3.91
y A,,elongate (Mo,mordica cha,rantia),,,,,,,,,,,
cid,,,,,,,,,,,,,,,
P,D007,"Bottle gourd,","elongate,",pale green,6,,,1.32±0.23,31.30±3.01,4.35±0.55,0.70±0.12,2.22±0.30,1.54±0.22,,3.54±0.58
rofi,,(Lagenaria vul,garis),,,,,,,,,,,,
le,,,,,,,,,,,,,,,
