edoc dooF,Food,Name,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
E060,Sapota (Achras sap,ota),6,16.19±2.51,0.08±0.01,,0.001±0.000,0.029±0.006,22.26±1.34,280±8.6,0.39±0.19,4.61±0.08,0.18±0.01
E061,Soursop (Annona m,uricata),1,17.70,0.07,,,,25.83,264,,6.78,0.12
E062,Star fruit (Averrhoa,carambola),1,11.53,0.06,0.04,0.010,0.028,11.67,159,0.56,1.56,0.24
E063,Strawberry (Fragar,ia ananassa),1,15.53±1.31,0.43±0.02,,,,26.31±2.09,140±5.7,0.30±0.11,1.19±0.67,0.14±0.02
E064,"Tamarind, pulp (Ta",marindus indicus),6,82.73±8.55,0.52±0.14,,0.070±0.060,0.032±0.020,113±18.1,836±8.1,2.05±0.48,24.92±2.45,0.58±0.05
E065,"Water melon, dark (Citrullus vulgaris)",green (sugar baby),6,9.91±0.73,0.04±0.02,,,0.010±0.008,11.33±2.50,124±7.5,,1.89±0.33,0.10±0.02
E066,"Water melon, pale vulgaris)",green (Citrullus,6,7.42±1.71,0.03±0.01,,,0.009±0.008,8.09±1.76,126±5.6,,1.62±0.31,0.07±0.01
E067,Wood Apple (Limon,ia acidissima),3,23.70±1.68,0.20±0.02,,,0.025±0.006,84.32±4.00,347±28.5,2.32±0.21,1.48±0.36,0.31±0.03
E068,Zizyphus(Zizyphus,jujube),1,16.72,0.24,,,0.008,32.38,237,1.42,1.52,0.10
,,,,,,,,,,,,,
F,ROOTS AND,TUBERS,,,,,,,,,,,
F001,Beet root (Beta vul,garis),6,33.21±2.70,0.57±0.11,,0.002±0.001,0.008±0.002,36.33±4.84,306±26.9,0.25±0.05,69.44±0.83,0.30±0.09
F002,"Carrot, orange (Da",cus carota),6,16.73±3.20,0.23±0.07,,0.002±0.002,0.010±0.004,43.06±6.46,273±28.2,0.22±0.06,52.33±0.62,0.25±0.03
F003,"Carrot, red (Dacus",carota),4,18.83±7.02,0.20±0.05,,0.008±0.002,0.011±0.006,25.81±11.63,267±15.7,0.29±0.14,60.69±7.21,0.34±0.09
F004,Colocasia (Colocas,ia antiquorum),6,36.93±4.86,0.47±0.29,,0.027±0.021,0.035±0.019,81.16±11.90,514±2.8,0.30±0.05,4.54±1.06,0.41±0.09
F005,Lotus root (Nelumb,ium nelumbo),3,26.58±1.74,1.40±0.81,,0.002±0.000,0.023±0.008,74.30±7.54,611±105,4.61±4.35,20.63±1.33,0.35±0.11
F006,"Potato, brown skin tuberosum)",", big (Solanum",6,24.07±7.55,0.14±0.04,0.29±0.03,0.002±0.001,0.006±0.001,43.42±8.44,541±5.3,0.75±0.61,4.11±0.06,0.28±0.03
F007,"Potato, brown skin tuberosum)",", small (Solanum",1,22.34,0.16,,0.003,0.013,37.90,474,0.28,3.97,0.38
F008,"Potato, red skin (S",olanum tuberosum),1,25.54,0.14,,,0.012,30.39,501,0.32,4.36,0.34
F009,"Radish, elongate, r sativus)",ed skin (Raphanus,3,13.34±1.14,0.09±0.01,,0.011±0.007,0.005±0.002,27.51±6.96,255±6.0,0.13±0.01,24.73±2.82,0.16±0.02
F010,"Radish, elongate, (Raphanus sativus)",white skin,6,16.07±3.27,0.10±0.04,,0.009±0.003,0.005±0.003,30.10±10.91,288±30.9,0.10±0.01,28.20±5.92,0.22±0.09
