,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,Total B6,Biotin,T o t a l Folates T o,tal Ascor
,ed,,oi,(B1),(B2),(B3),Acid (B5),,(B7),(B9),Acid
,oc,Food Name,geR,,,,,,,,
,doo,,fo,,,mg,,,µg,,mg
,F,,.o,,,,,,,,
,,,N,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
,,,,,,,,,,,
,K,MISCELLANEOUS FOODS,,,,,,,,,
,,,,,,,,,,,
,K001,Toddy,10,0.01±0.002,0.27±0.048,0.35±0.05,0.08±0.02,0.03±0.014,1.96±0.28,0.73±0.11,0.92±0.25
,,,,,,,,,,,
,K002,Coconut Water,6,0.01±0.000,0.01±0.000,0.04±0.01,0.26±0.02,0.06±0.006,0.21±0.02,10.88±1.86,0.64±0.11
,,,,,,,,,,,
,L,MILK AND MILK PRODUCTS,,,,,,,,,
,,,,,,,,,,,
,L001,"Milk, whole, Buffalo",6,0.05±0.006,0.13±0.031,0.07±0.01,0.38±0.03,0.04±0.004,2.16±0.19,8.57±0.44,2.37±0.19
,,,,,,,,,,,
,L002,"Milk, whole, Cow",6,0.03±0.006,0.11±0.019,0.08±0.01,0.34±0.01,0.04±0.007,1.98±0.13,7.03±0.39,2.01±0.28
,,,,,,,,,,,
,L003,Panner,6,0.02±0.000,0.10±0.019,0.13±0.03,0.49±0.01,0.04±0.006,21.04±0.57,93.31±14.37,
,,,,,,,,,,,
,L004,Khoa,6,0.11±0.013,0.11±0.005,0.43±0.03,0.33±0.01,0.06±0.006,20.39±0.86,94.25±8.57,
,,,,,,,,,,,
49,,,,,,,,,,,
,,,,,,,,,,,
Table,,,,,,,,,,,
2.,,,,,,,,,,,
Water,,,,,,,,,,,
Soluble,,,,,,,,,,,
Vitamins,,,,,,,,,,,
