Masoor rakhoda,(G.),B015,Methi man (M,.),C020
,,,,,
Masur (Kash.),,B022,Methi paat (A.,),C020
,,,,,
Masur bele (Ka,n.),"B014, B015",Methi pandada,(G.),C020
,,,,,
Masur dail (A.),,B013,Methi pata (N.,),C020
,,,,,
"Masur dal (H.,M","ar.,U.)","B014, B015","Methi sag (H.,","Mar.,O.)",C020
,,,,,
Masur parippu (,Mal.),"B014, B015",Methi shak (B,.),C020
,,,,,
"Masura (O.,S.)",,"B014, B015",Mewa (N.),,E049
,,,,,
Masura dali (O.,),B013,Milagu (Tam.),,G031
,,,,,
Masura Musuro,o (S.),B015,Milat khunda,chaul (A.),A015
,,,,,
"Matar (B.,H.,Ka",sh.),"B017, D061",Milk fish (Co,mmon),P037
,,,,,
Matar mah (A.),,D061,"Milk, Buffalo",(Common),L001
,,,,,
Matara (O.),,"B017, D061","Milk, Cow (C",ommon),L002
,,,,,
"Math (G.,Mar.)",,"B016, C002,",Minapapappu,(Tel.),B003
,,,,,
,,"C003, C004",Mint leaves (C,ommon),G016
Matha (Commo,n),P036,,,
,,,Minumulu (Te,l.),B004
Mathalam pazhh,am (Mal.),E055,,,
,,,Mirapakaya (T,el.),G022
Mathan (Mal.),,"D065, D066",,,
,,,Mirayalu (Tel.,),G031
Matia rangar ch,aul (A.),A013,,,
,,,Mirchi (H.),,G022
Matia rangar til,(A.),H010,,,
,,,Mire (Mar.),,G031
Matikaduri (A.),,C029,,,
,,,Mirgichara (O,.),E052
Matir dail phola,(A.),B003,,,
,,,Misur pappu (,Tel.),"B014, B015"
Matki (Mar.),,B016,,,
,,,,,
,,,Mitha lebu (B.,),E034
Matki Kal (Kan,.),B016,,,
,,,,,
,,,Mithai Gur (K,h.),I001
Mator (Kh.),,D061,,,
,,,,,
,,,Mithun (Com,mon),"O045, O046"
Mavina hasi sun,thi (Kan.),G015,,,O047
,,,,,
Mavinakayi (Ka,n.),D057,Moang (Kash.,),"B007,B008,"
,,,,,
Mawal (Kash.),,"A001, A002,",,,B009
,,C002-C006,Mobula kuhlii,(Sci.),P030
,,,,,
Mayalu (Mar.),,C007,Mocha (B.),,D062
,,,,,
Maz da doodh (,P.),L001,Mochai (Tam.,),"B007, B008"
,,,,,
Meeth (Kash.),,G026,,,B009
,,,Mochari-chi p,an (Mar.),C026
Meetha aloo (A.,),"F013, F014",,,
,,,Mohor gakhir,(A.),L001
Mekke jola (Ka,n.),"A006, A007,",,,
,,A008,Mohori (Mar.),,H013
,,,,,
Mene maculata,(Sci.),P038,"Moida (A.,Kh",".,M.)",A018
,,,,,
Menippe mercen,aria (Sci.),Q001,Mokkajonna (,Tel.),"A006, A007"
,,,,,
Mentha spicata,(Sci.),G016,,,A008
,,,Momordica ch,arantia (Sci.),"D004, D005"
Menthe (Kan.),,G026,,,D006
,,,,,
Menthikoora (T,el.),C020,Monjh haak (K,ash.),D053
,,,,,
Menthulu (Tel.),,G026,Monsaobi (M.,),C008
,,,,,
Menthya soppu,(Kan.),C020,Moog (B.),,B011
,,,,,
Meretrix meretr,ix (Sci.),R002,Moog phali (H,".,P.,U.)",H012
,,,,,
Mestapat (B.),,"C022, C023",Mooji hakh (K,ash.),C031
,,,,,
Meth (H.),,B023,Moolaa ko saa,g (N.),C031
,,,,,
Methe (S.),,G026,Mooli (U.),,F009-F012
,,,,,
"Methi (A.,B.,H.",", M.,N.,O.,P.,U.)","G026, C020",Moolikaa (S.),,F009-F012
,,,,,
Methi dana (G.,),G026,Moon fish (C,ommon),P038
,,,,,
Methi di patte (,P.),C020,"Moong (N.,U.",),B011
