edoc dooF,,Food Name,,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,,g,,,,,
,,,,,,,,,,,,,,
,,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
A020,"Wheat, who",le (Triticum aes,tivum),6,2.65±0.31,3.83±0.20,6.81±0.33,3.13±0.26,1.75±0.21,2.35±0.23,4.75±0.38,3.01±0.17,1.40±0.10,5.11±0.05
A021,"Wheat, bulg",ur (Triticum ae,stivum),6,2.23±0.25,3.48±0.28,6.61±0.66,2.42±0.10,1.62±0.36,1.96±0.05,4.46±2.10,2.46±0.34,1.11±0.15,4.28±0.25
A022,"Wheat, sem",olina (Triticum,aestivum),6,2.38±0.27,3.43±0.26,6.71±0.59,2.54±0.13,1.57±0.23,1.79±0.03,4.77±0.32,2.71±0.15,1.04±0.12,4.47±0.39
A023,"Wheat, ver",micelli (Triticum,aestivum),6,1.76±0.11,1.56±0.56,5.23±1.23,1.83±0.04,1.17±0.14,1.83±0.02,4.90±1.74,2.26±0.16,1.07±0.09,3.54±1.35
A024,"Wheat, ver aestivum)","micelli, roasted",(Triticum,6,1.63±0.23,1.46±0.13,5.63±0.24,1.54±0.30,1.15±0.08,1.85±0.08,4.96±2.06,2.25±0.28,0.99±0.14,3.71±0.24
,,,,,,,,,,,,,,
B,GRAIN L,EGUMES,,,,,,,,,,,,
B001,Bengal gra,"m, dal (Cicer ar",ietinum),6,2.39±0.34,4.25±0.26,6.91±0.65,6.06±0.52,1.12±0.31,0.84±0.14,5.97±1.06,3.24±0.34,1.09±0.25,4.09±0.41
B002,Bengal gra,"m, whole (Cicer",arietinum),6,2.51±0.18,4.34±0.23,7.40±0.31,6.59±0.25,1.16±0.16,1.27±0.09,6.26±0.70,3.55±0.31,0.95±0.07,4.58±0.51
B003,"Black gram,",dal (Phaseolu,s mungo),6,2.64±0.11,3.75±0.92,7.93±0.45,6.22±0.21,1.31±0.35,0.49±0.04,5.68±0.91,2.99±0.19,1.07±0.12,4.61±1.06
B004,"Black gram, mungo)",whole (Phase,olus,6,2.85±0.08,3.42±0.82,7.58±0.62,6.35±0.53,1.17±0.38,0.58±0.12,5.90±0.38,2.87±0.63,0.98±0.14,4.11±0.88
B005,"Cowpea, br",own (Vigna cat,jang),6,2.93±0.42,4.10±0.58,7.49±1.23,6.67±1.26,1.38±0.16,0.57±0.09,5.47±0.49,3.80±0.61,1.05±0.03,4.87±0.59
B006,"Cowpea, wh",ite (Vigna catja,ng),1,3.25,4.40,7.96,7.14,1.53,0.60,5.63,4.10,0.92,5.31
B007,"Field bean,",black (Phaseol,us vulgaris),1,3.21,4.57,8.91,6.79,1.36,0.59,5.88,4.12,0.73,5.24
B008,"Field bean, vulgaris)",brown (Phaseo,lus,1,3.23,4.59,8.88,6.75,1.38,0.52,5.72,3.97,0.78,5.16
B009,"Field bean, vulgaris)",white (Phaseo,lus,5,2.82±0.76,4.41±0.36,8.48±0.66,6.13±0.68,1.40±0.18,0.57±0.09,5.76±0.32,3.97±0.31,0.89±0.07,4.96±0.36
B010,Green gram,", dal (Phaseolu",s aureus),6,2.55±0.26,4.07±1.11,7.90±0.99,6.09±1.06,1.05±0.23,0.43±0.10,6.20±0.61,3.36±0.60,1.24±0.42,5.21±1.28
B011,Green gram aureus),", whole (Phase",olus,6,2.85±0.26,4.17±0.37,7.45±0.50,6.60±0.33,1.21±0.20,0.74±0.03,6.21±0.39,3.20±0.18,1.02±0.14,5.45±0.37
B012,Horse gram,", whole (Dolicu",s biflorus),6,2.70±0.28,3.72±0.83,6.79±0.81,6.24±0.57,0.73±0.30,0.75±0.19,8.08±0.60,3.32±0.10,1.08±0.25,4.16±0.96
B013,Lentil dal (L,ens culinaris),,6,1.93±0.32,3.74±0.91,7.10±0.86,6.12±0.71,0.54±0.19,0.55±0.07,5.10±0.73,3.31±0.24,0.81±0.07,5.02±0.39
B014,Lentil whol,"e, brown (Lens",culinaris),6,2.07±0.14,4.17±0.05,7.36±0.34,6.78±0.51,0.84±0.03,1.18±0.04,4.61±0.68,3.35±0.05,0.76±0.04,4.85±0.06
