T,,,,,,,,,,,,,
ab,,,,,,,Tocoph,erols,,Tocotri,enols,,
le 3,e,,,sn,Ergocalcife,,,,,,,α-Tocopherol,Phylloquino
. Fat,doc,,,oige,rol (D2),Alpha,Beta,Gamma,Delta,Alpha Beta,Gamma Delta,Equivalent,nes (K1)
Sol,doo,Food Name,,R fo,µg,,,,,mg,,,µg
uble,F,,,.oN,,,,,,,,,
V,,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA TOCTRB,TOCTRG TOCTRD,VITE,VITK1
itam,,,,,,,,,,,,,
ins,H021,Walnut (Juglans regia),,6,46.31±2.64,2.65±1.09,3.50±0.44,0.43±0.15,0.16±0.03,0.10±0.00,,4.12±1.14,84.92±1.55
,,,,,,,,,,,,,
,I,SUGARS,,,,,,,,,,,
,,,,,,,,,,,,,
,I001,"Jaggery, cane (Saccharum",officinarum),6,0.47±0.06,0.04±0.01,,,,,,0.04±0.01,
,,,,,,,,,,,,,
,I002,"Sugarcane, juice (Saccharu",m officinarum),6,0.41±0.01,0.02±0.01,,,,,,0.02±0.01,
,,,,,,,,,,,,,
,J,MUSHROOMS,,,,,,,,,,,
,,,,,,,,,,,,,
,J001,"Button mushroom, fresh (",Agaricus sp.),1,20.54,0.01,,,,,,0.01,12.50
,,,,,,,,,,,,,
78,J002,"Chicken mushroom, fresh",(Lactiporus sp.),1,27.58,0.02,,,,,,0.02,16.29
,,,,,,,,,,,,,
,J003,"Shiitake mushroom, fresh",(Lentinula sp.),1,36.40,0.01,,,,,,0.01,12.50
,,,,,,,,,,,,,
,J004,"Oyster mushroom, dried (P",leurotus sp.),1,109,0.01,,,,,,0.01,11.80
,,,,,,,,,,,,,
,K,MISCELLANEOUS,FOODS,,,,,,,,,,
,,,,,,,,,,,,,
,K001,Toddy,,10,,,,,,0.02±0.01,,0.01±0.00,
,,,,,,,,,,,,,
,K002,Coconut Water,,6,,0.45±0.03,,,,,,0.45±0.03,2.69±0.18
,,,,,,,,,,,,,
,L,MILK AND MILK PR,ODUCTS,,,,,,,,,,
,,,,,,,,,,,,,
,L001,"Milk, whole, Buffalo",,6,1.63±0.13,0.12±0.02,0.09±0.02,,,0.10±0.02,0.08±0.02,0.19±0.02,
,,,,,,,,,,,,,
,L002,"Milk, whole, Cow",,6,1.22±0.21,0.14±0.02,0.11±0.01,,,0.15±0.02,0.08±0.01,0.22±0.02,
,,,,,,,,,,,,,
,L003,Panner,,6,0.13±0.04,0.02±0.01,,,,,,0.02±0.01,
,,,,,,,,,,,,,
,L004,Khoa,,6,0.12±0.03,0.03±0.02,,,,,,0.03±0.02,
