,Sl,. No.,Langua,ges,,Abbreviations used,
,,,,,,,
,,1,Assames,e,,A.,
,,,,,,,
,,2,Bengali,,,B.,
,,,,,,,
,,3,Gujarati,,,G.,
,,,,,,,
,,4,Hindi,,,H.,
,,,,,,,
,,5,Kannada,,,Kan.,
,,,,,,,
,,6,Kashmir,i,,Kash.,
,,,,,,,
,,7,Khasi,,,Kh.,
,,,,,,,
,,8,Konkani,,,Kon.,
,,,,,,,
,,9,Malayal,am,,Mal.,
,,,,,,,
,,10,Manipur,i,,M.,
,,,,,,,
,,11,Marathi,,,Mar.,
,,,,,,,
,,12,Nepali,,,N.,
,,,,,,,
,,13,Oriya,,,O.,
,,,,,,,
,,14,Punjabi,,,P.,
,,,,,,,
,,15,Sanskrit,,,S.,
,,,,,,,
,,16,Tamil,,,Tam.,
,,,,,,,
,,17,Telugu,,,Tel.,
,,,,,,,
,,18,Urdu,,,U.,
,,,,,,,
,,19,Scientifi,c name,,Sci.,
,,,,,,,
,,20,Commo,n name,,Common,
,,,,,,,
Food name,,,,Food Code,Fo,od name,Food Cod
,,,,,,,
Aa’l budu’a,aa’L (Kash.),,,"G020, G021",Aa,nabay/Aanabe (Kan.),J001-J004
,,,,,,,
Aadad ni da,ad (G.),,,B003,Aa,nla (O.),E021
,,,,,,,
Aaddhakii (,S.),,,B021,Aa,raroot (G.),F015
,,,,,,,
Aaddu (G.),,,,E054,Aa,thachakka/ Vennapazham (Mal.),E007
,,,,,,,
Aadrak (S.),,,,G014,Aa,vu paalu (Tel.),L002
,,,,,,,
Aakhu Doru,a (O.),,,I002,Ab,elmoschus esculentus (Sci.),D056
,,,,,,,
Aal (Kash.),,,,D001,Ac,anthurus mata (Sci.),P036
,,,,,,,
Aal kaniji (K,ash.),,,C030,Ac,chellu (Kan.),"H009, H0"
,,,,,,,
Aalu (S.),,,,F018,,,H011
,,,,,Ac,hras sapota (Sci.),E060
Aalukah (S.),,,,"F006, F007,",,,
,,,,F008,Ad,"a (B., O.)",G014
,,,,,,,
Aam (A.),,,,E036-E042,Ad,a kesa (A.),G014
,,,,,,,
Aam (kanch,a) (B.),,,D057,Ad,ad (G.),B004
,,,,,,,
Aam (P.),,,,E036-E042,Ad,akka (Mal.),"H002, H0"
,,,,,,,
Aam (paka),(B.),,,E036-E042,,,H004
,,,,,Ad,ike (Kan.),"H002, H0"
Aam (paka),(H.),,,E036-E042,,,H004
,,,,,,,
Aam ada (A,.),,,G015,Ad,ityala (Tel.),H008
,,,,,,,
Aam adhrak,(H.),,,G015,Ad,ityala Akulu (Tel.),C021
,,,,,,,
Aam adrak (,"P.,U.)",,,G015,Ad,rak (H.),G014
,,,,,,,
Aamb (Kash,.),,,E036-E042,Ad,rak (Kash.),G015
,,,,,,,
Aamba (N.),,,,"E028, E029",Ad,"rak (P., U.)",G014
,,,,,,,
Aamra (S.),,,,E036-E042,Ad,si (G.),H014
