edoc dooF,Food Name,,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
H016,"Niger seeds, gray (Guizotia",abyssinica),5,379±69.3,4.44±0.14,,0.048±0.026,0.293±0.104,474±93.5,874±11.4,153.64±5.52,8.08±0.18,3.62±0.82
H017,Pine seed (Pinus gerardian,a),5,268±18.7,7.92±0.55,,0.033±0.021,0.191±0.045,618±39.7,686±69.0,10.56±4.93,1.31±0.04,4.18±0.04
H018,Pistachio nuts (Pistacla ver,a),6,149±3.0,0.87±0.06,0.65±0.33,0.022±0.003,0.087±0.009,537±9.2,1053±11.7,10.46±2.65,6.93±1.84,2.42±0.14
H019,Safflower seeds (Carthamu,s tinctorius),5,321±49.5,0.56±0.81,0.36±0.10,0.020±0.010,0.053±0.016,644±56.5,550±64.3,6.33±1.14,3.05±0.91,3.90±0.76
H020,Sunflower seeds (Helianthu,s annuus),5,413±33.5,2.35±0.91,,0.047±0.020,0.322±0.144,752±118,559±8.0,,1.90±0.44,7.07±0.52
H021,Walnut (Juglans regia),,6,180±16.2,3.47±0.32,,0.020±0.006,0.300±0.079,400±43.0,457±33.2,6.53±3.72,1.33±0.56,2.94±0.25
I,SUGARS,,,,,,,,,,,,
I001,"Jaggery, cane (Saccharum",officinarum),6,115±27.9,0.72±0.39,,,0.017±0.006,74.53±12.20,488±103,,25.38±7.47,0.45±0.22
I002,"Sugarcane, juice (Saccharu officinarum)",m,6,13.03±6.37,0.33±0.23,,,0.002±0.000,22.08±5.08,150±47.2,,1.16±0.28,0.14±0.07
,,,,,,,,,,,,,
J,MUSHROOMS,,,,,,,,,,,,
J001,"Button mushroom, fresh (",Agaricus sp.),1,18.30,0.15,,0.002,0.009,87.11,318,,7.72,0.17
J002,"Chicken mushroom, fresh sp.)",(Lactiporus,1,10.78,0.18,,,,79.74,340,,10.22,0.55
J003,"Shiitake mushroom, fresh sp.)",(Lentinula,1,24.47,0.13,0.15,0.002,0.007,96.36,323,,9.30,1.21
J004,"Oyster mushroom, dried ( sp.)",Pleurotus,1,136,1.02,5.01,0.004,0.044,702,350,0.04,8.67,8.67
,,,,,,,,,,,,,
K,MISCELLANEOUS,FOODS,,,,,,,,,,,
K001,Toddy,,10,3.99±0.64,0.02±0.01,,,,5.82±1.31,83.54±17.52,,1.64±0.45,0.01±0.01
