T,,,,,,,,,,
a,,,,,,,Tocopherols,Tocotrienols,,
ble,,,,s,Ergocalcife,,,,α-Tocopherol,
3.,ed,,,noi,rol (D2),,,,Equivalent,Phylloquino
Fat,oc,Foo,d Name,ge,,Alpha,Beta Gamma Delta,Alpha Beta Gamma Delta,,nes (K1)
Sol,doo,,,R fo,µg,,,mg,,µg
ub,F,,,.o,,,,,,
le,,,,N,,,,,,
V,,,,,ERGCAL,TOCPHA,TOCPHB TOCPHG TOCPHD,TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK1
itam,,,,,,,,,,
in,D014,Brinjal-5 (Solanum m,elongena),3,1.61±0.26,0.10±0.02,,,0.10±0.02,13.05±0.64
s,,,,,,,,,,
,,,,,,,,,,
,D015,Brinjal-6 (Solanum m,elongena),2,1.14,0.08,,,0.08,21.45
,,,,,,,,,,
,D016,Brinjal-7 (Solanum m,elongena),1,0.84,0.03,,,0.03,13.14
,,,,,,,,,,
,D017,Brinjal-8(Solanum m,elongena),3,0.97±0.17,0.08±0.02,,,0.08±0.02,13.94±2.56
,,,,,,,,,,
,D018,Brinjal-9(Solanum m,elongena),2,1.02,0.09,,,0.09,14.05
,,,,,,,,,,
,D019,Brinjal-10 (Solanum,melongena),2,0.88,0.05,,,0.05,14.25
,,,,,,,,,,
,D020,Brinjal-11 (Solanum,melongena),6,1.01±0.24,0.07±0.03,,,0.07±0.03,14.46±1.91
,,,,,,,,,,
,D021,Brinjal-12 (Solanum,melongena),2,0.87,0.09,,,0.09,14.32
,,,,,,,,,,
,D022,Brinjal-13(Solanum,melongena),1,1.06,0.07,,,0.07,14.29
68,,,,,,,,,,
,D023,Brinjal-14(Solanum,melongena),3,0.89±0.05,0.06±0.01,,,0.06±0.01,14.58±1.77
,,,,,,,,,,
,D024,Brinjal-15 (Solanum,melongena),4,1.12±0.22,0.08±0.01,,,0.08±0.01,14.04±2.02
,,,,,,,,,,
,D025,Brinjal-16(Solanum,melongena),1,0.76,0.09,,,0.09,13.37
,,,,,,,,,,
,D026,Brinjal-17(Solanum,melongena),1,1.33,0.07,,,0.07,12.75
,,,,,,,,,,
,D027,Brinjal-18 (Solanum,melongena),3,1.01±0.15,0.04±0.01,,,0.04±0.01,13.67±0.92
,,,,,,,,,,
,D028,Brinjal-19(Solanum,melongena),3,1.06±0.46,0.07±0.03,,,0.07±0.03,11.48±1.05
,,,,,,,,,,
,D029,Brinjal-20(Solanum,melongena),5,1.02±0.33,0.07±0.03,,,0.07±0.03,10.94±1.17
,,,,,,,,,,
,D030,Brinjal-21(Solanum,melongena),2,0.84,0.08,,,0.08,10.50
,,,,,,,,,,
,D031,Brinjal - all varieties,(Solanum melongena),6,1.04±0.27,0.07±0.03,,,0.07±0.03,13.53±2.62
,,,,,,,,,,
,D032,Broad beans (Vicia f,aba),3,11.58±1.55,0.05±0.04,0.02±0.01,,0.06±0.03,93.20±0.50
,,,,,,,,,,
,D033,"Capsicum, green (C",apsicum annuum),6,0.70±0.21,0.07±0.03,,,0.07±0.03,24.66±2.89
,,,,,,,,,,
,D034,"Capsicum, red (Cap",sicum annuum),4,0.52±0.11,0.19±0.02,,,0.19±0.02,28.42±8.83
,,,,,,,,,,
,D035,"Capsicum, yellow (C",apsicum annuum),4,0.89±0.18,0.18±0.03,,,0.18±0.03,35.25±12.82
