,,,,,,,mg,,,
,,,,,,,,,,
,,,,,,,GALLAC,,,
D033,"Capsicum, green",(Capsicum annuum),6,,0.46±0.03,0.07±0.02,,,,0.07±0.02
D034,"Capsicum, red (C",apsicum annuum),4,,0.58±0.00,1.02±0.00,,,,0.84±0.00
D035,"Capsicum, yellow",(Capsicum annuum),4,,0.48±0.00,0.41±0.00,,,,0.35±0.00
D036,Cauliflower (Bras,sica oleracea),6,,0.88±0.05,,0.69±0.05,,0.57±0.07,1.40±0.29
D037,Celery stalk (Apiu,m graveolens),3,,0.32±0.04,,,,,0.30±0.05
D038,Cho-cho-marrow,(Sechium edule),4,0.38±0.06,,,,0.36±0.04,,0.05±0.01
D039,Cluster beans (C,yamopsis tetragonobola),6,,,,,,0.04±0.01,0.78±0.04
D040,"Colocasia, stem, antiquorum)",black (Colocasia,1,,,,1.89,,3.82,4.18
D041,"Colocasia, stem, antiquorum)",green (Colocasia,5,,,,0.60±0.37,,1.38±0.76,1.28±0.59
D042,"Corn, Baby(Zea m",ays),6,0.03±0.01,0.13±0.03,1.20±0.11,,,0.20±0.15,0.31±0.10
D043,"Cucumber, green sativus)",", elongate(Cucumis",6,,,,,,,
D044,"Cucumber, green",", short (Cucumis sativus)",6,,,,,,,
D045,"Cucumber, orang sativus)","e, round (Cucumis",2,,,,,,,
D046,Drumstick (Morin,ga oleifera),6,2.93±0.51,,,,3.36±0.89,,1.67±0.12
D047,"Field beans, tend","er, broad (Vicia faba)",2,,,,,,,0.81
D048,"Field beans, tend","er, lean (Vicia faba)",6,,,,,,,0.62±0.08
D049,"French beans, co vulgaris)",untry (Phaseolus,5,0.27±0.05,,,,,0.80±0.10,1.54±0.17
D050,"French beans, hy vulgaris)",brid (Phaseolus,2,0.31,,,,,0.92,1.71
D051,"Jack fruit, raw (Ar",tocarpus heterophyllus),5,3.03±0.86,,,,,,1.04±0.52
D052,"Jack fruit, seed, heterophyllus)",mature (Artocarpus,5,0.56±0.08,,,,,,0.31±0.10
