Table,,,,,,,,,,,,,
7.,,,,sn,Oleic,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,Docosadienoic,α-Linolenic,Eicosatrienoic
Fatty,edoC,,Fish Name,oigeR,(C18:1n9),(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C22:2),(C18:3n3),(C20:3n6)
Acid,doo,,,fo,,,,,mg,,,,
Pro,F,,,.oN,,,,,,,,,
fil,,,,,,,,,,,,,
e,,,,,F18D1CN9,F20D1N9,F22D1N9,F24D1C,F18D2CN6,F20D2,F22D2,F18D3N3,F20D3N6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,P063,Ran i (Pi,nk perch),1,1408,60.70,,,58.64,64.54,,,14.87
,,,,,,,,,,,,,
,P064,Ray fish,", bow head, spotted (Rhina ancylostoma)",1,90.15,,,,21.44,,,,
,,,,,,,,,,,,,
,P065,Red sna,pp e r (Lutjanus argentimaculatus),1,217,11.92,,6.06,19.08,4.01,,,
,,,,,,,,,,,,,
,P066,Red sna,"pper, sma l l (Priacanthus hamrur)",1,278,9.65,,,35.43,6.63,,,
,,,,,,,,,,,,,
,P067,Saday a,(Platax orbicularis),1,377,15.31,,,35.21,13.72,,,
,,,,,,,,,,,,,
,P068,Salmo n,(Salmo salar),1,1682,55.53,12.79,34.82,119,25.48,,,17.29
,,,,,,,,,,,,,
,P069,Sangad,a (Nemipterus japanicus),1,343,27.12,4.50,11.87,34.50,12.97,,,5.42
,,,,,,,,,,,,,
,P070,Sankata,paar a i (Caranx ignobilis),1,1295,41.15,13.30,30.89,80.54,14.64,,,18.12
248,,,,,,,,,,,,,
,P071,Sardine,(Sardinella longiceps),1,327,13.37,,,42.33,16.50,,,8.29
,,,,,,,,,,,,,
,P072,Shark (,Carcharhinus sorrah),2,83.76,6.85,,,6.05,3.39,,,
,,,,,,,,,,,,,
,P073,"Shark, h",ammer hea d (Sphyrna mokarran),1,88.26,,,,11.86,,,,
,,,,,,,,,,,,,
,P074,"Shark, s",potte d (Stegostoma fasciatum),1,97.68,4.04,,,8.77,,,,
,,,,,,,,,,,,,
,P075,Shelav u,(Sphyraena jello),4,219±105,7.66±2.05,1.07±1.84,14.41±11.03,11.86±11.32,1.62±2.81,,,3.56±0.97
,,,,,,,,,,,,,
,P076,Sila n (Si,lonia silondia),1,3015,99.55,,,860,49.53,36.12,,64.19
,,,,,,,,,,,,,
,P077,Silk fis h,(Beryx sp.),1,185,7.35,4.01,7.53,32.87,5.93,,,2.71
,,,,,,,,,,,,,
,P078,Silver ca,r p (Hypophthalmichthys molitrix),1,1283,65.76,,,194,256,13.72,,48.70
,,,,,,,,,,,,,
,P079,Sole fis h,(Cynoglossus arel),1,101,,,30.56,17.45,,,,
,,,,,,,,,,,,,
,P080,Stingra y,(Dasyatis pastinaca),1,159,,,,38.98,,,,
,,,,,,,,,,,,,
,P081,Tarla v a,(Drepane punctata),2,124,7.65,3.72,,11.98,1.84,,,1.38
,,,,,,,,,,,,,
,P082,Thola m,(Plectorhinchus schotaf),2,367,20.25,2.43,13.22,22.18,6.41,,,7.23
