Ta,,,,,,,,,,,,,,,
ble,,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fat,edo,,,,oig,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
ty,c,F,ood Name,,eR,,,,,,,,(TSFA),(TMUFA),(TPUFA)
Acid,doo,,,,fo,,,,,,,,,,
P,F,,,,.o,,,,,m,g,,,,
rofile,,,,,N,,,,,,,,,,
,,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,,
,D048,"Field beans, te","nder, lean (Vi",cia faba),6,,,,195±9.5,,86.04±6.95,,175±7.1,26.28±1.87,281±13.8
,,,,,,,,,,,,,,,
,D049,"French beans,",country (Pha,seolus,5,,,,59.21±3.46,,68.19±5.62,,71.07±3.81,11.13±2.53,127±8.3
,,vulgaris),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D050,"French beans,",hybrid (Phas,eolus,2,,,,62.83,,72.13,,66.80,11.85,135
,,vulgaris),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D051,"Jack fruit, raw",(Artocarpus,,5,9.38±0.34,79.52±1.02,3.94±0.23,68.67±1.56,,38.57±1.44,,47.36±1.50,115±2.3,107±2.9
,,heterophyllus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D052,"Jack fruit, seed",", mature (Art",ocarpus,5,,2.70±0.38,,154±4.2,,26.51±1.81,,146±5.3,16.21±0.73,181±5.3
,,heterophyllus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D053,Knol - Khol (Br,assica olerace,a),6,,,,59.04±0.71,,71.39±2.18,,97.40±2.23,31.62±0.54,130±2.3
,,,,,,,,,,,,,,,
,D054,"Kovai, big (Coc",cinia cordifoli,a),6,,,,59.07±2.97,,39.75±2.95,,68.84±3.84,4.35±0.31,98.82±5.84
,,,,,,,,,,,,,,,
,D055,"Kovai, small (C",occinia cordif,olia),1,,,,83.07,,29.10,,75.33,4.51,112
204,,,,,,,,,,,,,,,
,D056,Ladies finger (,Abelmoschus,esculentus),6,,,,76.82±4.93,,32.38±2.11,,69.37±6.10,8.10±1.70,109±6.6
,,,,,,,,,,,,,,,
,D057,"Mango, green,",raw (Mangifer,a indica),6,,,,17.53±1.91,,12.61±2.16,,27.28±2.69,9.25±1.40,30.13±3.60
,,,,,,,,,,,,,,,
,D058,"Onion, stalk (A",llium cepa),,6,,,,55.43±1.02,,43.55±0.58,,92.08±1.66,5.52±0.10,98.98±1.33
,,,,,,,,,,,,,,,
,D059,"Papaya, raw (C",arica papaya),,6,,,,66.04±7.94,,9.60±1.94,,69.15±9.33,44.53±4.38,75.64±9.60
,,,,,,,,,,,,,,,
,D060,Parwar (Trichos,anthes dioica,),6,,,,91.87±4.02,,20.35±1.26,,95.93±2.64,13.19±0.91,112±5.0
,,,,,,,,,,,,,,,
,D061,"Peas, fresh (Pi",sum sativum),,6,,,,46.75±3.62,,9.49±0.59,,19.01±1.69,28.75±1.96,56.24±4.15
,,,,,,,,,,,,,,,
,D062,"Plantain, flowe",r (Musa x par,adisiaca),6,,,,154±7.7,,44.08±3.08,,273±7.3,31.69±1.78,198±8.0
,,,,,,,,,,,,,,,
,D063,"Plantain, green",(Musa x para,disiaca),6,,,,72.89±2.96,,33.77±2.31,,57.13±2.83,16.21±0.79,107±4.7
,,,,,,,,,,,,,,,
,D064,"Plantain, stem",(Musa x para,disiaca),6,,,,14.12±1.59,,14.38±1.65,,27.45±3.37,2.71±0.25,28.50±3.18
,,,,,,,,,,,,,,,
,D065,"Pumpkin, gree","n, cylindrical",(Cucurbita,1,,,,38.94,,26.57,,53.32,25.17,65.51
,,maxima),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D066,"Pumpkin, oran","ge, round (C",ucurbita,6,,,,36.17±2.35,,26.57±3.25,,44.58±3.91,22.02±2.07,62.73±5.33
,,maxima),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D067,"Red gram, tend","er, fresh (Ca",janus,1,,,,427,,47.24,,211,51.13,474
,,cajan),,,,,,,,,,,,,
