Moong dal (,U.),B010,Mulankoombu (,Mal.),D002
,,,,,
Moong ko k,hoste (N.),B010,Muli (H.),,F009-F012
,,,,,
Moong phall,i (Kash.),H012,Muli di patte (P.,),C031
,,,,,
Moongil kur,uthu (Tam.),D002,Muli ka patta (U,.),C031
,,,,,
Moricha (A.,),"C003, C004",Muli ka sag (H.),,C031
,,,,,
Moricha guti,(A.),"A001, A002",Muli lieh (Kh.),,F010
,,,,,
Moricha sak,(A.),"C002, C005",Muli pyllon (Kh,.),"F011,F012"
,,,,,
Moringa ole,ifera (Sci.),"C019, D046",Muli saw (Kh.),,F009
,,,,,
Morok (M.),,G001-G007,Mulla danthu (K,an.),"C005,C006"
,,,,,
Morok Akan,gba (M.),G022,Mulla thotakura,(Tel.),"C005,C006"
,,,,,
Mosambi (G,".,H.,Kash.)",E034,Mullancheru- ch,eera (Mal.),"C005,C006"
,,,,,
Mosami (P.),,E034,"Mullangi (Kan.,","Mal.,Tam.,Tel.)",F009-F012
,,,,,
Mosumi (A.),,E034,Mullangi akulu,(Tel.),C031
,,,,,
Mosur (B.),,"B014, B015",Mullangi ilai (T,am.),C031
,,,,,
Mosur (Dail),(A.),B015,Mullangi ilaigal,(Mal.),C031
,,,,,
Mosur dal (B,.),B013,Mullangi soppu,(Kan.),C031
,,,,,
Moth bean (,Common),B016,Mullatha (Mal.),,E061
,,,,,
Moth dal (P.,),B016,Mullet (Commo,n),P039
,,,,,
Motha (H.),,B016,Mulo shak (B.),,C031
,,,,,
Moti alechi (,G.),G021,Mulu Godumai,maavu (Tam.),A019
,,,,,
Motor shuti,(B.),D061,Mun (Mar.),,B011
,,,,,
Mra genasu,(Kan.),F015,Munakka (H.),,E015
,,,,,
Mrachini (M,al.),F015,Mundiringa (Ma,l.),E022-E027
,,,,,
Muang (Kas,h.),B011,Mundiringa (una,kku) (Mal.),"E057, E058"
,,,,,
Muang dal (,Kash.),B010,Mung (H.),,B011
,,,,,
Musa paradi,siaca (Sci.),E011,Mung dal (B.),,B010
,,,,,
Musa x para,disiaca (Sci.),"E009, E010,",Mung hawai (M,.),"B010, B01"
,,,,,
,,E012,Mungi-di-dal (P,.),B010
Mud crab (C,ommon),Q005,,,
,,,,,
,,,Muraenesox cin,erius (Sci.),P008
Muda (G.),,F009-F012,,,
,,,,,
,,,Murai (N.),,A012
Muda na pan,(G.),C031,,,
,,,Mural (Common,),P040
Mudhi (O.),,A012,,,
,,,Muramure (H.),,A012
Mudra (S.),,B011,,,
,,,"Muri (A.,B.,Kh.",),A012
Mug (G.),,B011,,,
,,,Muringa ela (Ma,l.),C019
"Mug dal (H.,",Mar.),B010,,,
,,,Muringakkai (M,al.),D046
Mug ni daad,(G.),B010,,,
,,,Murmure (U.),,A012
Muga (O.),,B011,,,
,,,Murraya koenig,ii (Sci.),G010
Muga Dali (,O.),B010,,,
,,,Murungai keerai,(Tam.),C019
Mugil cepha,lus (Sci.),P039,,,
,,,Murungakkai (T,am.),D046
"Mula (A.,B.,","Mar.,N.,O)",F009-F012,,,
,,,Musa sapientum,(Sci.),"D062, D06"
Mula ka sag,"(Mar.,O.)",C031,,,D064
,,,,,
Mulaga akul,u (Tel.),C019,Mushroom (A.),,"J001, J002,"
,,,,,
Mulaikeerai,(Tam.),C005,"Musk melon, or",ange flesh (Common),E045
,,,,,
Mulakaada (,Tel.),D046,"Musk melon, ye",llow flesh (Common),E046
,,,,,
Mulakeerai (,Tam.),C006,"Mustard, leaves",(Common),C026
,,,,,
Mulaku (Ma,"l.,Mar.)",G001-,"Mustard, seeds (",Common),H013
,,,,,
,,"G007,G022",Musuroo (N.),,B014
Mulam pazh,"am (Mal.,Tam.)","E045,E046",,,
