,,,,,Campesterol,Stigmasterol,,,
,,,,,,mg,,,g
,,,,,,,,,
,,,,,CAMT,STGSTR,,PHYTAC,
E025,"Grapes, seedl vinifera)","ess, ova","l, black (Vitis",5,0.54±0.15,0.29±0.03,13.06±1.73,1.00±0.12,
E026,"Grapes, seedl (Vitis vinifera)","ess, rou","nd, green",5,0.42±0.08,0.27±0.05,14.30±0.66,0.85±0.05,
E027,"Grapes, seedl (Vitis vinifera)","ess, rou","nd, black",5,0.53±0.05,0.28±0.02,13.56±0.94,0.69±0.09,
E028,"Guava, white guajava)",flesh (Ps,idium,5,0.57±0.01,0.11±0.01,43.09±1.33,55.36±2.30,
E029,"Guava, pink f guajava)",lesh (Psi,dium,5,0.59±0.05,0.22±0.01,40.40±0.23,45.89±6.29,1.05±0.15
E030,"Jack fruit, rip heterophyllus)",e (Artoca,rpus,5,1.04±0.04,19.21±1.16,34.84±1.02,52.94±3.15,
E031,"Jambu fruit, r",ipe (Syzy,gium cumini),2,0.76,0.14,25.45,8.65,1.55
E032,Karonda fruit,(Carissa,carandas),1,0.72,0.48,4.92,7.80,
E033,"Lemon, juice",(Citrus li,mon),6,,,,,
E034,"Lime, sweet,p",ulp (Citr,us limetta),6,,,,,
E035,Litchi (Nephel,ium litchi,),4,5.30±0.03,1.43±0.03,10.67±0.15,2.57±0.14,1.04±0.04
E036,"Mango, ripe, (Mangifera ind",bangana ica),palli,6,0.87±0.04,0.47±0.01,11.41±0.68,85.83±3.60,
E037,"Mango, ripe, indica)",gulabkha,s (Mangifera,2,0.84,0.41,12.34,80.24,
E038,"Mango, ripe, indica)",himsaga,r (Mangifera,3,0.88±0.06,0.44±0.02,11.39±0.73,79.46±1.30,
E039,"Mango, ripe, indica)",kesar (M,angifera,4,0.87±0.03,0.43±0.01,11.07±0.51,90.02±1.55,
E040,"Mango, ripe, indica)",neelam (,Mangifera,2,0.91,0.43,10.15,79.49,
E041,"Mango, ripe, indica)",paheri (M,angifera,2,0.90,0.47,11.66,81.12,
E042,"Mango, ripe, t indica)",otapari (,Mangifera,1,0.94,0.49,10.22,75.13,
