,,,,,,mg,,,,
,,,,,,,,,,
,,,F16D1,F18D1,F20D1,F22D1,F24D1,F18D2CN6,F20D2,F18D3N3
O025,"Beef, shoulder",6,486±151,5669±825,72.41±34.10,,,575±325,,153±44.0
O026,"Beef, chops",4,209±63.6,2440±351,30.87±13.32,,,249±142,,66.06±18.97
O027,"Beef, round (leg)",6,207±34.6,3026±253,46.84±4.27,,,201±21.0,,67.90±6.17
O028,"Beef, brain",4,37.16±8.99,1653±128,178±63.1,,,39.04±14.09,,56.26±9.07
O029,"Beef, tongue",4,351±86.8,4302±421,88.41±16.12,,,341±64.2,,56.10±6.72
O030,"Beef, lungs",3,41.34±5.15,588±63.5,17.58±5.02,,,92.04±24.05,,6.14±1.51
O031,"Beef, heart",5,39.33±17.31,780±199,28.50±24.56,,,351±91.7,,11.43±6.51
O032,"Beef, liver",6,51.37±16.51,740±171,33.85±14.75,,,236±52.0,,8.51±2.53
O033,"Beef, tripe",5,56.14±19.48,767±194,10.65±2.12,,,49.93±15.98,,9.64±5.00
O034,"Beef, spleen",6,25.01±8.71,442±119,13.83±2.95,,,127±24.4,,12.22±3.88
O035,"Beef, kidneys",3,33.01±0.00,790±0,12.02±0.00,,,148±0.0,,8.72±0.00
O036,"Calf, shoulder",2,166,2452,29.26,,,388,,69.72
O037,"Calf, chops",2,50.00,966,17.69,,,311,,32.78
O038,"Calf, round (leg)",2,180,2207,46.47,,,213,,51.96
O039,"Calf, brain",2,46.39,1357,56.90,,,45,,45.48
O040,"Calf, tongue",2,308,4050,47.58,,,434,,46.48
O041,"Calf, heart",1,19.68,656,20.82,,,563,,11.84
O042,"Calf, liver",1,30.8,618,21.19,,,271,,14.64
O043,"Calf, spleen",1,26.95,474,11.50,,,118,,9.70
O044,"Calf, kidneys",2,31.46,613,15.59,,,243,,8.65
