Ta,,,,,,,
ble,,,,(-)- Epigallo s (-)- Epigallo,(-),(-),Total
10.,ed,,,noi catechin (+)-Catechin catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,Foo,d Name,geR 3-gallate,gallate,catechin,
yph,doo,,,fo,,mg,
en,F,,,.o,,,
ols,,,,N,,,
,,,,EPICATEGC,,,
,,,,,,,
,D012,Brinjal-3 (Solanum,melongena),2,,,13.80
,,,,,,,
,D013,Brinjal-4 (Solanum,melongena),4,,,12.85±1.21
,,,,,,,
,D014,Brinjal-5 (Solanum,melongena),3,,,13.49±0.86
,,,,,,,
,D015,Brinjal-6 (Solanum,melongena),2,,,12.88
,,,,,,,
,D016,Brinjal-7 (Solanum,melongena),1,,,13.17
,,,,,,,
,D017,Brinjal-8(Solanum m,elongena),3,,,12.63±1.08
,,,,,,,
,D018,Brinjal-9(Solanum m,elongena),2,,,11.47
,,,,,,,
,D019,Brinjal-10 (Solanum,melongena),2,,,13.05
,,,,,,,
,D020,Brinjal-11 (Solanum,melongena),6,,,12.79±2.20
358,,,,,,,
,D021,Brinjal-12 (Solanum,melongena),2,,,13.19
,,,,,,,
,D022,Brinjal-13(Solanum,melongena),1,,,13.49
,,,,,,,
,D023,Brinjal-14(Solanum,melongena),3,,,12.29±0.72
,,,,,,,
,D024,Brinjal-15 (Solanum,melongena),4,,,11.52±0.65
,,,,,,,
,D025,Brinjal-16(Solanum,melongena),1,,,12.16
,,,,,,,
,D026,Brinjal-17(Solanum,melongena),1,,,13.17
,,,,,,,
,D027,Brinjal-18 (Solanum,melongena),3,,,12.62±0.56
,,,,,,,
,D028,Brinjal-19(Solanum,melongena),3,,,13.54±1.63
,,,,,,,
,D029,Brinjal-20(Solanum,melongena),5,,,12.90±1.62
,,,,,,,
,D030,Brinjal-21(Solanum,melongena),2,,,13.19
,,,,,,,
,D031,Brinjal - all varietie,s (Solanum melongena),6,,,12.79±1.34
,,,,,,,
,D032,Broad beans (Vicia,faba),3 16.63±0.37,,9.70±0.10,89.14±6.99
