edoC dooF,Fish Name,snoigeR fo .oN,Cho Retinol,lecalci ferol (D3),25-OH-D3,Tocopherols,Tocotrienols Alpha Beta Gamma Delta,Alpha Tocopherol Equivalent,Menaquin ones (K2)
,,,,,,Alpha Beta Gamma Delta,,,
,,,,µg,,,mg,,µg
,,,RETOL CH,OCAL,,TOCPHA TOCPHB TOCPHG TOCPHD,TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK2
S007,Crab(Pachygrapsus sp.),1,12.55,1.20,0.17,4.85,,4.85,0.91
S008,"Prawns, big(Macrobrachium rosenbergii)",1,3.56,0.35,0.10,2.85,,,0.84
S009,"Prawns, small(Macrobrachium sp.)",3,2.78,0.95,0.15,1.75,,1.75,0.80
S010,Tiger prawns (Macrobrachium sp.),2,0.55,1.34,0.27,1.65,,1.65,1.02
