,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F18D1CN9,F20D1N9,F22D1N9,F24D1C,F18D2CN6,F20D2,F22D2,F18D3N3,F20D3N6
P042,Nalla bontha (,Epinephelus sp.),1,88.99,4.86,,1.93,6.80,,,,
P043,Narba (Caranx,sexfasciatus),2,199,9.95,,8.93,18.28,2.29,,,
P044,Paarai (Caranx,heberi),1,190,8.06,,7.16,22.66,5.06,,,3.00
P045,Padayappa (Ca,nthidermis maculata),1,77.16,,,,8.70,,,,
P046,Pali kora (Pann,a microdon),1,163,9.79,,8.29,20.89,3.88,,,2.33
P047,Pambada (Lept,uracanthus savala),2,564,21.14,4.83,18.76,56.78,5.36,,,4.81
P048,Pandukopa (Ps,eudosciaena manchurica),1,69.08,3.52,,,6.30,,,,
P049,Parava (Lactari,us lactarius),1,464,9.95,,9.04,17.88,3.88,,,
P050,Parcus (Psetto,des erumei),1,58.44,2.65,,,9.57,,,,
P051,Parrot fish (Sc,arus ghobban),1,113,2.26,,0.90,2.79,1.01,,,0.47
P052,Perinkilichai (P,injalo pinjalo),1,79.22,4.70,,,9.75,,,,
P053,Phopat (Coryp,haena hippurus),4,143±67.5,4.66±3.53,,,14.55±5.41,1.31±2.61,,,1.03±2.06
P054,Piranha (Pygop,ritis sp.),1,1941,24.26,,,475,,,12.81,
P055,"Pomfret, black",(Parastromateus niger),2,716,98.65,,,51.50,37.96,,,10.52
P056,"Pomfret, snub",nose (Trachinotus blochii),2,59.76,4.90,,1.79,4.81,,,,
P057,"Pomfret, white",(Pampus argenteus),2,98.93,40.22,25.27,33.66,14.07,4.20,,,5.82
P058,Pranel (Gerres,sp.),1,254,19.02,5.38,,17.80,14.62,,,6.98
P059,Pulli paarai (G,nathanodon speciosus),1,149,5.51,,,15.81,3.54,,,2.89
P060,Queen fish (Sc,omberoides commersonianus),3,221±236,8.57±9.40,,9.00±11.47,20.40±22.82,6.04±8.87,,,3.34±5.78
P061,Raai fish (Lobo,tes surinamensis),2,205,20.08,3.51,3.70,18.79,,,,
P062,Raai vanthu (E,pinephelus chlorostigma),1,268,22.89,4.94,14.47,24.10,5.67,,,4.35
