,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F10D0 F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
B013,Lentil dal (Lens cu,linaris),6,,,79.74±3.82,11.28±0.91,,,,,112±7.6
B014,"Lentil whole, bro",wn (Lens culinaris),6,,,70.01±2.45,11.20±0.99,,,,,102±5.3
B015,"Lentil whole, yell",owish (Lens culinaris),2,,,66.76,9.41,,,,,92.18
B016,Moth bean (Vigna,aconitifolia),6,,,320±7.9,97.75±3.22,7.94±0.27,4.79±0.50,2.83±0.28,,72.25±5.74
B017,"Peas, dry (Pisum",sativum),6,,,193±10.2,48.50±3.39,,,,,398±31.2
B018,"Rajmah, black (P",haseolus vulgaris),2,,,216,21.97,,,,,105
B019,"Rajmah, brown (P",haseolus vulgaris),6,,,215±13.1,26.74±3.42,,,,,91.76±2.33
B020,"Rajmah, red (Pha",seolus vulgaris),3,,,225±6.0,30.51±5.16,,,,,87.84±14.82
B021,"Red gram, dal (Ca",janus cajan),6,,,222±11.6,35.22±3.19,,,,,89.94±4.43
B022,"Red gram, whole",(Cajanus cajan),6,,,236±11.0,40.95±3.31,,,,,78.55±6.71
B023,Ricebean (Vigna u,mbellata),1,,,50.69,14.81,17.97,28.06,18.26,,357
B024,"Soya bean, brown",(Glycine max),6,,,2381±26.3,566±54.7,47.10±6.29,67.89±4.22,29.84±4.91,22.79±2.11,4499±230
B025,"Soya bean, white",(Glycine max),1,,,2338,523.44,43.30,65.49,30.95,25.35,4723
C,GREEN LEA,FY VEGETABLES,,,,,,,,,,
C001,Agathi leaves (Se,sbania grandiflora),1,,,346,74.53,23.95,24.96,20.61,16.91,40.76
C002,"Amaranth leaves, gangeticus)",green (Amaranthus,6,,18.47±4.66,143±5.4,16.15±1.99,2.57±0.38,4.74±1.26,9.09±1.70,16.05±2.51,31.26±2.04
C003,"Amaranth leaves, gangeticus)",red (Amaranthus,1,,20.33,159,17.75,2.24,3.99,7.01,14.48,31.48
C004,"Amaranth leaves, (Amaranthus gang",red and green eticus),4,,18.37±3.07,144±12.5,19.16±3.23,2.83±0.36,5.03±1.01,7.93±1.14,12.28±3.08,32.72±2.99
