,,,,,,,,,mg,,,µg,,mg
,,,,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
C029,Ponnaganni (,Altern,anthe,ra sessilis),,2,0.02,0.10,0.32,0.21,0.19,11.18,48.42,103
C030,Pumpkin leav,"es, te",nder,(Cucurbita,maxima),6,0.07±0.010,0.13±0.025,1.49±0.09,0.36±0.01,0.17±0.022,3.40±0.29,33.82±4.70,12.33±0.17
C031,Radish leave,s (Ra,phanu,s sativus),,6,0.06±0.005,0.13±0.024,0.47±0.06,0.14±0.01,0.16±0.032,4.39±0.12,53.14±5.32,65.76±18.69
C032,Rumex leave,s (Ru,mex p,atientia),,2,0.03,0.14,0.33,0.25,0.09,1.30,41.01,53.76
C033,Spinach (Spin,acia,olerac,ea),,6,0.16±0.016,0.10±0.009,0.33±0.03,0.22±0.03,0.15±0.011,4.14±0.27,142±10.3,30.28±4.71
C034,Tamarind lea,"ves, t",ender,(Tamarindu,s indica),3,0.12±0.020,0.03±0.007,0.79±0.02,0.30±0.04,0.14±0.010,3.29±0.60,91.82±9.56,28.22±8.82
,,,,,,,,,,,,,,
D,OTHER V,EGE,TAB,LES,,,,,,,,,,
D001,Ash gourd (B,eninc,asa hi,spida),,6,0.03±0.003,0.01±0.001,0.12±0.02,0.37±0.03,0.18±0.058,2.01±0.15,14.11±1.85,11.41±1.31
D002,Bamboo sho,"ot, ten",der (,Bambusa v,ulgaris),1,0.06,0.06,0.25,0.22,0.13,5.93,17.05,15.74
D003,"Bean scarlet,",tend,er (Ph,aseolus coc,cineus),5,0.13±0.016,0.12±0.016,0.52±0.08,0.42±0.03,0.31±0.021,12.26±1.53,45.26±0.73,6.61±1.00
D004,"Bitter gourd, (Momordica c",jagge harant,"d, tee ia)","th ridges,",elongate,6,0.05±0.005,0.04±0.009,0.27±0.03,0.33±0.09,0.05±0.009,5.76±0.52,60.28±7.22,46.53±2.81
D005,"Bitter gourd, (Momordica c",jagge harant,"d, tee ia)","th ridges,",short,4,0.06±0.008,0.04±0.005,0.29±0.03,0.36±0.01,0.04±0.004,5.55±1.17,51.45±6.97,50.87±3.03
D006,"Bitter gourd, (Momordica c",jagge harant,"d, sm ia)",ooth ridge,"s, elongate",1,0.06,0.04,0.30,0.28,0.05,6.85,60.03,54.30
D007,"Bottle gourd, vulgaris)",elon,"gate,",pale green,(Lagenaria,6,0.03±0.003,0.01±0.001,0.14±0.01,0.56±0.09,0.02±0.005,2.55±0.29,41.99±3.56,4.33±1.55
D008,"Bottle gourd, vulgaris)",roun,"d, pal",e green (La,genaria,5,0.03±0.004,0.01±0.001,0.14±0.01,0.50±0.06,0.02±0.006,2.33±0.14,49.59±3.82,4.54±1.78
D009,"Bottle gourd, vulgaris)",elon,"gate,",dark green,(Lagenaria,1,0.03,0.01,0.14,0.59,0.01,2.54,46.31,3.80
D010,Brinjal-1 (Sol,anum,melon,gena),,1,0.07,0.13,0.74,0.29,0.05,1.17,37.22,1.58
D011,Brinjal-2 (Sol,anum,melon,gena),,1,0.09,0.11,0.56,0.27,0.05,1.83,27.22,1.03
D012,Brinjal-3 (Sol,anum,melon,gena),,2,0.050,0.109,0.60,0.29,0.07,1.32,32.29,2.34
