,,,,,,,,,,mg,,,,
,,,,,,,,,,,,,,
,,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
E027,"Grapes, seed vinifera)","less, rou","nd, black (Vitis",5,,,,86.20±0.29,17.98±0.07,6.88±0.20,9.73±0.24,8.05±0.16,,12.97±0.07
E028,"Guava, white",flesh (Ps,idium guajava),5,,,0.70±0.07,28.95±2.42,16.48±1.53,1.97±0.30,0.55±0.06,0.65±0.06,,35.08±3.38
E029,"Guava, pink f",lesh (Psi,dium guajava),5,,,,17.96±2.31,9.22±0.63,,,,,13.97±2.14
E030,"Jack fruit, rip heterophyllus)",e (Artoca,rpus,5,,,,30.69±2.30,1.70±0.26,1.77±0.17,2.35±0.35,1.15±0.13,0.75±0.13,9.34±1.06
E031,"Jambu fruit, r",ipe (Syzy,gium cumini),2,,,,43.42,19.46,3.62,,,3.17,17.56
E032,Karonda fruit,(Carissa,carandas),1,,,,42.89,20.47,3.45,,,3.64,20.48
E033,"Lemon, juice",(Citrus li,mon),6,,,,147±5.2,27.67±1.91,,27.55±4.69,,,47.40±6.45
E034,"Lime, sweet,p",ulp (Citr,us limetta),6,,,,65.42±3.97,10.98±0.66,,,,8.30±0.93,26.88±1.81
E035,Litchi (Nephel,ium litchi,),4,,,,68.53±3.97,14.13±0.14,,2.64±0.41,6.19±0.77,4.04±0.37,41.60±3.12
E036,"Mango, ripe, indica)",bangana,palli (Mangifera,6,,,7.01±1.49,150±6.1,7.12±0.55,,1.90±0.23,3.96±0.64,52.48±6.23,81.18±8.57
E037,"Mango, ripe, indica)",gulabkha,s (Mangifera,2,,2.33,16.50,147,8.20,1.71,1.59,3.26,55.42,89.08
E038,"Mango, ripe, indica)",himsaga,r (Mangifera,3,,,5.81±0.78,154±2.7,6.63±0.30,,2.01±0.13,4.99±0.27,60.51±0.90,73.42±3.26
E039,"Mango, ripe,",kesar (M,angifera indica),4,,,5.71±0.83,152±8.6,7.36±0.43,,2.06±0.18,5.15±0.45,63.91±2.81,105±6.5
E040,"Mango, ripe,",neelam (,Mangifera indica),2,,3.08,17.21,141,6.64,2.44,1.87,5.59,56.63,89.89
E041,"Mango, ripe,",paheri (M,angifera indica),2,,2.33,34.58,137,6.26,1.33,1.32,3.27,69.02,122.79
E042,"Mango, ripe,",totapari (,Mangifera indica),1,,2.43,21.79,136,7.56,1.44,1.53,3.96,70.57,97.56
E043,Mangosteen (,Garcinia,mangostana),1,,2.54,22.48,135,7.85,1.58,2.01,4.12,69.87,95.47
E044,Manila tamari,nd (Pithe,cellobium dulce),1,,,,20.98,3.54,0.97,1.07,1.25,,33.45
E045,"Musk melon, melon)",orange f,lesh (Cucumis,5,,,,76.84±3.38,16.10±1.58,,,,7.32±0.96,17.86±1.61
E046,"Musk melon, melon)",yellow fl,esh (Cucumis,6,,,,62.61±3.89,16.39±1.48,,,,5.75±0.28,15.37±1.64
