edoc dooF,Food,Name,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
D035,"Capsicum, yellow (",Capsicum annuum),4,17.23±4.30,0.17±0.05,,,0.008±0.002,43.33±10.64,242±45.6,0.28±0.09,1.56±0.18,0.26±0.08
D036,Cauliflower (Brassic,a oleracea),6,23.08±4.37,0.23±0.08,,0.002±0.001,0.013±0.005,47.33±10.61,329±56.3,0.47±0.06,30.72±3.83,0.31±0.11
D037,Celery stalk (Apium,graveolens),3,17.12±6.63,0.24±0.04,,,0.011±0.001,44.84±9.18,298±10.1,3.59±1.27,10.68±0.05,0.18±0.03
D038,Cho-cho-marrow (S,echium edule),4,13.05±1.03,0.17±0.09,,0.002±0.001,0.008±0.005,21.61±4.89,120±20.8,0.16±0.05,1.28±0.05,0.10±0.03
D039,Cluster beans (Cya tetragonobola),mopsis,6,81.74±10.44,0.39±0.12,,0.022±0.007,0.057±0.016,45.28±4.07,301±47.7,1.59±0.51,4.05±0.73,0.61±0.13
D040,"Colocasia, stem, bl antiquorum)",ack (Colocasia,1,11.07,2.00,,0.003,0.013,20.31,381,0.82,0.45,0.54
D041,"Colocasia, stem, gr antiquorum)",een (Colocasia,5,19.56±4.36,0.37±0.20,,0.005±0.004,0.008±0.003,30.73±6.04,414±85.6,1.48±0.76,0.60±0.15,0.20±0.08
D042,"Corn, Baby(Zea ma",ys),6,25.47±2.17,0.19±0.03,,,,8.69±1.35,260±19.4,0.22±0.05,1.40±0.69,1.13±0.22
D043,"Cucumber, green, e sativus)",longate(Cucumis,6,20.38±4.95,0.08±0.03,,0.002±0.002,0.008±0.002,28.34±4.85,183±36.6,0.17±0.07,6.33±0.20,0.17±0.02
D044,"Cucumber, green, s sativus)",hort (Cucumis,6,18.48±5.63,0.09±0.02,,0.001±0.001,0.008±0.002,29.74±7.59,198±56.4,0.19±0.08,6.11±0.14,0.19±0.05
D045,"Cucumber, orange, sativus)",round (Cucumis,2,20.34,0.07,,0.002,0.009,23.17,185,0.14,8.16,0.16
D046,Drumstick (Moringa,oleifera),6,38.10±10.53,0.19±0.03,,0.001±0.000,0.011±0.005,52.87±8.72,419±76.4,3.12±0.70,22.38±0.36,0.31±0.06
D047,"Field beans, tender,",broad (Vicia faba),2,50.88,0.56,,0.047,0.037,73.30,345,,14.14,0.64
D048,"Field beans, tender,",lean (Vicia faba),6,47.42±6.76,0.50±0.09,,0.047±0.029,0.039±0.016,76.54±12.27,314±39.0,,12.76±0.13,0.63±0.20
D049,"French beans, coun vulgaris)",try (Phaseolus,5,43.01±7.64,0.44±0.13,,0.059±0.032,0.056±0.022,59.86±11.58,324±51.1,,8.84±0.10,0.50±0.15
D050,"French beans, hybr vulgaris)",id (Phaseolus,2,34.98,0.27,,0.017,0.037,45.90,317,,9.18,0.37
D051,"Jack fruit, raw (Arto heterophyllus)",carpus,5,26.60±9.13,0.36±0.11,,,0.008±0.006,27.78±3.89,327±18.1,,3.53±0.52,0.17±0.03
D052,"Jack fruit, seed, ma heterophyllus)",ture (Artocarpus,5,37.04±15.48,0.27±0.10,,,0.015±0.007,29.33±10.67,376±70.1,0.33±0.10,4.00±0.09,0.29±0.12
D053,Knol - Khol (Brassic,a oleracea),6,19.05±3.69,0.13±0.03,,0.004±0.002,0.006±0.003,40.77±4.47,327±63.8,,27.46±3.47,0.15±0.03
D054,"Kovai, big (Coccinia",cordifolia),6,19.60±3.26,0.16±0.05,,0.001±0.001,0.010±0.002,36.90±4.81,198±34.9,,1.53±0.15,0.18±0.03
