,,,,,,,mg,,
,,,,,,,,,
,,,,,,,GALLAC,,
D074,"Tomato, gree",n (Lycopersico,n esculentum),6,,0.43±0.07,,,0.05±0.01
D075,"Tomato, ripe, esculentum)",hybrid (Lyco,persicon,6,,,,0.05±0.02,0.41±0.11
D076,"Tomato, ripe, esculentum)",local (Lycope,rsicon,6,,,,0.10±0.02,0.66±0.08
D077,"Zucchini, gre",en (Cucurbita,pepo),2,0.05,,,,
D078,"Zucchini, yell",ow(Cucurbita,pepo),2,0.03,,,,
,,,,,,,,,
E,FRUITS,,,,,,,,
E001,"Apple, big (M",alus domestic,a),6,0.84±0.06,,,,0.39±0.11
E002,"Apple, green",(Malus domes,tica),6,0.81±0.10,,,,0.27±0.05
E003,"Apple, small",(Malus domes,tica),6,0.77±0.10,,,,0.47±0.17
E004,"Apple, small,",Kashmir (Ma,lus domestica),1,0.63,,,,0.65
E005,"Apricot, dried",(Prunus arme,niaca),6,,,,0.83±0.08,0.12±0.02
E006,"Apricot, proc",essed (Prunu,s armeniaca),3,,,,0.59±0.02,0.05±0.01
E007,Avocado fruit,(Persea ame,ricana),1,,0.06,,0.12,
E008,Bael fruit (Ae,gle marmelos),,1,,0.09,,0.21,
E009,"Banana, ripe, paradisiaca)",montham (M,usa x,1,,,0.31,,
E010,"Banana, ripe, paradisiaca)",poovam (Mu,sa x,2,,,0.12,,
E011,"Banana, ripe,",red (Musa x p,aradisiaca),1,,,0.12,,
E012,"Banana, ripe, paradisiaca)",robusta (Mus,a x,6,,0.13±0.02,0.12±0.03,,
E013,Black berry (,Rubus fruticos,us),5,,,4.68±0.19,0.46±0.06,
E014,"Cherries, red",(Prunus ceras,us),4,,0.65±0.13,,0.08±0.01,0.38±0.11
